reef_short,LABEL_ID,ReefName,region_block,latitude_band,Type,Period,Year,variable,value,latitude_band_percentile,region_percentile,gbr_percentile,includes_summer_202425
Lizard NW,14-116a,Lizard Island Reef (North West) (14-116a),Northern GBR,14,cmfr,Last 10 years,201423,cmfr_10y,0.540501318685676,55.645161290322584,37.31884057971015,39.09784682474789,FALSE
Lizard NW,14-116a,Lizard Island Reef (North West) (14-116a),Northern GBR,14,cmfr,Last _summer,202020,cmfr_1y,0.5276315785,67.47311827956989,42.391304347826086,42.703218767048554,FALSE
Lizard NW,14-116a,Lizard Island Reef (North West) (14-116a),Northern GBR,14,cmfr,Last _summer,202323,cmfr_1y,0.528962174552933,72.84946236559139,47.46376811594203,38.42896174863388,FALSE
Lizard NW,14-116a,Lizard Island Reef (North West) (14-116a),Northern GBR,14,cmfr,Last 20 years,200423,cmfr_20y,0.528544253715003,52.956989247311824,37.31884057971015,38.74352684655219,FALSE
Lizard NW,14-116a,Lizard Island Reef (North West) (14-116a),Northern GBR,14,cmfr,Last 2 years,202223,cmfr_2y,0.540789800695903,71.23655913978494,47.46376811594203,40.86065573770492,FALSE
Lizard NW,14-116a,Lizard Island Reef (North West) (14-116a),Northern GBR,14,quad,Last 10 years,200921,quad_10y,1,8.333333333333334,10.79136690647482,18.02175038839979,FALSE
Lizard NW,14-116a,Lizard Island Reef (North West) (14-116a),Northern GBR,14,quad,Last 10 years,201424,quad_10y,1,25,23.741007194244606,21.82806835836354,TRUE
Lizard NW,14-116a,Lizard Island Reef (North West) (14-116a),Northern GBR,14,quad,Last _summer,202021,quad_1y,1,23.118279569892472,33.45323741007194,24.01605385810461,FALSE
Lizard NW,14-116a,Lizard Island Reef (North West) (14-116a),Northern GBR,14,quad,Last _summer,202324,quad_1y,2,25.268817204301076,42.0863309352518,59.46400828586225,TRUE
Lizard NW,14-116a,Lizard Island Reef (North West) (14-116a),Northern GBR,14,quad,Last 20 years,200424,quad_20y,1,9.13978494623656,15.467625899280575,16.727084412221647,TRUE
Lizard NW,14-116a,Lizard Island Reef (North West) (14-116a),Northern GBR,14,quad,Last 2 years,202224,quad_2y,1,19.892473118279568,31.294964028776977,24.313827032625582,TRUE
Mackay,16-015,Mackay Reef (16-015),Central GBR,16,cmex,Last 10 years,201021,cmex_10y,0.424691358024691,13.235294117647058,44.71153846153846,42.76281719316416,FALSE
Mackay,16-015,Mackay Reef (16-015),Central GBR,16,cmex,Last 10 years,201524,cmex_10y,0.0782608695652174,33.8235294117647,1.4423076923076923,8.117555670636976,TRUE
Mackay,16-015,Mackay Reef (16-015),Central GBR,16,cmex,Last _summer,202121,cmex_1y,0,50,49.03846153846154,38.050233039875714,FALSE
Mackay,16-015,Mackay Reef (16-015),Central GBR,16,cmex,Last _summer,202424,cmex_1y,0,23.897058823529413,35.81730769230769,29.893837389953394,TRUE
Mackay,16-015,Mackay Reef (16-015),Central GBR,16,cmex,Last 20 years,200524,cmex_20y,0.333333333333333,39.705882352941174,14.423076923076923,32.80683583635422,TRUE
Mackay,16-015,Mackay Reef (16-015),Central GBR,16,cmex,Last 2 years,202324,cmex_2y,0,19.852941176470587,6.971153846153846,9.30864836872087,TRUE
Mackay,16-015,Mackay Reef (16-015),Central GBR,16,cmfi,Last 10 years,200921,cmfi_10y,0.636730993226728,90.74074074074075,54.08653846153846,71.99945444626296,FALSE
Mackay,16-015,Mackay Reef (16-015),Central GBR,16,cmfi,Last 10 years,201424,cmfi_10y,0.813750898856719,99.62962962962963,97.83653846153847,95.816298718997,TRUE
Mackay,16-015,Mackay Reef (16-015),Central GBR,16,cmfi,Last _summer,202021,cmfi_1y,0.7800000001292,81.11111111111111,58.89423076923077,83.81069285324604,FALSE
Mackay,16-015,Mackay Reef (16-015),Central GBR,16,cmfi,Last _summer,202324,cmfi_1y,0.824175446437253,97.4074074074074,59.85576923076923,78.89344262295081,TRUE
Mackay,16-015,Mackay Reef (16-015),Central GBR,16,cmfi,Last 20 years,200424,cmfi_20y,0.667154512241574,90.74074074074075,76.6826923076923,81.80703188879804,TRUE
Mackay,16-015,Mackay Reef (16-015),Central GBR,16,cmfi,Last 2 years,202224,cmfi_2y,0.876737690579072,99.62962962962963,95.91346153846153,96.76229508196721,TRUE
Mackay,16-015,Mackay Reef (16-015),Central GBR,16,cmfr,Last 10 years,200920,cmfr_10y,0.68918408,82.5925925925926,53.125,72.49045280960175,FALSE
Mackay,16-015,Mackay Reef (16-015),Central GBR,16,cmfr,Last 10 years,201423,cmfr_10y,0.691021757266995,84.07407407407408,50.24038461538461,70.79585718179341,FALSE
Mackay,16-015,Mackay Reef (16-015),Central GBR,16,cmfr,Last _summer,202020,cmfr_1y,0.710526316,81.11111111111111,57.45192307692308,76.6366612111293,FALSE
Mackay,16-015,Mackay Reef (16-015),Central GBR,16,cmfr,Last _summer,202323,cmfr_1y,0.677020077995593,84.81481481481481,43.99038461538461,66.27049180327869,FALSE
Mackay,16-015,Mackay Reef (16-015),Central GBR,16,cmfr,Last 20 years,200423,cmfr_20y,0.687555300237441,84.07407407407408,52.16346153846154,71.55900790406105,FALSE
Mackay,16-015,Mackay Reef (16-015),Central GBR,16,cmfr,Last 2 years,202223,cmfr_2y,0.693773197676805,86.29629629629629,50.72115384615385,71.2431693989071,FALSE
