reef_short,LABEL_ID,ReefName,SECT_NAME,SECTOR,region_block,latitude_band,Type,Period,Year,variable,value,includes_summer_202425
Lizard NW,14-116a,Lizard Island Reef (North West) (14-116a),Cooktown / Lizard Island,CL,Northern GBR,14,quad,Last _summer,202324,quad_1y,2,TRUE
Lizard NW,14-116a,Lizard Island Reef (North West) (14-116a),Cooktown / Lizard Island,CL,Northern GBR,14,quad,Last 20 years,200424,quad_20y,1,TRUE
Lizard NW,14-116a,Lizard Island Reef (North West) (14-116a),Cooktown / Lizard Island,CL,Northern GBR,14,quad,Last 2 years,202224,quad_2y,1,TRUE
Mackay,16-015,Mackay Reef (16-015),Cairns,CA,Central GBR,16,cmex,Last 10 years,201021,cmex_10y,0.424691358024691,FALSE
Mackay,16-015,Mackay Reef (16-015),Cairns,CA,Central GBR,16,cmex,Last 10 years,201524,cmex_10y,0.0782608695652174,TRUE
Mackay,16-015,Mackay Reef (16-015),Cairns,CA,Central GBR,16,cmex,Last _summer,202121,cmex_1y,0,FALSE
Mackay,16-015,Mackay Reef (16-015),Cairns,CA,Central GBR,16,cmex,Last _summer,202424,cmex_1y,0,TRUE
Mackay,16-015,Mackay Reef (16-015),Cairns,CA,Central GBR,16,cmex,Last 20 years,200524,cmex_20y,0.333333333333333,TRUE
Mackay,16-015,Mackay Reef (16-015),Cairns,CA,Central GBR,16,cmex,Last 2 years,202324,cmex_2y,0,TRUE
Mackay,16-015,Mackay Reef (16-015),Cairns,CA,Central GBR,16,cmfi,Last 10 years,200921,cmfi_10y,0.636730993226728,FALSE
Mackay,16-015,Mackay Reef (16-015),Cairns,CA,Central GBR,16,cmfi,Last 10 years,201424,cmfi_10y,0.813750898856719,TRUE
Mackay,16-015,Mackay Reef (16-015),Cairns,CA,Central GBR,16,cmfi,Last _summer,202021,cmfi_1y,0.7800000001292,FALSE
Mackay,16-015,Mackay Reef (16-015),Cairns,CA,Central GBR,16,cmfi,Last _summer,202324,cmfi_1y,0.824175446437253,TRUE
