scheme,event_year,programme_key,tail_features,learner,n,severe_n,observed_mean,predicted_mean,rmse,mae,predictive_r2,bias,severe_observed,severe_predicted,severe_rmse,false_extreme_rate
leave_one_event_out,2016,manta,legacy_tail,Soft-gated tail,20,0,0.14544376847496326,0.0631095730588308,0.15658630441575777,0.11197030595826744,-0.005873366627779264,-0.08233419541613246,,,,0
leave_one_event_out,2016,manta,none,INLA only,20,0,0.14544376847496326,0.05811467899285369,0.1577258716978799,0.11081315734676139,-0.02056726180676005,-0.08732908948210957,,,,0
leave_one_event_out,2016,manta,wqc_threshold_tail,Conservative tail (0.5 gate),20,0,0.14544376847496326,0.061301665719385647,0.15657758537214256,0.11087256947247229,-0.00576135160047575,-0.08414210275557762,,,,0
leave_one_event_out,2016,manta,wqc_threshold_tail,Soft-gated tail,20,0,0.14544376847496326,0.0644886524459176,0.15554106061559625,0.1109319815981832,0.007510611137671819,-0.08095511602904566,,,,0
leave_one_event_out,2016,manta,wqc_threshold_track_disease_tail,Conservative tail (0.5 gate),20,0,0.14544376847496326,0.06108873368291182,0.15651135499098584,0.11071302455616684,-0.0049106823364946095,-0.08435503479205145,,,,0
leave_one_event_out,2016,manta,wqc_threshold_track_disease_tail,Soft-gated tail,20,0,0.14544376847496326,0.06406278837296994,0.15541925516501756,0.1106128917655723,0.00906445526759192,-0.08138098010199334,,,,0
leave_one_event_out,2016,manta,wqc_threshold_track_tail,Conservative tail (0.5 gate),20,0,0.14544376847496326,0.060625057017782036,0.15689047784841895,0.11101316962891285,-0.009785038519267264,-0.08481871145718124,,,,0
leave_one_event_out,2016,manta,wqc_threshold_track_tail,Soft-gated tail,20,0,0.14544376847496326,0.06313543504271038,0.15613480533023202,0.11121318191106429,-8.108281058083477e-5,-0.0823083334322529,,,,0
leave_one_event_out,2017,ltmp,legacy_tail,Conservative tail (0.5 gate),19,3,0.18617327096624434,0.1606913466984914,0.21532114598863253,0.14218823913844758,0.26320342313530487,-0.025481924267752955,0.6497353207100929,0.35571288440370735,0.3946758107004946,0
leave_one_event_out,2017,ltmp,legacy_tail,Soft-gated tail,19,3,0.18617327096624434,0.18436674576743514,0.2279542388577365,0.1547820893351538,0.1742100765587976,-0.001806525198809194,0.6497353207100929,0.38494858373428137,0.3872022377026952,0.23076923076923078
leave_one_event_out,2017,ltmp,none,INLA only,19,3,0.18617327096624434,0.1370159476295476,0.21050746278451737,0.13579058340305056,0.29577858446592786,-0.04915732333669671,0.6497353207100929,0.3264771850731332,0.40504610669859925,0
leave_one_event_out,2017,ltmp,wqc_threshold_tail,Conservative tail (0.5 gate),19,3,0.18617327096624434,0.1702835769809497,0.22277157135256748,0.15169635519110475,0.2113328153845363,-0.015889693985294637,0.6497353207100929,0.35200493486597445,0.3928720746541584,0.07692307692307693
leave_one_event_out,2017,ltmp,wqc_threshold_tail,Soft-gated tail,19,3,0.18617327096624434,0.20355120633235177,0.24848887940370137,0.17393383440348723,0.018730840611733246,0.017377935366107437,0.6497353207100929,0.3775326846588156,0.38241659808788775,0.23076923076923078
leave_one_event_out,2017,ltmp,wqc_threshold_track_disease_tail,Conservative tail (0.5 gate),19,3,0.18617327096624434,0.15758514471276872,0.21314263343955564,0.1432098706347837,0.27803708635514635,-0.028588126253475624,0.6497353207100929,0.34953318602021327,0.3907767934592187,0
leave_one_event_out,2017,ltmp,wqc_threshold_track_disease_tail,Soft-gated tail,19,3,0.18617327096624434,0.1781543417959898,0.22083378552856228,0.15113397666588044,0.22499363607094414,-0.008018929170254539,0.6497353207100929,0.3725891869672933,0.37747827544361473,0.15384615384615385
leave_one_event_out,2017,ltmp,wqc_threshold_track_tail,Conservative tail (0.5 gate),19,3,0.18617327096624434,0.15704944904658638,0.21558082523130742,0.14439945701790063,0.2614251848714553,-0.029123821919657955,0.6497353207100929,0.34340197446076304,0.3957176358602074,0.07692307692307693
leave_one_event_out,2017,ltmp,wqc_threshold_track_tail,Soft-gated tail,19,3,0.18617327096624434,0.17708295046362513,0.2257911738657999,0.15351314943211436,0.1898076144854055,-0.009090320502619197,0.6497353207100929,0.36032676384839285,0.387019802295025,0.15384615384615385
leave_one_event_out,2017,manta,legacy_tail,Conservative tail (0.5 gate),23,1,0.13097818838058506,0.1930411223642642,0.12951853339098374,0.10648953327384027,0.3383219425063432,0.062062933983679174,0.5084959955779488,0.5503047841776361,0.041808788599687285,0.10526315789473684
leave_one_event_out,2017,manta,legacy_tail,Soft-gated tail,23,1,0.13097818838058506,0.2158067120481642,0.1561139985773537,0.12550701685017815,0.038683067720042263,0.08482852366757915,0.5084959955779488,0.5503047841776361,0.041808788599687285,0.21052631578947367
leave_one_event_out,2017,manta,none,INLA only,23,1,0.13097818838058506,0.17027553268036424,0.11099737041002324,0.09249358766249469,0.5140313236110999,0.03929734429977919,0.5084959955779488,0.5503047841776361,0.041808788599687285,0.05263157894736842
leave_one_event_out,2017,manta,wqc_threshold_tail,Conservative tail (0.5 gate),23,1,0.13097818838058506,0.19935276592659107,0.13509537114407175,0.11093150488155638,0.28011382318282907,0.06837457754600604,0.5084959955779488,0.5503047841776361,0.041808788599687285,0.10526315789473684
leave_one_event_out,2017,manta,wqc_threshold_tail,Soft-gated tail,23,1,0.13097818838058506,0.22842999917281792,0.16908786557367622,0.13602576412356465,-0.1277368736293334,0.09745181079223288,0.5084959955779488,0.5503047841776361,0.041808788599687285,0.21052631578947367
leave_one_event_out,2017,manta,wqc_threshold_track_disease_tail,Conservative tail (0.5 gate),23,1,0.13097818838058506,0.19210778385326557,0.12860766482081878,0.10574087880618312,0.34759601953299124,0.06112959547268053,0.5084959955779488,0.5503047841776361,0.041808788599687285,0.05263157894736842
leave_one_event_out,2017,manta,wqc_threshold_track_disease_tail,Soft-gated tail,23,1,0.13097818838058506,0.2139400350261669,0.15186306399876065,0.12296608546776372,0.09032300314727881,0.08296184664558187,0.5084959955779488,0.5503047841776361,0.041808788599687285,0.21052631578947367
leave_one_event_out,2017,manta,wqc_threshold_track_tail,Conservative tail (0.5 gate),23,1,0.13097818838058506,0.19020799967418361,0.1267223248881885,0.10391322913592531,0.3665838082604329,0.059229811293598576,0.5084959955779488,0.5503047841776361,0.041808788599687285,0.05263157894736842
leave_one_event_out,2017,manta,wqc_threshold_track_tail,Soft-gated tail,23,1,0.13097818838058506,0.210140466668003,0.14802775554219072,0.12025016373311954,0.1356906617212924,0.07916227828741797,0.5084959955779488,0.5503047841776361,0.041808788599687285,0.21052631578947367
leave_one_event_out,2017,mmp,legacy_tail,Conservative tail (0.5 gate),32,0,0.12532500342899636,0.3627064201912475,0.26948004347371257,0.23939515575455164,-4.274231795067059,0.23738141676225116,,,,0.6785714285714286
