scheme,tail_features,learner,programme_key,n,severe_n,observed_mean,predicted_mean,rmse,mae,predictive_r2,bias,severe_observed,severe_predicted,severe_rmse,false_extreme_rate
leave_one_event_out,wqc_threshold_track_disease_tail,Soft-gated tail,ltmp,199,12,0.0887202187883077,0.14026788770207035,0.17946265752658683,0.12246545510118262,-0.15679841409508244,0.051547668913762654,0.61388975696167,0.4230785236253549,0.34091353667769647,0.09550561797752809
leave_one_event_out,wqc_threshold_track_tail,Conservative tail (0.5 gate),ltmp,199,12,0.0887202187883077,0.13398817985959702,0.17788941482520795,0.11993817850338352,-0.13660538244442777,0.045267961071289324,0.61388975696167,0.4035544180783576,0.35658957723286805,0.0898876404494382
leave_one_event_out,wqc_threshold_track_tail,Soft-gated tail,ltmp,199,12,0.0887202187883077,0.14109412040286992,0.18049855821118785,0.12336852434903865,-0.1701915823678637,0.052373901614562214,0.61388975696167,0.41668566871517404,0.34586023573820956,0.09550561797752809
leave_one_event_out,legacy_tail,Conservative tail (0.5 gate),manta,248,7,0.10298413264736025,0.13491791824375982,0.1766908729250386,0.12992495127275086,-0.3144561836474047,0.03193378559639956,0.570184371369407,0.5307263250723228,0.25300133456612506,0.0892018779342723
leave_one_event_out,legacy_tail,Soft-gated tail,manta,248,7,0.10298413264736025,0.14295195195142205,0.182642615964629,0.13553733251574487,-0.4045012138341384,0.03996781930406179,0.570184371369407,0.5319492096968604,0.25028460944769304,0.12206572769953052
leave_one_event_out,none,INLA only,manta,248,7,0.10298413264736025,0.12688388453609759,0.17316857390041215,0.12522291286179843,-0.2625716749388112,0.023899751888737334,0.570184371369407,0.5295034404477852,0.2557301333698582,0.07981220657276995
leave_one_event_out,wqc_threshold_tail,Conservative tail (0.5 gate),manta,248,7,0.10298413264736025,0.13416707978671538,0.17605113390642932,0.12947111625892713,-0.30495499585000685,0.031182947139355138,0.570184371369407,0.5304467307684798,0.2536241830363747,0.08450704225352113
leave_one_event_out,wqc_threshold_tail,Soft-gated tail,manta,248,7,0.10298413264736025,0.1414502750373332,0.18112764016007793,0.13439031633327858,-0.3812978599420387,0.038466142389972945,0.570184371369407,0.5313900210891743,0.25152536349477583,0.11267605633802817
leave_one_event_out,wqc_threshold_track_disease_tail,Conservative tail (0.5 gate),manta,248,7,0.10298413264736025,0.1327164032531965,0.1761215887355345,0.1290834018622231,-0.3059996784514125,0.029732270605836247,0.570184371369407,0.5305496317115251,0.2533948788940172,0.07981220657276995
leave_one_event_out,wqc_threshold_track_disease_tail,Soft-gated tail,manta,248,7,0.10298413264736025,0.13854892197029542,0.18040081997517332,0.1333128104469684,-0.37023449209982884,0.035564789322935164,0.570184371369407,0.5315958229752652,0.2510684197829476,0.10328638497652583
leave_one_event_out,wqc_threshold_track_tail,Conservative tail (0.5 gate),manta,248,7,0.10298413264736025,0.13276166830914013,0.17574489425278855,0.12889136026571343,-0.30041902517760666,0.029777535661779885,0.570184371369407,0.5301246310743108,0.25434249643423545,0.07981220657276995
leave_one_event_out,wqc_threshold_track_tail,Soft-gated tail,manta,248,7,0.10298413264736025,0.1386394520821827,0.17953214209063773,0.1330158469512678,-0.357070177070856,0.03565531943482244,0.570184371369407,0.5307458217008365,0.25295792567254227,0.09859154929577464
leave_one_event_out,legacy_tail,Conservative tail (0.5 gate),mmp,90,13,0.18723893040686382,0.3224804373121033,0.2844613630811135,0.2266684561628946,-0.5051124677710424,0.13524150690523948,0.6438488594127777,0.5113000843169537,0.44931087045133833,0.4411764705882353
leave_one_event_out,legacy_tail,Soft-gated tail,mmp,90,13,0.18723893040686382,0.3475676879303542,0.30338854336291393,0.2497511353722929,-0.7120669095863492,0.16032875752349035,0.6438488594127777,0.5137190047046053,0.4461284981685929,0.5
leave_one_event_out,none,INLA only,mmp,90,13,0.18723893040686382,0.2973931866938524,0.2709532559001296,0.2090310559941075,-0.3655610721094582,0.11015425628698858,0.6438488594127777,0.5088811639293022,0.45251914414622363,0.39705882352941174
leave_one_event_out,wqc_threshold_tail,Conservative tail (0.5 gate),mmp,90,13,0.18723893040686382,0.3184646589094473,0.2806560691778051,0.22351168460085752,-0.4651134534500674,0.1312257285025835,0.6438488594127777,0.5114171309619777,0.4489557763416996,0.4264705882352941
leave_one_event_out,wqc_threshold_tail,Soft-gated tail,mmp,90,13,0.18723893040686382,0.3395361311250422,0.29502670284053156,0.2421323877544702,-0.6189932243723075,0.15229720071817843,0.6438488594127777,0.5139530979946532,0.4454235316303584,0.47058823529411764
