learner,scheme,transitions,post_cover_rmse_pp,post_cover_mae_pp,change_rmse_pp,change_mae_pp,change_bias_pp,change_predictive_r2,direction_accuracy,severe_loss_mae_pp,programme_key
Change BRT,forward_2024_2025,80,11.994603045963478,8.68247964993056,11.99460304596348,8.68247964993056,2.031839110175028,-0.7535618890047049,0.55,23.611228229206283,ltmp
Change BRT,forward_2024_2025,139,13.450289016572887,10.478940244415455,13.450289016572885,10.478940244415455,0.15047596756176287,-0.4996735242559309,0.5179856115107914,15.989568598201211,manta
Change BRT,forward_2024_2025,120,10.281979745398663,6.1539541034786645,10.281979745398663,6.1539541034786645,-4.077857830860416,0.019320417960522418,0.5833333333333334,19.645037723974948,mmp
Change BRT,recent_year_holdout,304,7.7478442490810195,5.2026474303810595,7.7478442490810195,5.2026474303810595,0.7068938693049373,-0.1594718940332207,0.6217105263157895,16.297538118469543,ltmp
Change BRT,recent_year_holdout,443,10.43036134218265,7.947444026013363,10.430361342182648,7.947444026013363,1.6596049316548052,-0.16295333757969277,0.5417607223476298,16.000314156470157,manta
Change BRT,recent_year_holdout,468,8.712958737481976,5.1496323454604065,8.712958737481978,5.1496323454604065,-0.048354705945802115,-0.06212356980239786,0.532051282051282,19.834592439404744,mmp
Change BRT,reef_blocked_5fold,867,5.897135005427229,3.9746380150950897,5.897135005427229,3.9746380150950897,0.32224157110996166,0.22841521053417813,0.6032295271049596,13.828931961708491,ltmp
Change BRT,reef_blocked_5fold,1416,7.146722065947824,5.194285678916055,7.146722065947824,5.194285678916055,-0.07237726042301663,0.1369887935587557,0.625,12.60156270921229,manta
Change BRT,reef_blocked_5fold,806,7.722687263156463,4.9677551604288075,7.722687263156463,4.9677551604288075,0.41309186598153147,0.12485182523355376,0.575682382133995,15.537400671731648,mmp
Growth/environment LM,forward_2024_2025,80,9.26694073054093,5.53600876191878,9.26694073054093,5.53600876191878,-1.733503006596832,-0.04669972305100356,0.5125,26.033628669360667,ltmp
Growth/environment LM,forward_2024_2025,139,11.18996570458656,8.241093006195923,11.18996570458656,8.241093006195921,-3.252444891181597,-0.03798482048980545,0.5971223021582733,16.7261067369012,manta
Growth/environment LM,forward_2024_2025,120,10.796433232627754,6.583671003044938,10.796433232627754,6.583671003044939,-4.557061653933961,-0.08127024486426637,0.5416666666666666,21.138762877398843,mmp
Growth/environment LM,recent_year_holdout,304,7.0090353507289445,4.678966618031982,7.009035350728944,4.678966618031983,-0.006775293372987794,0.05111198128846295,0.5921052631578947,17.292710915145136,ltmp
Growth/environment LM,recent_year_holdout,443,9.638569388348325,7.351349112303048,9.638569388348325,7.351349112303048,1.4395321133467596,0.006909705188000048,0.54627539503386,15.263533113052924,manta
Growth/environment LM,recent_year_holdout,468,8.325212041162452,5.388350279882494,8.32521204116245,5.388350279882495,0.2897382710609216,0.030306824355642914,0.48717948717948717,18.738323416261295,mmp
Growth/environment LM,reef_blocked_5fold,867,6.451790340182518,4.314160054215385,6.451790340182518,4.314160054215385,0.34985788257629263,0.07644660565816774,0.5824682814302191,15.264971965935892,ltmp
Growth/environment LM,reef_blocked_5fold,1416,7.36060396439976,5.427275608114439,7.360603964399759,5.427275608114439,-0.2018419130228984,0.08456070176963892,0.5819209039548022,13.499540041677015,manta
Growth/environment LM,reef_blocked_5fold,806,7.690546788724122,5.057990242700417,7.690546788724122,5.057990242700417,0.1555841124477992,0.1321210944245952,0.5545905707196029,16.91948705118706,mmp
Persistence,forward_2024_2025,80,9.648053063720043,4.993138235358299,9.648053063720043,4.993138235358299,-3.322680143050729,-0.13456323229254874,0,29.89978179431085,ltmp
Persistence,forward_2024_2025,139,11.698279107792429,8.595764601989945,11.69827910779243,8.595764601989943,-4.0269875186848445,-0.13442933756772413,0,18.654215556805433,manta
Persistence,forward_2024_2025,120,11.376735329260157,6.583266067033823,11.376735329260157,6.583266067033824,-4.650615205852372,-0.20062934707593305,0.016666666666666666,22.466622067152286,mmp
Persistence,recent_year_holdout,304,7.208781802402024,4.422895284065044,7.208781802402023,4.422895284065044,-0.44016911056940156,-0.0037422912694602406,0,20.299160215112305,ltmp
Persistence,recent_year_holdout,443,9.680740861760595,7.220688549870447,9.680740861760595,7.220688549870447,0.41028262479640715,-0.001799408765688959,0,17.750421495880722,manta
Persistence,recent_year_holdout,468,8.498212679172422,4.755807940342458,8.498212679172422,4.755807940342458,-0.8627122603572197,-0.010412995287711446,0.004273504273504274,22.16668700260492,mmp
