learner,predicted_post_cover,transition_id,programme_key,ReefID,ReefName,event_year,survey_date,pre_cover,post_cover,cover_change_pp,sst_maxdhw,prop_acropora_pre,wqc_freqcc12,cyc_maxHrs4mw,cot_idwmeanpertow,DISTURBANCE_TYPE,disturbance_text,predicted_change_pp,post_cover_error,change_error_pp,scheme,fold,absolute_change_error_pp
Change BRT,0.5060797349733072,2250,manta,23-080,Hoskyn Islands Reef (23-080),2024,2024-11-09,0.6184300829752357,0.2796426122542491,-33.87874707209866,11.25625,0.25792108628559274,0.0454545468091965,0,0.0161,b,DHW 11.48  coral bleaching,-11.235034800192857,-0.22643712271905808,-22.643712271905805,forward_2024_2025,2024_2025,22.643712271905805
Change BRT,0.5155835205423802,867,ltmp,23-082a,Lady Musgrave Reef (23-082a),2024,2024-11-07,0.6333792303847722,0.28975171899340113,-34.3627511391371,11.2160377358491,0.9474516636293955,0.0530255667004531,0,0.0202,m,"b s 34% decline hc abs 55% decline rel  coral bleaching, coral disease, unknown storm",-11.779570984239196,-0.22583180154897908,-22.583180154897907,forward_2024_2025,2024_2025,22.583180154897907
Change BRT,0.3859331087696613,2431,mmp,17-009a,Tobias Spit (17-009a),2024,2024-06-15,0.3552809499113012,0.1601073468744418,-19.51736030368594,6.32,0.2715440227550341,0.748991096360115,0,1e-4,m,"clear depth limit to level of mortality  flood waters at 2.0 m only, Cyclone Jasper at 2.0 m only, crown-of-thorns starfish at 5.0 m only",3.0652158858360092,-0.2258257618952195,-22.58257618952195,forward_2024_2025,2024_2025,22.58257618952195
Growth/environment LM,0.5306609731459629,2359,mmp,16-006,Snapper Reef (16-006),2024,2024-06-05,0.5789794313776275,0,-57.89794313776275,6.872,0.13825214405281794,0.897197855579998,0,0.001,m," Jasper Cyclone Jasper, flood waters at 2.0 m only, coral bleaching at 5.0 m only | flood waters, Cyclone Jasper",-4.831845823166459,-0.5306609731459629,-53.06609731459629,forward_2024_2025,2024_2025,53.06609731459629
Growth/environment LM,0.46461386935561394,2320,mmp,16-006,Snapper Reef (16-006),2024,2024-06-05,0.5029984341764817,0,-50.29984341764817,6.872,0.2276483309360394,0.897197855579998,0,0.001,m," Jasper Cyclone Jasper, flood waters at 2.0 m only, coral bleaching at 5.0 m only | flood waters, Cyclone Jasper",-3.8384564820867775,-0.46461386935561394,-46.46138693556139,forward_2024_2025,2024_2025,46.46138693556139
Growth/environment LM,0.6014314196468573,830,ltmp,23-055a,One Tree Island Reef (23-055a),2024,2024-11-06,0.6465710923203194,0.19033698696083282,-45.62341053594866,11.6123762376238,0.9167527148244318,0.0455607442369428,0,0.0397,m,"DHW 11  coral bleaching, coral disease",-4.513967267346208,-0.4110944326860245,-41.10944326860245,forward_2024_2025,2024_2025,41.10944326860245
Growth/environment LM,0.558512097309627,1225,manta,14-143,North Direction Reef (14-143),2024,2024-09-27,0.5837507562816058,0.18210999156528573,-40.164076471632,6.23,0.4371273713667701,0.0201384624835262,0,0.0092,b,DHW 6.23 aerial bl 5  coral bleaching,-2.5238658971978745,-0.3764021057443413,-37.64021057443413,forward_2024_2025,2024_2025,37.64021057443413
Growth/environment LM,0.5433760587563352,803,ltmp,23-048,Broomfield Reef (23-048),2024,2024-11-04,0.5750808079045714,0.17919578831157115,-39.588501959300025,11.6140740740741,0.862233938344424,0.0430566355266609,0,0,m,"Aerial bl 5 2024   DHW 11.6  coral bleaching, unknown storm",-3.1704749148236178,-0.3641802704447641,-36.41802704447641,forward_2024_2025,2024_2025,36.41802704447641
Growth/environment LM,0.6184264773880384,815,ltmp,23-051,Wreck Island Reef (23-051),2024,2024-11-05,0.6697295842357892,0.30498058314261584,-36.47490010931734,11.6295,0.9797631868153628,0.0454611954935722,0,0,b,big hc decline  coral bleaching,-5.130310684775086,-0.3134458942454225,-31.344589424542253,forward_2024_2025,2024_2025,31.344589424542253
Growth/environment LM,0.5558202080355726,2204,manta,23-048,Broomfield Reef (23-048),2024,2024-11-04,0.581105916624201,0.24912491355726227,-33.19810030669387,11.6140740740741,0.862233938344424,0.0430566355266609,0,0,m,"Aerial bl 5 2024   DHW 11.6  coral bleaching, unknown storm",-2.528570858862833,-0.30669529447831034,-30.669529447831035,forward_2024_2025,2024_2025,30.669529447831035
Growth/environment LM,0.5824461503754729,2250,manta,23-080,Hoskyn Islands Reef (23-080),2024,2024-11-09,0.6184300829752357,0.2796426122542491,-33.87874707209866,11.25625,0.25792108628559274,0.0454545468091965,0,0.0161,b,DHW 11.48  coral bleaching,-3.5983932599762847,-0.3028035381212238,-30.280353812122378,forward_2024_2025,2024_2025,30.280353812122378
Growth/environment LM,0.5906529267108874,867,ltmp,23-082a,Lady Musgrave Reef (23-082a),2024,2024-11-07,0.6333792303847722,0.28975171899340113,-34.3627511391371,11.2160377358491,0.9474516636293955,0.0530255667004531,0,0.0202,m,"b s 34% decline hc abs 55% decline rel  coral bleaching, coral disease, unknown storm",-4.272630367388475,-0.3009012077174863,-30.09012077174863,forward_2024_2025,2024_2025,30.09012077174863
Growth/environment LM,0.418517649704382,1129,manta,14-126,Linnet Reef (14-126),2024,2024-09-30,0.4278475351183221,0.12205758932979481,-30.578994578852726,6.675,0.6343256027311654,0.536864378405265,0,0.0201,b,DHW 6.73  coral bleaching,-0.9329885413940087,-0.29646006037458716,-29.64600603745872,forward_2024_2025,2024_2025,29.64600603745872
Growth/environment LM,0.434700578963872,2572,mmp,17-053,Stingaree Reefs (17-053),2025,2025-05-23,0.44005306631645896,0.14082710829470307,-29.92259580217559,3.74571428571429,0.50600337840787,0.0940861978177227,0,0.0038,f,  flood waters at 2.0 m only,-0.5352487352586976,-0.2938734706691689,-29.38734706691689,forward_2024_2025,2024_2025,29.38734706691689
