scheme,fold,programme_key,source_observation_id,ReefID,ReefName,event_year,region_block,observed_mortality,ann_maxdhw,prop_acropora_pre,wqc_freqcc12,wqc_prior10_percentile,wqc_prior10_delta,cyc_maxHrs4mw,cot_meanpertow,cot_idwmeanpertow,DISTURBANCE_TYPE,storm_name,description,tooltip,disturbance_text,predicted_mortality_core,predicted_mortality_weather,predicted_mortality_rrn_wq,predicted_mortality_rrn_cyclone,predicted_mortality_rrn_both,predicted_mortality_weather_rrn,predicted_mortality_weather_rrn_relative,predicted_mortality_weather_rrn_full,absolute_error_core,absolute_error_weather,absolute_error_rrn_wq,absolute_error_rrn_cyclone,absolute_error_rrn_both,absolute_error_weather_rrn,absolute_error_weather_rrn_relative,absolute_error_weather_rrn_full,wq_gain_vs_core,cyclone_gain_vs_core,rrn_gain_vs_core,weather_gain_vs_core,weather_rrn_gain_vs_weather,relative_wq_gain_vs_weather_rrn,cots_gain_vs_relative,full_gain_vs_weather,core_underprediction,wq_underprediction,cyclone_underprediction,weather_underprediction,weather_rrn_underprediction,relative_wq_underprediction,full_underprediction
reef_blocked_2024,2,manta,4285515,14-116a,Lizard Island Reef (North West) (14-116a),2024,Northern GBR,0.4615802349862708,6.2700000000000005,0.14877724148928995,0.0473388095731419,0.6,0.02459738366791302,0,0,0,b,NA,DHW 6.27  aerial bl 4,coral bleaching,DHW 6.27  aerial bl 4  coral bleaching,0.09333436185313557,0.14471007294788202,0.07631833113368103,0.10201644877399094,0.078493298262202,0.14360995135776214,0.14699726381895026,0.11766160135724917,0.3682458731331352,0.31687016203838875,0.38526190385258974,0.3595637862122798,0.3830869367240688,0.31797028362850865,0.3145829711673205,0.34391863362902164,-0.01701603071945451,0.008682086920855425,-0.014841063590933568,0.05137571109474648,-0.0011001215901199068,0.0033873124611881744,-0.029335662461701162,-0.027048471590632894,0.3682458731331353,0.3852619038525898,0.3595637862122799,0.3168701620383888,0.31797028362850865,0.3145829711673206,0.34391863362902164
reef_blocked_2024,2,manta,4206246,16-057,Hastings Reef (16-057),2024,Central GBR,0.4288792674978628,7.62,0.1802122772005963,0.08249482618129,0.9,0.05884948517955871,38,0,2e-4,m,Jasper,Jasper,"Cyclone Jasper, coral bleaching","Jasper Jasper Cyclone Jasper, coral bleaching",0.06481898405565208,0.10958901009660912,0.04924208279462702,0.10201717335662824,0.08005454098021142,0.10040268363957865,0.12023079324700273,0.12089170006714708,0.3640602834422107,0.3192902574012537,0.3796371847032358,0.32686209414123457,0.3488247265176514,0.32847658385828415,0.30864847425086006,0.30798756743071576,-0.015576901261025122,0.037198189300976126,0.015235556924559301,0.04477002604095698,-0.009186326457030436,0.019828109607424094,6.609068201443025e-4,0.01130268997053796,0.36406028344221075,0.3796371847032358,0.32686209414123457,0.3192902574012537,0.32847658385828415,0.30864847425086006,0.30798756743071576
reef_blocked_2024,1,manta,3988617,14-118,Eyrie Reef (14-118),2024,Northern GBR,0.5256729155551548,6.2700000000000005,0.5154641976894707,0.387817227069386,1,0.2936125563709091,0,0.0737812916437785,0.0613,b,NA,DHW 6.27 to 6.32,coral bleaching,DHW 6.27 to 6.32  coral bleaching,0.191694623661193,0.24829668849383796,0.1560664603191031,0.1794715472775545,0.1235296703985164,0.2104229760937101,0.2331249484345729,0.22400712660292557,0.33397829189396183,0.27737622706131687,0.36960645523605173,0.34620136827760034,0.4021432451566384,0.3152499394614447,0.29254796712058195,0.3016657889522293,-0.0356281633420899,-0.01222307638363851,-0.06816495326267658,0.05660206483264496,-0.037873712400127824,0.02270197234086274,-0.009117821831647333,-0.024289561890912414,0.33397829189396183,0.36960645523605173,0.34620136827760034,0.27737622706131687,0.31524993946144475,0.29254796712058195,0.3016657889522293
reef_blocked_2024,1,mmp,4150474,19-009c,Magnetic Island Reef (No 2) (19-009c),2024,Central GBR,0.3503963600443477,9.07,0.18275253450005705,0.996374213958009,0.4,-0.00362578604199104,0,NA,0.0197,b,NA,partial bleaching at time of surveys,coral bleaching,partial bleaching at time of surveys  coral bleaching,0.05080513269256592,0.02553409973424895,0.07002399623688307,0.05077530002804777,0.07457302908708414,0.03012082983065878,0.0249438922366191,0.0284985453833015,0.2995912273517818,0.32486226031009874,0.28037236380746466,0.29962106001629996,0.2758233309572636,0.32027553021368893,0.32545246780772863,0.3218978146610462,0.019218863544317122,-2.9832664518170127e-5,0.023767896394518206,-0.025271032958316952,0.004586730096409808,-0.005176937594039699,0.003554653146682407,0.002964445649052516,0.2995912273517818,0.28037236380746466,0.29962106001629996,0.32486226031009874,0.32027553021368893,0.32545246780772863,0.3218978146610462
reef_blocked_2024,2,manta,4066112,18-034,Myrmidon Reef (18-034),2024,Central GBR,0.3643114357676447,8.73,0.15606337630475434,0,0.5,0,9,0,0,b,NA,DHW 7.18,coral bleaching,DHW 7.18  coral bleaching,0.07026766276225244,0.10726121814591694,0.06824354248340615,0.06543763873972679,0.06323255518300447,0.10483773201869154,0.09981978629637552,0.09381862091964611,0.29404377300539225,0.25705021762172775,0.29606789328423855,0.2988737970279179,0.3010788805846402,0.2594737037489532,0.26449164947126913,0.2704928148479986,-0.0020241202788462975,-0.004830024022525636,-0.007035107579247968,0.0369935553836645,-0.002423486127225427,-0.005017945722315953,-0.006001165376729456,-0.013442597226270836,0.29404377300539225,0.29606789328423855,0.2988737970279179,0.25705021762172775,0.2594737037489532,0.2644916494712692,0.2704928148479986
reef_blocked_2024,3,mmp,4155474,23-016,Humpy (Bur-ye-Bur-ye) Reef (23-016),2024,Southern GBR,0.5048925612238839,12.47,0.901484765985602,0.742819670261997,0.3,-0.06790996624503798,0,NA,0,b,NA,bleaching still evident at time of surveys,coral bleaching,bleaching still evident at time of surveys  coral bleaching,0.21698714138143613,0.23790284038290016,0.22363963647850557,0.24473072419828187,0.20140009712709284,0.23980138079560645,0.2293140154353606,0.22884394944747255,0.2879054198424478,0.26698972084098377,0.28125292474537833,0.260161837025602,0.3034924640967911,0.2650911804282775,0.27557854578852337,0.2760486117764114,0.006652495097069444,0.027743582816845747,-0.015587044254343319,0.020915699001464005,0.0018985404127062622,-0.01048736536024586,-4.700659878880131e-4,-0.00905889093542761,0.2879054198424478,0.28125292474537833,0.260161837025602,0.26698972084098377,0.2650911804282775,0.27557854578852337,0.2760486117764114
reef_blocked_2024,3,mmp,4143650,23-004b,North Keppel (Ko-no-mie) Island Reef (No 2) (23-004b),2024,Southern GBR,0.6322997657703442,12.41,0.9831720862579036,0.874654366947519,0.1,-0.09219169675271,0,NA,NA,b,NA,bleaching still evident at time of surveys,coral bleaching,bleaching still evident at time of surveys  coral bleaching,0.35819724787749463,0.3995284885774765,0.3221338284357102,0.3528267513383625,0.35189272434149604,0.4250584787026612,0.3387897116963878,0.3425878362432894,0.27410251789284956,0.2327712771928677,0.310165937334634,0.2794730144319817,0.28040704142884815,0.20724128706768305,0.2935100540739564,0.28971192952705477,-0.03606341944178443,-0.00537049653913213,-0.006304523535998585,0.04133124069998187,0.025529990125184643,-0.08626876700627337,0.003798124546901649,-0.056940652334187075,0.27410251789284956,0.310165937334634,0.2794730144319817,0.23277127719286766,0.20724128706768297,0.2935100540739564,0.28971192952705477
reef_blocked_2024,1,ltmp,4172974,14-123,Martin Reef (14-123),2024,Northern GBR,0.3676370188512778,6.4,0.5837078855804666,0.530025205470943,1,0.3896797019922375,0,0.0158266127109528,0.0201,b,NA,no decline,coral bleaching,no decline  coral bleaching,0.1051893181076876,0.1892857983159049,0.1078313672042082,0.10553245446302016,0.10983002568630884,0.19123417083364688,0.17773602223676072,0.2026884249447099,0.2624477007435902,0.17835122053537292,0.2598056516470696,0.26210456438825763,0.25780699316496897,0.17640284801763093,0.1899009966145171,0.1649485939065679,0.0026420490965206045,3.431363553325628e-4,0.004640707578621228,0.08409648020821728,0.001948372517741992,-0.013498148596886167,0.024952402707949184,0.013402626628805009,0.2624477007435902,0.2598056516470696,0.26210456438825763,0.17835122053537292,0.17640284801763093,0.1899009966145171,0.1649485939065679
reef_blocked_2024,1,manta,4206312,15-030,Swinger Reef (15-030),2024,Northern GBR,0.34618830788839955,3.87,0.5685984833602956,0.149812788731616,1,0.10100326410607618,0,0,0.0025,b,NA,DHW 3.87,coral bleaching,DHW 3.87  coral bleaching,0.08391102902437234,0.22978561622321717,0.0611596935689712,0.08700991312175323,0.05570980685514238,0.1968575929031343,0.21786833549411472,0.21496165630140637,0.2622772788640272,0.11640269166518238,0.28502861431942833,0.25917839476664634,0.2904785010332572,0.14933071498526526,0.12831997239428483,0.13122665158699318,-0.022751335455401145,0.0030988840973808496,-0.02820122216922999,0.1458745871988448,-0.03292802332008288,0.02101074259098043,-0.0029066791927083446,-0.014823959921810792,0.2622772788640272,0.28502861431942833,0.25917839476664634,0.11640269166518238,0.14933071498526526,0.12831997239428483,0.13122665158699318
reef_blocked_2024,2,manta,4284476,22-084,U/N Reef (22-084),2024,Southern GBR,0.2971606639822993,8.47,0.10148678379186,0.0454545468091965,1,0.0454545468091965,0,0,0.0144,NA,NA,NA,NA,NA,0.0412563106537072,0.04988969403483013,0.04088569792045285,0.04540431629496047,0.04507187507202387,0.05423516137477013,0.03937831526658632,0.03384221975053783,0.25590435332859207,0.24727096994746917,0.2562749660618464,0.2517563476873388,0.2520887889102754,0.24292550260752915,0.257782348715713,0.26331844423176143,-3.706127332543385e-4,0.004148005641253283,0.0038155644183166526,0.008633383381122905,0.004345467339940012,-0.01485684610818383,-0.005536095516048445,-0.016047474284292262,0.25590435332859207,0.2562749660618464,0.2517563476873388,0.24727096994746917,0.24292550260752915,0.257782348715713,0.26331844423176143
