scheme,event_year,programme_key,tail_features,learner,n,severe_n,observed_mean,predicted_mean,rmse,mae,predictive_r2,bias,severe_observed,severe_predicted,severe_rmse,false_extreme_rate
leave_one_event_out,2017,mmp,legacy_tail,Conservative tail (0.5 gate),32,0,0.12532500342899636,0.3350494675197318,0.24509019868102247,0.2176939621702764,-3.3627254444409305,0.20972446409073547,,,,0.5714285714285714
leave_one_event_out,2017,mmp,legacy_tail,Soft-gated tail,32,0,0.12532500342899636,0.3853789640957698,0.28927892841110425,0.26172731596149884,-5.077704700817266,0.26005396066677344,,,,0.75
leave_one_event_out,2017,mmp,none,INLA only,32,0,0.12532500342899636,0.28471997094369383,0.20799501805512052,0.1830623225383367,-2.1420410923989612,0.15939496751469748,,,,0.42857142857142855
leave_one_event_out,2017,mmp,wqc_threshold_tail,Conservative tail (0.5 gate),32,0,0.12532500342899636,0.33384612113264756,0.24245263156588628,0.2146328341456685,-3.2693307321439677,0.20852111770365123,,,,0.6071428571428571
leave_one_event_out,2017,mmp,wqc_threshold_tail,Soft-gated tail,32,0,0.12532500342899636,0.38297227132160133,0.2851665160777713,0.2596777839375536,-4.906130716085364,0.257647267892605,,,,0.7142857142857143
leave_one_event_out,2017,mmp,wqc_threshold_track_disease_tail,Conservative tail (0.5 gate),32,0,0.12532500342899636,0.32177508214349426,0.2340000329999727,0.20501575911035777,-2.9768373806014963,0.1964500787144979,,,,0.6071428571428571
leave_one_event_out,2017,mmp,wqc_threshold_track_disease_tail,Soft-gated tail,32,0,0.12532500342899636,0.3588301933432947,0.2655139579113561,0.23707488901800877,-4.120126703886678,0.23350518991429836,,,,0.6428571428571429
leave_one_event_out,2017,mmp,wqc_threshold_track_tail,Conservative tail (0.5 gate),32,0,0.12532500342899636,0.3187409983398908,0.2320322376504512,0.20363346679370084,-2.9102331346960946,0.19341599491089445,,,,0.5714285714285714
leave_one_event_out,2017,mmp,wqc_threshold_track_tail,Soft-gated tail,32,0,0.12532500342899636,0.3527620257360878,0.26061048693087346,0.23063228779170142,-3.932757554611012,0.22743702230709142,,,,0.6428571428571429
leave_one_event_out,2020,ltmp,legacy_tail,Conservative tail (0.5 gate),47,1,0.02271156283741858,0.08531968526554494,0.12317471034140517,0.08975829920592367,-0.5678166714422348,0.06260812242812637,0.5658792943952381,0.23293876065801028,0.3329405337372278,0.022222222222222223
leave_one_event_out,2020,ltmp,legacy_tail,Soft-gated tail,47,1,0.02271156283741858,0.10116039835448302,0.1339583429148963,0.09909599150275059,-0.8543500149813585,0.07844883551706444,0.5658792943952381,0.34380508712781876,0.22207420726741933,0.022222222222222223
leave_one_event_out,2020,ltmp,none,INLA only,47,1,0.02271156283741858,0.06947897217660687,0.1196238574384225,0.08042060690909675,-0.4787262566058015,0.04676740933918829,0.5658792943952381,0.12207243418820184,0.44380686020703625,0
leave_one_event_out,2020,ltmp,wqc_threshold_tail,Conservative tail (0.5 gate),47,1,0.02271156283741858,0.08496426775294898,0.12171994098731179,0.08899585187929916,-0.5310016021228672,0.062252704915530394,0.5658792943952381,0.23082018596374243,0.33505910843149567,0
leave_one_event_out,2020,ltmp,wqc_threshold_tail,Soft-gated tail,47,1,0.02271156283741858,0.10044956332929107,0.1321886430184545,0.09757109684950158,-0.8056786689989146,0.0777380004918725,0.5658792943952381,0.339567937739283,0.2263113566559551,0.044444444444444446
leave_one_event_out,2020,ltmp,wqc_threshold_track_disease_tail,Conservative tail (0.5 gate),47,1,0.02271156283741858,0.08063023863324004,0.11872536601126765,0.08582241572585936,-0.45659633589370485,0.05791867579582146,0.5658792943952381,0.22890585847070816,0.33697343592452994,0
leave_one_event_out,2020,ltmp,wqc_threshold_track_disease_tail,Soft-gated tail,47,1,0.02271156283741858,0.09178150508987322,0.12236082035430985,0.09122422454262197,-0.5471660925353261,0.06906994225245464,0.5658792943952381,0.33573928275321446,0.23014001164202363,0.022222222222222223
leave_one_event_out,2020,ltmp,wqc_threshold_track_tail,Conservative tail (0.5 gate),47,1,0.02271156283741858,0.08354104755174258,0.12144793450714467,0.08819391755423366,-0.5241666161129206,0.060829484714324,0.5658792943952381,0.23806904971485005,0.32781024468038805,0
leave_one_event_out,2020,ltmp,wqc_threshold_track_tail,Soft-gated tail,47,1,0.02271156283741858,0.0976031229268783,0.13060182614111399,0.09596722819937058,-0.7625874678399129,0.07489156008945971,0.5658792943952381,0.35406566524149824,0.21181362915373986,0.022222222222222223
leave_one_event_out,2020,manta,legacy_tail,Conservative tail (0.5 gate),63,0,0.01145997072577666,0.08836884382036941,0.11414786426546622,0.08607464652628741,-5.882294519990238,0.07690887309459275,,,,0.031746031746031744
leave_one_event_out,2020,manta,legacy_tail,Soft-gated tail,63,0,0.01145997072577666,0.10399737163936353,0.13883685583479977,0.10136536862732921,-9.181393276957742,0.09253740091358686,,,,0.06349206349206349
leave_one_event_out,2020,manta,none,INLA only,63,0,0.01145997072577666,0.0727403160013753,0.09278764597114407,0.0723783345596356,-3.5475552805383357,0.06128034527559864,,,,0
leave_one_event_out,2020,manta,wqc_threshold_tail,Conservative tail (0.5 gate),63,0,0.01145997072577666,0.0866232934568236,0.11264896565464712,0.08517424265802506,-5.7027356306193795,0.07516332273104694,,,,0.015873015873015872
leave_one_event_out,2020,manta,wqc_threshold_tail,Soft-gated tail,63,0,0.01145997072577666,0.10050627091227189,0.13565678848358442,0.09811750943298406,-8.720323893292468,0.08904630018649523,,,,0.07936507936507936
leave_one_event_out,2020,manta,wqc_threshold_track_disease_tail,Conservative tail (0.5 gate),63,0,0.01145997072577666,0.0834652715595537,0.1079475876059352,0.08212493023471915,-5.154936206682634,0.07200530083377704,,,,0.015873015873015872
leave_one_event_out,2020,manta,wqc_threshold_track_disease_tail,Soft-gated tail,63,0,0.01145997072577666,0.0941902271177321,0.12503587591397558,0.09194113063499622,-7.257849340380602,0.08273025639195544,,,,0.047619047619047616
leave_one_event_out,2020,manta,wqc_threshold_track_tail,Conservative tail (0.5 gate),63,0,0.01145997072577666,0.08531180487954707,0.11075350147876623,0.08394598333090489,-5.479068987795128,0.0738518341537704,,,,0.015873015873015872
leave_one_event_out,2020,manta,wqc_threshold_track_tail,Soft-gated tail,63,0,0.01145997072577666,0.09788329375771883,0.1314055570496685,0.09561586484230551,-8.120636276795866,0.08642332303194217,,,,0.06349206349206349
leave_one_event_out,2022,ltmp,legacy_tail,Conservative tail (0.5 gate),36,0,0.01585845519859899,0.037037338875507926,0.06826000068179143,0.04188937133743592,-2.145852980550601,0.021178883676908938,,,,0
