tail_features,component,predictor,relative_influence
wqc_threshold_track_tail,magnitude,log1p_cot_idwmeanpertow_z,5.176064432649673
wqc_threshold_track_tail,magnitude,observed_pre_cover_z,5.083253786105551
wqc_threshold_track_tail,magnitude,dhw_novelty10_z,4.9322732782896335
wqc_threshold_track_tail,magnitude,chla_wetseason_median_z,4.44622034362356
wqc_threshold_track_tail,magnitude,dhw_x_current,4.312527055541203
wqc_threshold_track_tail,magnitude,sst_summer_excess_kurtosis_z,4.2949168033685154
wqc_threshold_track_tail,magnitude,log_coastal_rain30_z,3.7147285927273797
wqc_threshold_track_tail,magnitude,dhw_x_tc_track,3.55855902921492
wqc_threshold_track_tail,magnitude,dhw_x_novelty,3.5186084261064
wqc_threshold_track_tail,magnitude,secc3m_p10_z,3.462739256626456
wqc_threshold_track_tail,magnitude,tc_proximity100_z,3.4581709282409405
wqc_threshold_track_tail,magnitude,dhw_x_cloud,3.283192397295689
wqc_threshold_track_tail,magnitude,cots_outbreak_probability_z,3.234059326371324
wqc_threshold_track_tail,magnitude,dhw10_load4_z,2.8906127909783415
wqc_threshold_track_tail,magnitude,wqc_prior10_percentile_z,2.88321083448621
wqc_threshold_track_tail,magnitude,dhw_x_freshwater,2.5847726969330416
wqc_threshold_track_tail,magnitude,dhw_x_wqc_excess50,2.2586485071312747
wqc_threshold_track_tail,magnitude,cloudp_90_z,2.0562268671349004
wqc_threshold_track_tail,magnitude,dhw_x_wqc_cumulative,1.8619488449580688
wqc_threshold_track_tail,magnitude,programme_factor,1.678037452343963
wqc_threshold_track_tail,magnitude,wqc_freqcc12_z,1.6176810998643847
wqc_threshold_track_tail,magnitude,tc_wind_distance_index_z,1.4950990584965014
wqc_threshold_track_tail,magnitude,prop_acropora_pre_z,1.4504575305028928
wqc_threshold_track_tail,magnitude,acropora_cover_pre_z,1.2835314619986096
wqc_threshold_track_tail,magnitude,region_factor,0.9990999487905743
wqc_threshold_track_tail,magnitude,dhw_years_since_last_n6_capped8_z,0.7331669750115344
wqc_threshold_track_tail,magnitude,ann_maxdhw_z,0.7285773647126923
wqc_threshold_track_tail,magnitude,dhw_excess8_z,0.24688950795626363
wqc_threshold_track_tail,magnitude,wqc_excess50_10yr_sum_z,0.16100566091815044
wqc_threshold_track_tail,magnitude,log1p_cyc_maxHrs4mw_z,0.15175474469197567
wqc_threshold_track_tail,magnitude,wqc_excess50_z,0.05586111133066846
wqc_threshold_track_tail,magnitude,dhw_events_since2016_n6_z,0.055462979371683374
wqc_threshold_track_tail,magnitude,dhw_excess4_z,0
wqc_threshold_track_disease_tail,gate,dhw_novelty10_z,7.203927714443995
wqc_threshold_track_disease_tail,gate,ann_maxdhw_z,7.1672075227519265
wqc_threshold_track_disease_tail,gate,observed_pre_cover_z,6.955276340618426
wqc_threshold_track_disease_tail,gate,sst_summer_excess_kurtosis_z,6.771645955182351
wqc_threshold_track_disease_tail,gate,tc_proximity100_z,6.383911546927403
wqc_threshold_track_disease_tail,gate,mcur_90_z,5.742763549746068
wqc_threshold_track_disease_tail,gate,dhw_x_acropora,5.327241874317425
wqc_threshold_track_disease_tail,gate,chla_wetseason_median_z,4.301318302147628
wqc_threshold_track_disease_tail,gate,wqc_freqcc12_z,4.138975977293391
wqc_threshold_track_disease_tail,gate,dhw_x_cloud,4.118401298974317
wqc_threshold_track_disease_tail,gate,log_coastal_rain30_z,3.952312957833291
wqc_threshold_track_disease_tail,gate,cots_outbreak_probability_z,3.810265721112336
wqc_threshold_track_disease_tail,gate,acropora_cover_pre_z,3.083263236811795
wqc_threshold_track_disease_tail,gate,dhw_x_wqc_cumulative,2.7972739176869705
wqc_threshold_track_disease_tail,gate,prop_acropora_pre_z,2.4776152318510025
wqc_threshold_track_disease_tail,gate,tc_wind_distance_index_z,2.4359232381325717
wqc_threshold_track_disease_tail,gate,dhw_x_novelty,2.189796418438731
wqc_threshold_track_disease_tail,gate,dhw_x_current,2.181736191866446
wqc_threshold_track_disease_tail,gate,dhw_x_freshwater,2.003670994307895
wqc_threshold_track_disease_tail,gate,dhw_excess4_z,1.8924178503029325
wqc_threshold_track_disease_tail,gate,dhw_x_tc_track,1.839582690265493
wqc_threshold_track_disease_tail,gate,sst_summer_skewness_z,1.7868784726437739
wqc_threshold_track_disease_tail,gate,cloudp_90_z,1.7774564448270496
wqc_threshold_track_disease_tail,gate,log1p_cot_idwmeanpertow_z,1.7111366817946996
wqc_threshold_track_disease_tail,gate,secc3m_p10_z,1.5237105614219555
wqc_threshold_track_disease_tail,gate,programme_factor,1.059085825173855
wqc_threshold_track_disease_tail,gate,dhw10_load4_z,0.8694422070998898
wqc_threshold_track_disease_tail,gate,wqc_prior10_percentile_z,0.8647387653334763
wqc_threshold_track_disease_tail,gate,dhw_x_wqc_excess50,0.7973765352141884
wqc_threshold_track_disease_tail,gate,dhw_excess8_z,0.7586524843058253
wqc_threshold_track_disease_tail,gate,dhw_x_disease,0.6289352806410419
wqc_threshold_track_disease_tail,gate,log1p_cyc_maxHrs4mw_z,0.5781255704390675
wqc_threshold_track_disease_tail,gate,wqc_excess50_10yr_sum_z,0.4087625668487704
wqc_threshold_track_disease_tail,gate,dhw_years_since_last_n6_capped8_z,0.19544592100154368
wqc_threshold_track_disease_tail,gate,region_factor,0.19088303290337122
wqc_threshold_track_disease_tail,gate,wqc_excess50_z,0.06974111665232437
wqc_threshold_track_disease_tail,gate,dhw_events_since2016_n6_z,0.005100002686768591
wqc_threshold_track_disease_tail,gate,disease_risk_max_z,0
wqc_threshold_track_disease_tail,gate,disease_risk_days_ge1_z,0
wqc_threshold_track_disease_tail,magnitude,dhw_x_acropora,10.217739509761055
