ReefID,thermal_reef_id,event_year,ann_maxdhw,history_years,dhw10_sum,dhw10_mean,dhw10_max,dhw10_n4,dhw10_n6,dhw_novel_excess,dhw_ratio_prior_max
15-085,15-085,2022,3.3200000000000003,10,26.087500000000002,2.60875,7.575,3,3,0,0.4382838283828383
15-099c,15-099,2022,4.33,10,24.8,2.48,8.006666666666668,3,2,0,0.5407993338884263
16-015,16-015,2022,4.14,10,18.6725,1.86725,9.21,1,1,0,0.4495114006514657
16-028,16-028,2022,4.33,10,23.759999999999998,2.376,11.54,2,1,0,0.37521663778162917
16-049,16-049,2022,4.23,10,26.95,2.695,11.07,2,2,0,0.3821138211382114
16-057,16-057,2022,4.74,10,28.003333331,2.8003333330999998,10.37333333,3,2,0,0.45694087418282164
16-068,16-068,2022,4.6000000000000005,10,28.423333334,2.8423333334,10.95,2,2,0,0.42009132420091333
17-024,17-024,2022,4.48,10,24.32,2.432,9.52,2,1,0,0.4705882352941177
17-034,17-034,2022,4.65,10,23.77,2.3770000000000002,8.91,2,1,0,0.521885521885522
17-064,17-064,2022,5.1000000000000005,10,20.49,2.049,7.61,2,1,0,0.6701708278580815
18-030,18-030,2022,5.24,10,22.8325,2.28325,7.4475,2,1,0,0.7035918093319906
18-031,18-031,2022,5.11,10,21.445,2.1445,7.175,2,1,0,0.7121951219512196
18-032,18-032,2022,5.2,10,21.53,2.153,7.44,2,1,0,0.6989247311827956
18-034,18-034,2022,6.3,10,29.76,2.976,8.3,3,3,0,0.7590361445783131
18-039,18-039,2022,5.36,10,26.6325,2.66325,7.3175,3,3,0,0.732490604714725
18-075,18-075,2022,5.07,10,16.314999999999998,1.6315,5.8,2,0,0,0.8741379310344828
19-019,19-019,2022,5.46,10,14.37,1.437,4.64,1,0,0.8200000000000003,1.1767241379310345
19-131a,19-131,2022,5.01,10,8.108095238,0.8108095237999999,3.000952381,0,0,2.009047619,1.669470009494296
19-135,19-135,2022,5.75,10,8.94,0.894,3.18,0,0,2.57,1.8081761006289307
19-138,19-138,2022,5.4,10,8.305,0.8305,3.195,0,0,2.2050000000000005,1.6901408450704227
19-159,19-159,2022,5.63,10,13.84,1.3840000000000001,5.73,1,0,0,0.9825479930191972
19-207,19-207,2022,5.25,10,14.636666667,1.4636666667,6.363333333,1,1,0,0.8250392876283416
19-209,19-209,2022,6.8500000000000005,10,14.8225,1.48225,6.1275,1,1,0.7225000000000001,1.1179110567115462
20-067a,20-067,2022,4.51,10,21.86,2.186,7.66,2,2,0,0.5887728459530026
20-104,20-104,2022,4.07,10,9.33,0.933,4.91,1,0,0,0.8289205702647658
20-287,20-287,2022,6.51,10,18.357499999999998,1.83575,9.43,1,1,0,0.6903499469777307
20-348,20-348,2022,2.22,10,9.0175,0.9017499999999999,4.8325,1,0,0,0.4593895499224005
20-351a,20-351,2022,4.28,10,17.001111111,1.7001111110999998,8.928333333333333,2,1,0,0.4793727832742207
20-351b,20-351,2022,3.54,10,17.001111111,1.7001111110999998,8.928333333333333,2,1,0,0.3964905730819489
20-354,20-354,2022,2.26,10,9.985,0.9985,5.415,1,0,0,0.4173591874422899
21-060,21-060,2022,3.47,10,17,1.7,8.85,2,1,0,0.392090395480226
21-139,21-139,2022,1.7,10,10.8,1.08,5.57,1,0,0,0.30520646319569117
21-588,21-588,2022,0.35,10,8.28,0.828,6.46,1,1,0,0.054179566563467486
21-591,21-591,2022,4.39,10,17.38,1.738,8.9,2,1,0,0.4932584269662921
23-068,23-068,2022,0.3,10,11.715,1.1715,8.795,1,1,0,0.03411028993746447
23-069,23-069,2022,0.3,10,13.185,1.3185,8.865,1,1,0,0.0338409475465313
23-081,23-081,2022,0.31,10,9.436666666,0.9436666666,4.25,1,0,0,0.07294117647058823
12-056,12-056,2024,8.73,10,60.57,6.057,11.08,6,5,0,0.7879061371841155
12-061,12-061,2024,5.54,10,38.62,3.862,8.31,5,3,0,0.6666666666666666
13-124,13-124,2024,7.65,10,40.66,4.066,10.02,5,3,0,0.7634730538922156
13-127,13-127,2024,7.23,10,43.71,4.371,10.995,5,5,0,0.6575716234652116
13-130,13-130,2024,7.03,10,39.34,3.934,10.505,5,3,0,0.6692051404093289
13-133,13-133,2024,7.18,10,39.88,3.988,10.58,5,3,0,0.6786389413988657
