programme_key,term,estimate,std_error,q05,q95
manta,secc3m_p10_z,-0.19721933105756692,0.24903798016005305,-0.6054338319702093,0.2014791572350376
manta,prop_acropora_pre_z:ann_maxdhw_z,-0.026305699313490503,0.09102083227219901,-0.17656424373117202,0.12209300564718073
manta,cloudp_90_z:ann_maxdhw_z,-0.12710526228428287,0.15514369607999084,-0.3825230584095994,0.13162690586015102
manta,secc3m_z:ann_maxdhw_z,-0.12921056976765508,0.22562307031334894,-0.49110143008671325,0.2363377485672526
manta,mcur_90_z:ann_maxdhw_z,-0.10799874954676343,0.14817517966665286,-0.34874384603438147,0.1411775390868886
manta,histmDHW6_z:ann_maxdhw_z,-0.03989795276575135,0.13706039758013627,-0.26393739669792077,0.17937022174694903
manta,dhw10_load4_z:ann_maxdhw_z,0.15260257660886686,0.19293013308481344,-0.1603529686898623,0.4662672662781994
manta,dhw_novelty10_z:ann_maxdhw_z,0.1925801029402232,0.16759458501021304,-0.07960828825560139,0.4678575031054306
manta,secc3m_p10_z:ann_maxdhw_z,0.02942334491488093,0.21400433091477028,-0.32517214424090557,0.38043991342990263
manta,zi_ann_maxdhw_z,-0.4051117378300771,0.2901464334047331,-0.8777036318516787,0.07123881628452294
manta,zi_cloudp_90_z,-0.060142094617433,0.30313428038919915,-0.558445452035945,0.43857263051574696
manta,zi_secc3m_z,0.10604561751820014,0.39768138015868026,-0.5491738953525274,0.7603749325925474
manta,zi_histmDHW6_z,0.054208106286771404,0.23149017335531932,-0.3229315175089118,0.4318796265969524
manta,zi_prop_acropora_pre_z,0.24491942207477202,0.3197797687336461,-0.2722653402676576,0.7683969460293169
manta,zi_acropora_cover_pre_z,-0.6891125498800154,0.346574567608391,-1.2740378635326146,-0.131690247427538
manta,zi_dhw10_load4_z,0.2893557728698399,0.30034208089302017,-0.2011114634507225,0.7957911150307196
manta,zi_dhw_novelty10_z,-0.22458233288717488,0.3867667437834821,-0.8465615880051585,0.40372457271386364
manta,zi_secc3m_p10_z,-0.09767093023454733,0.3985602753847665,-0.7636263665956463,0.5618666307122061
ltmp,Intercept,-1.9465075168020802,0.5064549055438524,-2.7272814023141527,-1.1014765353666376
ltmp,zi_Intercept,0.26129305664755687,0.5733135529157558,-0.7090004217498329,1.1800088576536731
ltmp,splines::nsann_maxdhw_zdfEQ31,-0.010110169656698965,0.3900076588545139,-0.6407571427786027,0.6402082728949405
ltmp,splines::nsann_maxdhw_zdfEQ32,0.11129736870507825,0.4924468933419994,-0.6851319711352257,0.9485726952711103
ltmp,splines::nsann_maxdhw_zdfEQ33,-0.10348684298210144,0.4537820416514763,-0.8457220551083909,0.6393094082262544
ltmp,prop_acropora_pre_z,0.10437573675895663,0.2063544069797479,-0.23243906189519947,0.4312100450907329
ltmp,acropora_cover_pre_z,0.21527560830979725,0.21204295438767204,-0.12462396794679635,0.5643589456466567
ltmp,histmDHW6_z,0.29152692849801815,0.21560540966769037,-0.06123988973024626,0.652007435982937
ltmp,yrsince6_z,0.1297116809426941,0.22672549511244688,-0.23626472641766158,0.5058379654996666
ltmp,histmDHW4_z,-0.08439685183755652,0.1596614422592375,-0.3508794762458207,0.1766421709948407
ltmp,yrsince4_z,0.008234465216688679,0.14583666912383927,-0.22725045016177126,0.24651478337959026
ltmp,ann_maxsst_z,0.24748012450778722,0.2418626662512365,-0.1469811140619942,0.640955001527132
ltmp,winyear_mean_z,0.5479326393786392,0.34102361196831565,0.001053360572309836,1.1259894222262985
ltmp,winyear_sd_z,0.2204605188980003,0.21629962130922026,-0.132449788776229,0.579667425021943
ltmp,mcur_90_z,-0.3065082884729641,0.1793278821278329,-0.6122263508393626,-0.025995931441748166
ltmp,dist_to_er_km_z,0.15680913827965556,0.11176162268450404,-0.02158928090012567,0.33894381169439863
ltmp,secc3m_z,-0.037882453634216724,0.2889317197041699,-0.5117804007687786,0.44125055850923295
ltmp,cloudp_90_z,-0.4534931783418246,0.21969234463391002,-0.8100012898976113,-0.09185188232162238
ltmp,dhw10_load4_z,0.1318958870902543,0.27819906073505707,-0.33364904919789157,0.5751647431999083
ltmp,dhw_novelty10_z,0.722870912917096,0.2414771582932333,0.3240458947533341,1.1170951000128304
ltmp,secc3m_p10_z,0.06306903138007208,0.27924782430139655,-0.393228429513151,0.5190173626070951
ltmp,prop_acropora_pre_z:ann_maxdhw_z,0.185416522889088,0.12001501762507656,-0.014814303258618504,0.3748484489561402
ltmp,cloudp_90_z:ann_maxdhw_z,0.09139330918023397,0.2023458461245081,-0.2414497380998759,0.42720406024563934
ltmp,secc3m_z:ann_maxdhw_z,-0.15927613244455785,0.2671453490555919,-0.5870150109183147,0.28925894940647895
ltmp,mcur_90_z:ann_maxdhw_z,-0.02034468420565091,0.13974714592468807,-0.24505724457014805,0.21272324327280262
ltmp,histmDHW6_z:ann_maxdhw_z,-0.1951710858407964,0.16742466219918922,-0.4792063683943806,0.07645379753493307
ltmp,dhw10_load4_z:ann_maxdhw_z,-0.018550569136069034,0.2206223905733751,-0.373412576620846,0.3508164009600248
ltmp,dhw_novelty10_z:ann_maxdhw_z,-0.021075027540605678,0.17101877133939494,-0.30255588929084937,0.2572540222337764
ltmp,secc3m_p10_z:ann_maxdhw_z,0.00559494295569626,0.26614767237044523,-0.44240800043947465,0.442564324582728
ltmp,zi_ann_maxdhw_z,-0.20645183955397553,0.29587355985812785,-0.6999881509087847,0.2783174153123176
ltmp,zi_cloudp_90_z,-0.26942517334130767,0.30876895713126556,-0.7977320709755358,0.2280818525794412
ltmp,zi_secc3m_z,-0.16130271605950666,0.4040638892202772,-0.8226511681892886,0.5118879145944762
ltmp,zi_histmDHW6_z,0.3745669386998551,0.2527131378283155,-0.03554795180569503,0.7840789908747148
ltmp,zi_prop_acropora_pre_z,-0.577793722630284,0.32141635046698586,-1.1046905955471176,-0.04935715709464764
ltmp,zi_acropora_cover_pre_z,0.08145704404865582,0.3368344048900635,-0.4699415182763161,0.6310239063240798
ltmp,zi_dhw10_load4_z,-0.10933444921329658,0.3370756233664084,-0.662193129872498,0.43984039365700106
ltmp,zi_dhw_novelty10_z,-0.5588054794595282,0.41201691673353297,-1.2285968447925906,0.1320146930510788
ltmp,zi_secc3m_p10_z,0.3180838750102277,0.4057265765612322,-0.3623003596173277,0.9790760044140623
mmp,Intercept,-1.5950954755017186,0.670074131844339,-2.6789291455858297,-0.48324913653521445
mmp,zoi_Intercept,-0.5365709402666942,0.8926764653923566,-1.9865673843630451,0.9415543246636958
mmp,coi_Intercept,-2.8056554609859132,0.5913467304711324,-3.841512871985598,-1.9077532329624485
mmp,splines::nsann_maxdhw_zdfEQ31,0.2533102442640546,0.47260344481295685,-0.5266536537431049,1.039041259103393
mmp,splines::nsann_maxdhw_zdfEQ32,0.03750761184926233,0.4860812775736459,-0.7728009516673349,0.8378701156517379
mmp,splines::nsann_maxdhw_zdfEQ33,0.062371707894687545,0.4731398862920913,-0.7107144776267758,0.8438802603868175
mmp,prop_acropora_pre_z,0.49607064990058397,0.23453527551397524,0.10478403987352672,0.8714597732540151
mmp,acropora_cover_pre_z,-0.056457272811028726,0.17022639071016424,-0.3346502669149706,0.226600147167057
mmp,histmDHW6_z,0.2417144963057107,0.38217655588377863,-0.3763666501787267,0.8745175200170906
mmp,yrsince6_z,0.33501263744615883,0.43039077137865606,-0.36793242061877796,1.04211540309697
mmp,histmDHW4_z,-0.03839452040041387,0.3793727482932966,-0.6553836659322251,0.6033728459275367
mmp,yrsince4_z,0.20315394092531822,0.3175122346824682,-0.31655802563633234,0.7348145446726543
mmp,ann_maxsst_z,-0.16805757278931302,0.3418657779594243,-0.7342923260256659,0.40201682425652147
mmp,winyear_mean_z,0.11173162614659397,0.4291727251891388,-0.6006101174435962,0.8085963045847404
mmp,winyear_sd_z,-0.20823093758046388,0.3685537605301341,-0.8244885387690175,0.40206402039869155
mmp,mcur_90_z,-0.2565150761815409,0.27924621247779874,-0.727304268319264,0.197488719750106
mmp,dist_to_er_km_z,-0.10451152510960154,0.15836098600961654,-0.3532788633083771,0.15986847969593346
