learner,scheme,event_year,transitions,observed_change_pp,severe_loss_n,severe_loss_observed_pp,severe_loss_predicted_pp,predicted_change_pp,predicted_gain_pp,predicted_loss_pp,rmse_pp
Core decomposed BRT,reef_blocked_5fold,1994,58,1.8991926914838082,1,-13.267636342843792,-1.8579344358926608,0.7087777161100235,2.564045659619344,1.855267943509321,5.719583109398931
Core decomposed BRT,reef_blocked_5fold,1995,95,2.1249234628110885,0,NA,NA,0.4292584724988676,2.27089586913214,1.8416373966332724,5.029298423139107
Core decomposed BRT,reef_blocked_5fold,1996,84,-0.6610467864031385,5,-19.806488323565976,-3.8371385135010936,0.24797754320562806,2.1758714524688214,1.9278939092631933,6.232125571116686
Core decomposed BRT,reef_blocked_5fold,1997,95,0.013599714152596266,8,-15.430514423065443,-2.090583933139768,0.037546922798946863,2.0011085818189525,1.9635616590200056,6.425649152536526
Core decomposed BRT,reef_blocked_5fold,1998,105,1.496506811886049,5,-13.01786535504403,-1.4353532271965148,0.180878121849347,2.174455403621092,1.993577281771745,6.085343077387592
Core decomposed BRT,reef_blocked_5fold,1999,92,-0.6456330411314184,6,-15.19168879826945,-1.0140250136698818,-0.2760661182561075,1.9672436439192402,2.2433097621753477,5.852744960296148
Core decomposed BRT,reef_blocked_5fold,2000,85,-1.2502058796141375,5,-10.603614745751322,-1.6601683063991772,-0.7614355927235968,1.8130927302471025,2.5745283229706994,4.547065688014805
Core decomposed BRT,reef_blocked_5fold,2001,87,-0.6910350017625203,6,-15.135487448472205,-0.2589034877518849,-0.09933997411868034,1.9136666366657338,2.013006610784414,6.042268155364738
Core decomposed BRT,reef_blocked_5fold,2002,103,-1.706589478787448,4,-11.548235910062782,-0.6878833933578765,-0.02578868525380062,1.9774269437928942,2.003215629046695,5.134979748163304
Core decomposed BRT,reef_blocked_5fold,2003,95,-0.5517664067297324,2,-12.953384379844707,-1.502052760209735,0.17692532734078562,1.8318353108560876,1.6549099835153025,4.203164552358378
Core decomposed BRT,reef_blocked_5fold,2004,87,0.6235092126425372,4,-13.821501239484842,-0.2915529498050906,0.8620654156596117,2.3812599111504076,1.5191944954907959,5.009476323698596
Core decomposed BRT,reef_blocked_5fold,2005,51,-0.1687523799193932,1,-12.898016959730937,-0.2756931086528025,0.42440399823152963,2.0649724066466533,1.640568408415124,4.222710724755114
Core decomposed BRT,reef_blocked_5fold,2006,99,-1.1996662094802113,10,-24.009306006270776,-4.260814518163829,-0.8687808543898118,1.8882984842141484,2.75707933860396,9.054414681632707
Core decomposed BRT,reef_blocked_5fold,2007,70,-0.36380069733114134,5,-13.06248437261103,-1.960093864067831,0.18308138274567892,2.2380739390992646,2.054992556353586,5.32567701860729
Core decomposed BRT,reef_blocked_5fold,2008,61,0.29764461198947656,3,-39.373474571205975,-2.7027289585704164,0.42896837662447795,2.2387322760576946,1.8097638994332168,10.332819240229833
Core decomposed BRT,reef_blocked_5fold,2009,73,-0.13608703275011916,3,-18.794851531296047,-1.4980208407839182,-0.2934574867939158,2.065656104774715,2.3591135915686308,5.934457485506224
Core decomposed BRT,reef_blocked_5fold,2010,63,-1.9178114402032216,5,-14.220780189626593,-0.7267165177023744,-0.23922740792518685,2.2094427462525585,2.448670154177745,6.201625261413082
Core decomposed BRT,reef_blocked_5fold,2011,54,-6.464348921368537,14,-19.851339006797673,-1.7055091513701979,-0.3720454449310266,1.785724936893603,2.157770381824629,10.86323212328087
Core decomposed BRT,reef_blocked_5fold,2012,53,0.6640126323120159,1,-11.767382212643446,-8.946942164822524,0.10365916985116556,1.7821206599577253,1.6784614901065598,4.153872854898917
Core decomposed BRT,reef_blocked_5fold,2013,51,-0.16839799927860727,4,-21.50484457810506,-3.437358389450647,1.7845299835325882e-4,1.7610133238162275,1.7608348708178743,7.1403590955592335
Core decomposed BRT,reef_blocked_5fold,2014,50,1.3457621044484123,2,-14.390654779382427,0.6314073442994589,0.053751117133431545,1.6499306820365054,1.5961795649030737,5.633525706741754
Core decomposed BRT,reef_blocked_5fold,2015,40,3.1536777570138095,0,NA,NA,0.16596979043082188,1.736357834093764,1.570388043662942,6.608628263236876
Core decomposed BRT,reef_blocked_5fold,2016,55,0.5032428775061415,4,-14.735643888216181,-3.5292173388022623,-1.0000838432903296,1.71751155374462,2.71759539703495,6.3641010522920105
Core decomposed BRT,reef_blocked_5fold,2017,63,-7.776669411236795,18,-23.07702892591975,-6.6124843201271135,-4.685857748874576,0.5905507076605377,5.276408456535114,12.718225927271723
Core decomposed BRT,reef_blocked_5fold,2018,56,0.7796736658218489,1,-11.507170615456582,-2.752644557771855,-0.12834002489538424,1.5766642998436196,1.7050043247390037,4.322626115758635
Core decomposed BRT,reef_blocked_5fold,2019,87,1.751558821478579,3,-16.876997099648346,-0.7973741816187948,0.40537544081131816,2.1670990108098964,1.7617235699985783,6.265751449485763
Core decomposed BRT,reef_blocked_5fold,2020,98,4.265822596673907,1,-29.293304741487443,1.357934780654846,0.17347151973165847,2.457022021587058,2.2835505018553994,8.65180699929349
Core decomposed BRT,reef_blocked_5fold,2021,172,2.639571012729044,8,-15.957781994397392,0.07244796519231825,0.1285055416132038,2.345595540629486,2.2170899990162827,7.421045952335973
Core decomposed BRT,reef_blocked_5fold,2022,184,0.630152478005479,10,-15.224099792975354,-5.562287180161011,-0.5958737104470745,2.3192713636048006,2.915145074051875,5.541266731859466
Core decomposed BRT,reef_blocked_5fold,2023,161,1.9008294648574016,6,-13.057308115996177,-0.9960626831017715,0.23062327023901852,2.4642360228838016,2.233612752644783,6.313629176056415
Core decomposed BRT,reef_blocked_5fold,2024,234,-5.892317748720672,53,-21.578786471466284,-9.1244571047567,-4.06090393327323,1.3176370688186654,5.378541002091895,9.064573368004082
Core decomposed BRT,reef_blocked_5fold,2025,105,-0.046068076599038714,10,-17.90738312333458,-0.8470222147947474,-0.15139557900717554,2.6272711040565455,2.778666683063721,7.686215044970845
Modifier-rich decomposed BRT,forward_2024_2025,2024,234,-5.892317748720672,53,-21.578786471466284,-2.792752778868038,-1.276237863822608,1.995400496065534,3.2716383598881418,11.960085626288329
Modifier-rich decomposed BRT,forward_2024_2025,2025,105,-0.046068076599038714,10,-17.90738312333458,-0.08105069279065395,-0.05320936336997512,2.8985736115302254,2.9517829749002003,8.242608166361583
Modifier-rich decomposed BRT,recent_year_holdout,2016,55,0.5032428775061415,4,-14.735643888216181,-2.7480270647728586,-0.31731889564962656,1.6224330398992073,1.9397519355488337,6.062408175187947
Modifier-rich decomposed BRT,recent_year_holdout,2017,63,-7.776669411236795,18,-23.07702892591975,-8.195070123499276,-5.1135519378768315,0.8465602889091671,5.9601122267859985,11.907139671481893
Modifier-rich decomposed BRT,recent_year_holdout,2018,56,0.7796736658218489,1,-11.507170615456582,-3.70335672860333,0.10570872365736271,1.7743420088129385,1.668633285155576,4.15860623397553
Modifier-rich decomposed BRT,recent_year_holdout,2019,87,1.751558821478579,3,-16.876997099648346,-2.840136166891388,-0.1889135118789085,2.029817178212583,2.2187306900914914,6.55360754085178
Modifier-rich decomposed BRT,recent_year_holdout,2020,98,4.265822596673907,1,-29.293304741487443,-8.331385566348558,-0.15411327211357648,1.9195861603154623,2.0736994324290388,8.829755835772843
Modifier-rich decomposed BRT,recent_year_holdout,2021,172,2.639571012729044,8,-15.957781994397392,0.5180951717246168,-0.45227847307807545,1.7716561553771226,2.223934628455198,8.173322624270675
Modifier-rich decomposed BRT,recent_year_holdout,2022,184,0.630152478005479,10,-15.224099792975354,-3.96463513882096,-0.044812516340854536,2.5043499733826695,2.5491624897235243,5.561161317728558
Modifier-rich decomposed BRT,recent_year_holdout,2023,161,1.9008294648574016,6,-13.057308115996177,-1.1786317586676813,0.5181810130491337,2.4221996345279537,1.9040186214788204,6.132770632832889
Modifier-rich decomposed BRT,recent_year_holdout,2024,234,-5.892317748720672,53,-21.578786471466284,-1.51033979319176,-0.417506628944439,2.1090571246316037,2.526563753576043,12.11335671821979
Modifier-rich decomposed BRT,recent_year_holdout,2025,105,-0.046068076599038714,10,-17.90738312333458,0.48766590222535067,0.12069977190708128,3.019430540469405,2.898730768562324,8.30819729215302
Modifier-rich decomposed BRT,reef_blocked_5fold,1985,1,-1.5568301207428303,0,NA,NA,0.1246238095841512,2.83996188543994,2.715338075855788,1.6814539303269815
Modifier-rich decomposed BRT,reef_blocked_5fold,1986,32,-3.6809601956006563,8,-18.594835191491956,-4.960703220268176,-1.3134823129536328,2.623324044231532,3.936806357185165,10.910745776658224
Modifier-rich decomposed BRT,reef_blocked_5fold,1987,38,2.1294790112465662,4,-15.414148566404593,0.09438496219053015,0.052262724320393805,3.604264580743594,3.5520018564232005,8.94404659640483
Modifier-rich decomposed BRT,reef_blocked_5fold,1988,38,-0.8442199475016511,5,-13.025851901558573,-4.882089032035301,-0.5889286416185721,2.8821012536018915,3.4710298952204637,8.874342754156366
Modifier-rich decomposed BRT,reef_blocked_5fold,1989,35,1.4918536691191653,1,-12.950174441194523,-1.2135885522867762,0.06536858823051009,2.499802306282487,2.434433718051977,5.832042443338083
Modifier-rich decomposed BRT,reef_blocked_5fold,1990,27,-4.120867080133415,4,-17.938779356703225,-0.7850344827752405,0.4127391523570907,2.800294976886941,2.3875558245298505,8.214996675377222
