learner,scheme,transitions,post_cover_rmse_pp,post_cover_mae_pp,change_rmse_pp,change_mae_pp,change_bias_pp,change_predictive_r2,direction_accuracy,severe_loss_n,severe_loss_mae_pp,severe_loss_bias_pp,programme_key
Core decomposed BRT,forward_2024_2025,139,10.52841134330363,7.811833606269253,10.52841134330363,7.811833606269253,2.7217157782299806,0.08111919315208382,0.6906474820143885,36,15.819932451536749,15.071119940241795,manta
Core decomposed BRT,forward_2024_2025,120,10.531879904492213,6.132697483128912,10.531879904492213,6.132697483128912,4.527704302641034,-0.02892908008703432,0.5916666666666667,21,20.310607599315215,20.310607599315215,mmp
Core decomposed BRT,recent_year_holdout,304,6.718605016163487,4.380831020021877,6.718605016163487,4.380831020021878,0.38649828556078913,0.1281200674852493,0.5822368421052632,20,17.558164789411613,17.558164789411613,ltmp
Core decomposed BRT,recent_year_holdout,443,9.511625340786853,7.1592332902096185,9.511625340786853,7.159233290209618,-1.3694716031504965,0.032896284582794366,0.5801354401805869,55,14.922097367266787,14.738303847207543,manta
Core decomposed BRT,recent_year_holdout,468,8.257333609994735,4.937975046565614,8.257333609994735,4.937975046565614,0.09770689688234549,0.046054872345530184,0.5384615384615384,39,19.267509924583766,19.267509924583766,mmp
Core decomposed BRT,reef_blocked_5fold,867,6.132843192773984,3.9912183594685744,6.132843192773984,3.9912183594685744,-0.15276353030625867,0.16550211923131264,0.6113033448673587,48,15.87373443827262,15.87373443827262,ltmp
Core decomposed BRT,reef_blocked_5fold,1416,7.149915304722467,5.161683690458931,7.149915304722467,5.161683690458931,-0.0939257108367895,0.1362174143211402,0.6073446327683616,116,12.680832770656117,12.6355161423239,manta
Core decomposed BRT,reef_blocked_5fold,806,7.668183234528811,4.853110112879584,7.668183234528811,4.853110112879584,-0.15356396280111861,0.13716121385840596,0.5632754342431762,70,16.572129605526122,16.351228737048874,mmp
Modifier-rich decomposed BRT,forward_2024_2025,80,8.586511384264725,5.433560900452945,8.586511384264725,5.433560900452946,1.819047751111395,0.1013660156342372,0.475,6,22.66720267736732,22.66720267736732,ltmp
Modifier-rich decomposed BRT,forward_2024_2025,139,11.381342237765397,8.484195393581231,11.381342237765397,8.484195393581231,1.979277384238622,-0.07379272447720586,0.6546762589928058,36,15.96860973003331,15.445104532153286,manta
Modifier-rich decomposed BRT,forward_2024_2025,120,11.797726876284711,7.065024169733385,11.797726876284711,7.065024169733385,5.489745678809323,-0.29113103634670146,0.43333333333333335,21,22.94743479959162,22.94743479959162,mmp
Modifier-rich decomposed BRT,recent_year_holdout,304,6.590022124005057,4.20763972237524,6.590022124005056,4.20763972237524,0.5221107272939521,0.16117337392273434,0.618421052631579,20,16.996299826861485,16.996299826861485,ltmp
Modifier-rich decomposed BRT,recent_year_holdout,443,9.513402718977025,7.1362244459945305,9.513402718977025,7.1362244459945305,-1.1277381025094488,0.032534817516811754,0.600451467268623,55,15.236392417709206,15.236392417709206,manta
Modifier-rich decomposed BRT,recent_year_holdout,468,8.62596936100218,5.089228153498569,8.62596936100218,5.089228153498569,0.5209686571988225,-0.041021153063302895,0.5534188034188035,39,20.1383986619529,19.79554739243612,mmp
Modifier-rich decomposed BRT,reef_blocked_5fold,867,5.988898596688365,3.859013787520113,5.988898596688366,3.859013787520113,-0.04463257980999377,0.2042155723712813,0.621683967704729,48,14.90311922004306,14.90311922004306,ltmp
Modifier-rich decomposed BRT,reef_blocked_5fold,1416,7.013921460267189,5.076117836305539,7.0139214602671895,5.076117836305539,0.09148722062710302,0.1687638035275132,0.6299435028248588,116,12.461087706192346,12.05781678425482,manta
Modifier-rich decomposed BRT,reef_blocked_5fold,806,7.084309701290679,4.5424525642105795,7.084309701290679,4.54245256421058,0.11076771162102508,0.2635559244605974,0.6029776674937966,70,15.066880464744889,14.966466896277613,mmp
Mortality-augmented decomposed BRT,forward_2024_2025,80,8.446895622153106,5.47147254383606,8.446895622153106,5.47147254383606,1.5971626951567355,0.13035181712872534,0.5,6,22.598447837984803,20.17241235101892,ltmp
Mortality-augmented decomposed BRT,forward_2024_2025,139,12.05746424842059,9.08964565738006,12.057464248420592,9.08964565738006,1.4895150325074467,-0.2051620769356648,0.6187050359712231,36,16.485714249181,14.356629958924712,manta
Mortality-augmented decomposed BRT,forward_2024_2025,120,11.813249621637826,7.0460820431847235,11.813249621637826,7.0460820431847235,5.531988234015689,-0.2945308579347432,0.43333333333333335,21,23.186194281776807,23.186194281776807,mmp
Mortality-augmented decomposed BRT,recent_year_holdout,304,6.449057029594909,4.3053851781867545,6.449057029594909,4.3053851781867545,0.40614702839274064,0.1966757132364365,0.6282894736842105,20,16.210876112661033,15.856157019433569,ltmp
Mortality-augmented decomposed BRT,recent_year_holdout,443,9.555967955821774,7.209417455733044,9.555967955821774,7.209417455733044,-1.2465437149831042,0.023858109236767233,0.5778781038374717,55,15.291213768750122,14.405063453416739,manta
Mortality-augmented decomposed BRT,recent_year_holdout,468,8.773648372234293,5.2744645628695235,8.773648372234293,5.2744645628695235,0.22198202301619654,-0.07697142788967226,0.5598290598290598,39,20.525290113328865,18.48386393986431,mmp
Mortality-augmented decomposed BRT,reef_blocked_5fold,867,5.968856460077603,3.8651434997622727,5.968856460077603,3.8651434997622727,-0.11891365042538889,0.20953292164300563,0.6343713956170703,48,14.815098757077205,14.815098757077205,ltmp
Mortality-augmented decomposed BRT,reef_blocked_5fold,1416,6.973165909029786,5.071797874703391,6.973165909029787,5.071797874703392,0.13059797080429605,0.178395808735485,0.6228813559322034,116,12.56888721662477,12.20858991382967,manta
Mortality-augmented decomposed BRT,reef_blocked_5fold,806,7.272522850440785,4.640405815233555,7.272522850440786,4.640405815233556,-0.06586235854134828,0.22390500234876687,0.6042183622828784,70,15.170841664843515,14.270994399817758,mmp
