learner,scheme,transitions,post_cover_rmse_pp,post_cover_mae_pp,change_rmse_pp,change_mae_pp,change_bias_pp,change_predictive_r2,direction_accuracy,severe_loss_n,severe_loss_mae_pp,severe_loss_bias_pp,programme_key
Core decomposed BRT,forward_2024_2025,139,10.52841134330363,7.811833606269253,10.52841134330363,7.811833606269253,2.7217157782299806,0.08111919315208382,0.6906474820143885,36,15.819932451536749,15.071119940241795,manta
Core decomposed BRT,forward_2024_2025,120,10.531879904492213,6.132697483128912,10.531879904492213,6.132697483128912,4.527704302641034,-0.02892908008703432,0.5916666666666667,21,20.310607599315215,20.310607599315215,mmp
Core decomposed BRT,recent_year_holdout,304,6.718605016163487,4.380831020021877,6.718605016163487,4.380831020021878,0.38649828556078913,0.1281200674852493,0.5822368421052632,20,17.558164789411613,17.558164789411613,ltmp
Core decomposed BRT,recent_year_holdout,443,9.511625340786853,7.1592332902096185,9.511625340786853,7.159233290209618,-1.3694716031504965,0.032896284582794366,0.5801354401805869,55,14.922097367266787,14.738303847207543,manta
Core decomposed BRT,recent_year_holdout,468,8.257333609994735,4.937975046565614,8.257333609994735,4.937975046565614,0.09770689688234549,0.046054872345530184,0.5384615384615384,39,19.267509924583766,19.267509924583766,mmp
Core decomposed BRT,reef_blocked_5fold,867,6.132843192773984,3.9912183594685744,6.132843192773984,3.9912183594685744,-0.15276353030625867,0.16550211923131264,0.6113033448673587,48,15.87373443827262,15.87373443827262,ltmp
Core decomposed BRT,reef_blocked_5fold,1416,7.149915304722467,5.161683690458931,7.149915304722467,5.161683690458931,-0.0939257108367895,0.1362174143211402,0.6073446327683616,116,12.680832770656117,12.6355161423239,manta
Core decomposed BRT,reef_blocked_5fold,806,7.668183234528811,4.853110112879584,7.668183234528811,4.853110112879584,-0.15356396280111861,0.13716121385840596,0.5632754342431762,70,16.572129605526122,16.351228737048874,mmp
Growth/environment LM,forward_2024_2025,80,9.26694073054093,5.53600876191878,9.26694073054093,5.53600876191878,1.733503006596832,-0.04669972305100356,0.5125,6,26.033628669360667,26.033628669360667,ltmp
Growth/environment LM,forward_2024_2025,139,11.18996570458656,8.241093006195921,11.18996570458656,8.241093006195921,3.2524448911815966,-0.03798482048980545,0.5971223021582733,36,16.7261067369012,16.7261067369012,manta
Growth/environment LM,forward_2024_2025,120,10.796433232627754,6.583671003044938,10.796433232627754,6.583671003044939,4.557061653933961,-0.08127024486426637,0.5416666666666666,21,21.138762877398843,21.138762877398843,mmp
Growth/environment LM,recent_year_holdout,304,7.0090353507289445,4.678966618031982,7.009035350728944,4.678966618031983,0.006775293372987787,0.05111198128846295,0.5921052631578947,20,17.292710915145136,17.292710915145136,ltmp
Growth/environment LM,recent_year_holdout,443,9.638569388348325,7.351349112303048,9.638569388348325,7.351349112303048,-1.4395321133467596,0.006909705188000048,0.54627539503386,55,15.263533113052924,15.263533113052924,manta
Growth/environment LM,recent_year_holdout,468,8.325212041162452,5.388350279882494,8.32521204116245,5.388350279882495,-0.2897382710609216,0.030306824355642914,0.48717948717948717,39,18.738323416261295,18.738323416261295,mmp
Growth/environment LM,reef_blocked_5fold,867,6.451790340182518,4.314160054215385,6.451790340182518,4.314160054215385,-0.34985788257629263,0.07644660565816774,0.5824682814302191,48,15.264971965935892,15.264971965935892,ltmp
Growth/environment LM,reef_blocked_5fold,1416,7.36060396439976,5.427275608114438,7.36060396439976,5.427275608114439,0.20184191302289842,0.08456070176963892,0.5819209039548022,116,13.499540041677015,13.482513352799412,manta
Growth/environment LM,reef_blocked_5fold,806,7.690546788724122,5.057990242700417,7.690546788724122,5.057990242700417,-0.15558411244779918,0.1321210944245952,0.5545905707196029,70,16.91948705118706,16.91948705118706,mmp
Modifier-rich decomposed BRT,forward_2024_2025,80,8.586511384264725,5.433560900452945,8.586511384264725,5.433560900452946,1.819047751111395,0.1013660156342372,0.475,6,22.66720267736732,22.66720267736732,ltmp
Modifier-rich decomposed BRT,forward_2024_2025,139,11.381342237765397,8.484195393581231,11.381342237765397,8.484195393581231,1.979277384238622,-0.07379272447720586,0.6546762589928058,36,15.96860973003331,15.445104532153286,manta
Modifier-rich decomposed BRT,forward_2024_2025,120,11.797726876284711,7.065024169733385,11.797726876284711,7.065024169733385,5.489745678809323,-0.29113103634670146,0.43333333333333335,21,22.94743479959162,22.94743479959162,mmp
Modifier-rich decomposed BRT,recent_year_holdout,304,6.590022124005057,4.20763972237524,6.590022124005056,4.20763972237524,0.5221107272939521,0.16117337392273434,0.618421052631579,20,16.996299826861485,16.996299826861485,ltmp
Modifier-rich decomposed BRT,recent_year_holdout,443,9.513402718977025,7.1362244459945305,9.513402718977025,7.1362244459945305,-1.1277381025094488,0.032534817516811754,0.600451467268623,55,15.236392417709206,15.236392417709206,manta
Modifier-rich decomposed BRT,recent_year_holdout,468,8.62596936100218,5.089228153498569,8.62596936100218,5.089228153498569,0.5209686571988225,-0.041021153063302895,0.5534188034188035,39,20.1383986619529,19.79554739243612,mmp
Modifier-rich decomposed BRT,reef_blocked_5fold,867,5.988898596688365,3.859013787520113,5.988898596688366,3.859013787520113,-0.04463257980999377,0.2042155723712813,0.621683967704729,48,14.90311922004306,14.90311922004306,ltmp
Modifier-rich decomposed BRT,reef_blocked_5fold,1416,7.013921460267189,5.076117836305539,7.0139214602671895,5.076117836305539,0.09148722062710302,0.1687638035275132,0.6299435028248588,116,12.461087706192346,12.05781678425482,manta
Modifier-rich decomposed BRT,reef_blocked_5fold,806,7.084309701290679,4.5424525642105795,7.084309701290679,4.54245256421058,0.11076771162102508,0.2635559244605974,0.6029776674937966,70,15.066880464744889,14.966466896277613,mmp
Mortality-augmented decomposed BRT,forward_2024_2025,80,8.446895622153106,5.47147254383606,8.446895622153106,5.47147254383606,1.5971626951567355,0.13035181712872534,0.5,6,22.598447837984803,20.17241235101892,ltmp
