scheme,fold,transition_id,programme_key,ReefID,ReefName,event_year,pre_cover,post_cover,cover_change_pp,sst_maxdhw,prop_acropora_pre,wqc_freqcc12,wqc_prior10_percentile,log_coastal_rain30,era5_wind_calm_fraction,cyc_maxHrs4mw,cot_idwmeanpertow,DISTURBANCE_TYPE,disturbance_text,predicted_change_pp_Core_decomposed_BRT,predicted_change_pp_Modifier_rich_decomposed_BRT,predicted_change_pp_Mortality_augmented_decomposed_BRT,expected_gain_pp_Core_decomposed_BRT,expected_gain_pp_Modifier_rich_decomposed_BRT,expected_gain_pp_Mortality_augmented_decomposed_BRT,expected_loss_pp_Core_decomposed_BRT,expected_loss_pp_Modifier_rich_decomposed_BRT,expected_loss_pp_Mortality_augmented_decomposed_BRT,change_error_pp_Core_decomposed_BRT,change_error_pp_Modifier_rich_decomposed_BRT,change_error_pp_Mortality_augmented_decomposed_BRT,rich_minus_core_change_pp,augmented_minus_rich_change_pp,rich_improves_absolute_error,auxiliary_improves_absolute_error,severe_loss,augmented_absolute_error_pp
reef_blocked_5fold,5,2004,manta,21-060,U/N Reef (21-060),2024,0.4183772154643925,0.28597806281198546,-13.239915265240704,8.99,0.4194754038758102,0,0.4,5.04829112437769,0.01098901098901099,1,0,NA,NA,-3.2215962254970645,-1.7580257091149798,-2.6328087945163228,0.998292975682878,1.2081325897766784,0.9818315505524856,4.219889201179946,2.9661582988916573,3.6146403450688065,-10.01831903974364,-11.481889556125724,-10.607106470724382,1.4635705163820847,-0.874783085401343,FALSE,TRUE,TRUE,10.607106470724382
reef_blocked_5fold,4,867,ltmp,23-082a,Lady Musgrave Reef (23-082a),2024,0.6333792303847722,0.28975171899340113,-34.3627511391371,11.2160377358491,0.9474516636293956,0.0530255667004531,0.8,5.801442997806395,0.01098901098901099,0,0.0202,m,"b s 34% decline hc abs 55% decline rel  coral bleaching, coral disease, unknown storm",-17.13748187898424,-18.3524240174544,-23.85967139491465,0.25076639770645054,0.22940050008653384,0.19979446684654129,17.388248276690685,18.58182451754093,24.05946586176119,-17.225269260152864,-16.010327121682703,-10.503079744222454,-1.2149421384701604,-5.507247377460249,TRUE,TRUE,TRUE,10.503079744222454
reef_blocked_5fold,3,1617,manta,18-034,Myrmidon Reef (18-034),2024,0.46454341268106875,0.2953049350308271,-16.923847765024163,8.72885714285714,0.15606337630475434,0,0.5,6.416116296599418,0.04395604395604396,9,0,b,DHW 7.18  coral bleaching,-4.770738744639696,-2.3206701532122453,-6.6114531075133485,0.823026289206404,0.6924860063252815,0.6015704581183207,5.5937650338461,3.013156159537526,7.213023565631673,-12.153109020384466,-14.60317761181192,-10.312394657510817,2.450068591427451,-4.290782954301103,FALSE,TRUE,TRUE,10.312394657510817
reef_blocked_5fold,3,2691,mmp,18-049e,Orpheus (Goolboddi) Island Reef (No 5) (18-049e),2024,0.5071642460105452,0.3884450177734608,-11.871922823708442,5.53888888888889,0.8773050262564269,0.281607665198612,0.3,6.212002270133139,0.2087912087912088,0,0.0011,m,"bleaching observed during targetted bleaching surveys  coral bleaching, Cyclone Kirrily",-5.0060433799405395,-2.354364502319206,-1.6969832982687003,1.5352277269024432,1.3683507508094546,1.487082096120043,6.541271106842982,3.72271525312866,3.184065394388743,-6.865879443767902,-9.517558321389236,-10.174939525439742,2.6516788776213334,0.6573812040505058,FALSE,FALSE,TRUE,10.174939525439742
reef_blocked_5fold,3,129,ltmp,14-126,Linnet Reef (14-126),2024,0.31732653959228374,0.18589676981759504,-13.142976977468868,6.675,0.6343256027311654,0.536864378405265,1,6.662192357426267,0.2307692307692308,0,0.0201,b,DHW 6.73  coral bleaching,-1.5818413758980965,-3.838643245704698,-3.1269751182746774,1.2950813163126345,1.3584258316761992,1.5648272637511431,2.8769226922107345,5.197069077380897,4.691802382025822,-11.561135601570772,-9.304333731764167,-10.01600185919419,-2.2568018698066017,0.7116681274300207,TRUE,FALSE,TRUE,10.01600185919419
reef_blocked_5fold,3,3042,mmp,23-016,Humpy (Bur-ye-Bur-ye) Reef (23-016),2024,0.4968734974323577,0.22997353185720512,-26.68999655751526,12.47,0.8806702661451502,0.742819670261997,0.3,5.455125136460727,0,0,0,b,bleaching still evident at time of surveys  coral bleaching,-16.567537035612734,-8.455659814014266,-16.739361307357488,0.5056611687239861,0.5791712138824111,0.48683731819388887,17.07319820433672,9.03483102789667,17.22619862555137,-10.122459521902528,-18.234336743500997,-9.950635250157774,8.111877221598467,-8.283701493343221,FALSE,TRUE,TRUE,9.950635250157774
reef_blocked_5fold,3,2204,manta,23-048,Broomfield Reef (23-048),2024,0.581105916624201,0.24912491355726227,-33.19810030669387,11.6140740740741,0.862233938344424,0.0430566355266609,0.7,5.301987044294902,0.03296703296703297,0,0,m,"Aerial bl 5 2024   DHW 11.6  coral bleaching, unknown storm",-20.31564464358367,-17.66102007428737,-23.37687272603879,0.48088571925211343,0.3585957324451483,0.3877564640193222,20.79653036283579,18.01961580673251,23.764629190058105,-12.882455663110193,-15.537080232406495,-9.821227580655076,2.654624569296299,-5.715852651751419,FALSE,TRUE,TRUE,9.821227580655076
reef_blocked_5fold,2,1455,manta,16-057,Hastings Reef (16-057),2024,0.2675786329407455,0.15281970484703908,-11.475892809370643,7.41673469387755,0.1802122772005963,0.08249482618129,0.9,6.940920589169635,0.13186813186813187,38,2e-4,m,"Jasper Jasper Cyclone Jasper, coral bleaching",-2.904969558895423,-2.8934838361867223,-2.7459360775090538,1.7857818959108147,1.8794773204826112,1.6758403912513011,4.690751454806238,4.772961156669332,4.421776468760351,-8.57092325047522,-8.58240897318392,-8.72995673186159,0.011485722708700852,0.14754775867766856,FALSE,FALSE,TRUE,8.72995673186159
reef_blocked_5fold,3,3058,mmp,23-016,Humpy (Bur-ye-Bur-ye) Reef (23-016),2024,0.27456883183503955,0.13594107109759657,-13.862776073744298,12.47,0.901484765985602,0.742819670261997,0.3,5.455125136460727,0,0,0,b,bleaching still evident at time of surveys  coral bleaching,-5.811459347680098,-2.932299954457049,-5.309015274973475,0.8333073596930418,0.9777450804289638,0.6957219066182918,6.644766707373141,3.910045034886014,6.004737181591765,-8.0513167260642,-10.930476119287247,-8.553760798770824,2.8791593932230493,-2.3767153205164258,FALSE,TRUE,TRUE,8.553760798770824
reef_blocked_5fold,3,2237,manta,23-055a,One Tree Island Reef (23-055a),2024,0.6064749895445039,0.2967154689292574,-30.975952061524648,11.6123762376238,0.9167527148244318,0.0455607442369428,0.9,5.509502913839823,0.02197802197802198,0,0.0397,m,"Aerial bl 4 2024  DHW 11.81  coral bleaching, coral disease, crown-of-thorns starfish, unknown storm",-22.70154203630292,-20.681208007666964,-23.37322314495666,0.4975120486558834,0.4952193483485707,0.553474947260596,23.1990540849588,21.17642735601554,23.92669809221725,-8.27441002522173,-10.294744053857684,-7.602728916567987,2.0203340286359577,-2.6920151372896974,FALSE,TRUE,TRUE,7.602728916567987
