gain_probability,loss_probability,conditional_gain_fraction,conditional_loss_fraction,expected_gain_pp,expected_loss_pp,predicted_post_cover,predicted_change_pp,learner,transition_id,programme_key,ReefID,ReefName,event_year,survey_date,pre_cover,post_cover,cover_change_pp,sst_maxdhw,prop_acropora_pre,wqc_freqcc12,wqc_prior10_percentile,log_coastal_rain30,era5_wind_calm_fraction,cyc_maxHrs4mw,cot_idwmeanpertow,mortality_environment_available,weather_available,DISTURBANCE_TYPE,disturbance_text,post_cover_error,change_error_pp,scheme,fold,absolute_change_error_pp
0.13087131472426874,0.8691286852757314,0.05361767376358407,0.1277452920780565,0.2677482006031314,6.8662497276484515,0.5524450677047825,-6.59850152704532,Mortality-augmented decomposed BRT,2250,manta,23-080,Hoskyn Islands Reef (23-080),2024,2024-11-09,0.6184300829752357,0.2796426122542491,-33.87874707209866,11.25625,0.25792108628559274,0.0454545468091965,0.85,5.784058808178996,0.01098901098901099,0,0.0161,1,1,b,DHW 11.48  coral bleaching,-0.27280245545053344,-27.28024554505334,forward_2024_2025,2024_2025,27.28024554505334
0.32061227629436945,0.6793877237056305,0.09701089774037892,0.6691332064590815,1.4669944878800312,24.01844422125919,0.3028268447391178,-22.55144973337916,Mortality-augmented decomposed BRT,1876,manta,19-159,Slate Reef (19-159),2024,2025-03-24,0.5283413420729094,0.5748118603074418,4.647051823453241,8.61,0.6136352481490801,0,0.45,5.8287453483906155,0.01098901098901099,33,0.0198,1,1,NA,NA,0.271985015568324,27.198501556832397,forward_2024_2025,2024_2025,27.198501556832397
0.5017318542895495,0.4982681457104505,0.11997124167038122,0.11693985450480804,3.4603968291898752,2.477064846149424,0.43495348245752735,0.983331983040453,Mortality-augmented decomposed BRT,1332,manta,16-015,Mackay Reef (16-015),2024,2024-10-05,0.4251201626271228,0.1647169175994882,-26.04032450276346,3.76809523809524,0.11108575555250784,0.0670124787248476,0.8,6.6724338344427165,0.15384615384615383,0,4e-4,1,1,m,"DHW 4.03  coral bleaching, Cyclone Jasper, flood waters",-0.27023656485803915,-27.023656485803915,forward_2024_2025,2024_2025,27.023656485803915
0.1831684798253891,0.8168315201746109,0.09221385645322584,0.15789535730151977,0.6192471133266532,8.168939251957852,0.5578823089984601,-7.549692138631203,Mortality-augmented decomposed BRT,867,ltmp,23-082a,Lady Musgrave Reef (23-082a),2024,2024-11-07,0.6333792303847722,0.28975171899340113,-34.3627511391371,11.2160377358491,0.9474516636293956,0.0530255667004531,0.8,5.801442997806395,0.01098901098901099,0,0.0202,1,1,m,"b s 34% decline hc abs 55% decline rel  coral bleaching, coral disease, unknown storm",-0.268130590005059,-26.813059000505906,forward_2024_2025,2024_2025,26.813059000505906
0.4437136902551782,0.41369935906586736,0.0756784909130354,0.12799607052937909,1.6894777888814418,2.6310391943111333,0.48745788337806073,-0.9415614054296972,Mortality-augmented decomposed BRT,3042,mmp,23-016,Humpy (Bur-ye-Bur-ye) Reef (23-016),2024,2024-05-12,0.4968734974323577,0.22997353185720512,-26.68999655751526,12.47,0.8806702661451502,0.742819670261997,0.3,5.455125136460727,0,0,0,1,1,b,bleaching still evident at time of surveys  coral bleaching,-0.2574843515208556,-25.748435152085563,forward_2024_2025,2024_2025,25.748435152085563
0.5960877541666418,0.40391224583335805,0.14891822128949106,0.18869310482192067,5.641356774585138,2.7779421532047213,0.39311955487060074,2.863414621380417,Mortality-augmented decomposed BRT,2219,manta,23-051,Wreck Island Reef (23-051),2025,2025-11-05,0.3644854086567966,0.14453096784872366,-21.995444080807292,1.052,0.9301569199434488,0.0940861978177227,0.5,5.979312548097701,0.12222222222222222,0,0,0,0,s,Alfred Cyclone Alfred,-0.24858858702187708,-24.85885870218771,forward_2024_2025,2024_2025,24.85885870218771
0.4404621758631242,0.5595378241368758,0.05606282478108891,0.3878466722367565,2.0687750569117194,3.52042854859719,0.14770406943061937,-1.45165349168547,Mortality-augmented decomposed BRT,1946,manta,20-104,U/N Reef (20-104),2024,2024-05-11,0.16222060434747407,0.3954607791259235,23.32401747784494,5.56,0.20685377657459916,0,0.3,5.8287453483906155,0,26,0.0038,1,1,NA,NA,0.2477567096953041,24.77567096953041,forward_2024_2025,2024_2025,24.77567096953041
0.5387123352269338,0.40926481746234367,0.06409941941776291,0.192649558879208,2.555573131006914,2.049349506038024,0.26498457163331707,0.5062236249688934,Mortality-augmented decomposed BRT,2698,mmp,18-050,Lady Elliot Reef (18-050),2025,2025-05-17,0.25992233538362813,0.025973808208153,-23.39485271754751,4.95,0.494015375449396,0.0940861978177227,0.5,5.979312548097701,0.12222222222222222,0,NA,0,0,f,flood waters,-0.23901076342516409,-23.901076342516404,forward_2024_2025,2024_2025,23.901076342516404
0.5815172118187402,0.3961386607481058,0.0782571686298146,0.15624543562470547,2.9109855885964873,2.2302814011539827,0.367140918878761,0.6807041874425046,Mortality-augmented decomposed BRT,2584,mmp,17-053,Stingaree Reefs (17-053),2025,2025-05-23,0.36033387700433595,0.12946397035252072,-23.086990665181524,3.74571428571429,0.50600337840787,0.0940861978177227,0.5,5.979312548097701,0.12222222222222222,0,0.0038,0,0,f,flood waters at 2.0 m only,-0.23767694852624027,-23.76769485262403,forward_2024_2025,2024_2025,23.76769485262403
0.6682493142298277,0.3317506857701724,0.13722593728617316,0.1257260883560098,4.483819200152837,2.1315331767191874,0.534562823949085,2.3522860234336473,Mortality-augmented decomposed BRT,1387,manta,16-028,Low Islands Reef (16-028),2024,2024-12-24,0.5110399637147486,0.29757599907640114,-21.346396463834743,6.42,0.07365554786941506,0.564896066302209,1,6.900914657280194,0.6263736263736264,0,1e-4,1,1,m,"Jasper Jasper Cyclone Jasper, flood waters, coral bleaching",-0.2369868248726839,-23.698682487268393,forward_2024_2025,2024_2025,23.698682487268393
0.7588799775111204,0.2411200224888796,0.0623231951532427,0.2812630498124907,2.5482481429956314,3.1278462043549276,0.4554147824026003,-0.5795980613592988,Mortality-augmented decomposed BRT,2389,mmp,16-054a,Fitzroy Island Reef (No 1) (16-054a),2024,2024-06-16,0.4612107630161933,0.21942723263160793,-24.178353038458535,7.66,0.589862940713534,0.529954681473679,0.9,6.977581085825649,0.2087912087912088,0,1e-4,1,1,b | m,"partial bleaching during bleaching surveys Feb24 | bleaching observed during targetted bleaching surveys  coral bleaching at 2.0 m only | coral bleaching at 2.0 m only, Cyclone Jasper",-0.23598754977099237,-23.598754977099237,forward_2024_2025,2024_2025,23.598754977099237
0.815367211460302,0.18463278853969803,0.08294418583054347,0.08440900512605577,4.3602329698400055,0.553693635962385,0.39334634325007745,3.8065393338776232,Mortality-augmented decomposed BRT,2431,mmp,17-009a,Tobias Spit (17-009a),2024,2024-06-15,0.3552809499113012,0.1601073468744418,-19.51736030368594,6.32,0.2715440227550341,0.748991096360115,0.8,6.845372987621058,0.6153846153846154,0,1e-4,1,1,m,"clear depth limit to level of mortality  flood waters at 2.0 m only, Cyclone Jasper at 2.0 m only, crown-of-thorns starfish at 5.0 m only",-0.23323899637563564,-23.323899637563564,forward_2024_2025,2024_2025,23.323899637563564
0.6086792445726417,0.25697500710186966,0.0967075429582133,0.19747319100732183,1.9347719178823288,3.406629233470829,0.656595633659265,-1.4718573155884984,Mortality-augmented decomposed BRT,2491,mmp,17-012,Normanby-Mabel Reef (17-012),2024,2024-06-17,0.67131420681515,0.42388243967717015,-24.743176713797983,6.45,0.6098800018551468,0.571581421394978,1,6.845372987621058,0.6153846153846154,0,0,1,1,c | u,"COTS seen this year and last, but also BrB disease | combination of flood, COTS,  minor bleachng  crown-of-thorns starfish | unknown at 2.0 m only",-0.23271319398209483,-23.271319398209485,forward_2024_2025,2024_2025,23.271319398209485
0.15947077721518496,0.8405292227848149,0.09007669731962818,0.7481732164171461,0.5518613819675587,38.72645210769262,0.23407260058981216,-38.17459072572507,Mortality-augmented decomposed BRT,1903,manta,19-209,Rebe Reef (19-209),2024,2024-05-13,0.6158185078470628,0.46618035867601393,-14.963814917104887,10.3432,0.6402774310653515,0,0.45,5.8287453483906155,0.01098901098901099,33,5e-4,1,1,b,DHW 9.3 to 11.1  coral bleaching,0.23210775808620177,23.210775808620177,forward_2024_2025,2024_2025,23.210775808620177
0.19094579333191888,0.8090542066680811,0.06832204836173841,0.17930429354457506,0.5133851621968892,8.797944239473992,0.5236293987717329,-8.284559077277098,Mortality-augmented decomposed BRT,2237,manta,23-055a,One Tree Island Reef (23-055a),2024,2024-11-06,0.6064749895445039,0.2967154689292574,-30.975952061524648,11.6123762376238,0.9167527148244318,0.0455607442369428,0.9,5.509502913839823,0.02197802197802198,0,0.0397,1,1,m,"Aerial bl 4 2024  DHW 11.81  coral bleaching, coral disease, crown-of-thorns starfish, unknown storm",-0.2269139298424755,-22.69139298424755,forward_2024_2025,2024_2025,22.69139298424755
0.236483026119146,0.763516973880854,0.06964383047931304,0.2583304962516649,0.6899011202057749,11.46171675642706,0.4733877602619881,-10.771815636221287,Mortality-augmented decomposed BRT,2204,manta,23-048,Broomfield Reef (23-048),2024,2024-11-04,0.581105916624201,0.24912491355726227,-33.19810030669387,11.6140740740741,0.862233938344424,0.0430566355266609,0.7,5.301987044294902,0.03296703296703297,0,0,1,1,m,"Aerial bl 5 2024   DHW 11.6  coral bleaching, unknown storm",-0.22426284670472585,-22.42628467047258,forward_2024_2025,2024_2025,22.42628467047258
0.31448354124203937,0.6671714542204918,0.17980554732842666,0.3952972225473101,1.8113484834685087,17.924940473997005,0.5185315792985761,-16.113591990528498,Mortality-augmented decomposed BRT,909,manta,11-237a,Ashmore Banks (No 1) (11-237a),2025,2025-12-12,0.679667499203861,0.7418445967061927,6.217709750233169,8.4714371257485,0.25792108628559274,0.0940861978177227,0.5,5.979312548097701,0.12222222222222222,0,0.0449,0,0,NA,NA,0.2233130174076167,22.331301740761667,forward_2024_2025,2024_2025,22.331301740761667
0.4654025252062119,0.5345974747937879,0.06867226589415788,0.22977042542922752,1.199595803946809,7.672991957462061,0.5599260597005399,-6.473396153515254,Mortality-augmented decomposed BRT,2011,manta,21-187,U/N Reef (21-187),2024,2025-01-10,0.6246600212356924,0.3486641253272356,-27.59958959084568,7.18220338983051,0.3136770924524844,0,0.4,5.04829112437769,0.03296703296703297,0,0,1,1,NA,NA,-0.21126193437330423,-21.12619343733043,forward_2024_2025,2024_2025,21.12619343733043
0.19984313572316567,0.8001568642768343,0.09316344969105517,0.6940420493894484,1.0384440671760162,24.559399609606373,0.20702922822892644,-23.52095554243036,Mortality-augmented decomposed BRT,1890,manta,19-207,Hyde Reef (19-207),2024,2025-01-21,0.4422387836532301,0.4164272899503213,-2.581149370290875,9.50714285714286,0.7162796368719883,0,0.45,5.8287453483906155,0.01098901098901099,33,8e-4,1,1,NA,NA,0.20939806172139488,20.939806172139484,forward_2024_2025,2024_2025,20.939806172139484
0.5563204521559446,0.4404175823889171,0.15049546884134535,0.19566994875761315,4.962933853507214,3.5093200938718003,0.4217609231268927,1.4536137596354135,Mortality-augmented decomposed BRT,2256,manta,23-081,Fairfax Islands Reef (23-081),2025,2025-10-28,0.40722478553053854,0.21364668099283793,-19.35781045377006,0.330851063829787,0.8153608323204058,0.0940861978177227,0.5,5.979312548097701,0.12222222222222222,0,4e-4,0,0,s,Alfred Cyclone Alfred,-0.20811424213405472,-20.811424213405473,forward_2024_2025,2024_2025,20.811424213405473
