programme_key,learner,event_year,n,observed_mean,predicted_mean,bias_observed_minus_predicted,rmse,severe_mae
manta,shape_brt,2017,23,0.13097818838058506,0.11298416050913113,0.017994027871453922,0.11678142902896246,0.1558654094383904
manta,shape_brt,2020,63,0.01145997072577666,0.12116708684697816,-0.1097071161212015,0.1430979415724356,0.13720066280704407
manta,shape_brt,2022,53,0.03579084242297705,0.059359862133030336,-0.023569019710053284,0.10690766860204952,0.2245042387231053
manta,shape_brt,2024,89,0.1910089706758529,0.02466201757785794,0.16634695309799497,0.2493603640512127,0.34261030379680885
manta,shape_ensemble,2016,20,0.14544376847496326,0.11773347415005621,0.027710294324907053,0.13670330775456271,0.18964459697818117
manta,shape_ensemble,2017,23,0.13097818838058506,0.11347403665067748,0.017504151729907567,0.10024064989287282,0.1415350223167693
manta,shape_ensemble,2020,63,0.01145997072577666,0.07365128353412774,-0.062191312808351086,0.07927679474262657,0.1692176122513236
manta,shape_ensemble,2022,53,0.03579084242297705,0.06302369432946432,-0.027232851906487266,0.10718868258444471,0.24423598043605543
manta,shape_ensemble,2024,89,0.1910089706758529,0.11810794910436562,0.07290102157148728,0.21002250567261335,0.25677584510181034
mmp,benchmark_brms,2017,32,0.12532500342899636,0.15460355355079372,-0.029278550121797385,0.11876828095462037,0.11590996097224268
mmp,benchmark_brms,2022,4,0,0.14971876403596776,-0.14971876403596776,0.15885709236498227,NA
mmp,benchmark_brms,2024,54,0.2377982153127752,0.12142611013439271,0.11637210517838249,0.2969291614420706,0.35726204801058686
mmp,benchmark_brt,2017,32,0.12532500342899636,0.1384738606380254,-0.013148857209029034,0.12024182802048314,0.13627879847816726
mmp,benchmark_brt,2022,4,0,0.15020848733437808,-0.15020848733437808,0.16385742190322344,NA
mmp,benchmark_brt,2024,54,0.2377982153127752,0.08960175585177006,0.14819645946100513,0.3086392174157431,0.3919473711018301
mmp,benchmark_ensemble,2017,32,0.12532500342899636,0.15460355355079372,-0.029278550121797385,0.11876828095462037,0.11590996097224268
mmp,benchmark_ensemble,2022,4,0,0.14971876403596776,-0.14971876403596776,0.15885709236498227,NA
mmp,benchmark_ensemble,2024,54,0.2377982153127752,0.11014182044995348,0.1276563948628217,0.3004243263555041,0.36956078092702116
mmp,recommended_route,2017,32,0.12532500342899636,0.15370618773462022,-0.02838118430562387,0.11739252460690934,0.11389182797278748
mmp,recommended_route,2022,4,0,0.14209632280117065,-0.14209632280117065,0.1519206305899113,NA
mmp,recommended_route,2024,54,0.2377982153127752,0.20325628977207197,0.03454192554070325,0.2610760014769335,0.2442112635407725
mmp,shape_brms,2017,32,0.12532500342899636,0.15370618773462022,-0.02838118430562387,0.11739252460690934,0.11389182797278748
mmp,shape_brms,2022,4,0,0.14209632280117065,-0.14209632280117065,0.1519206305899113,NA
mmp,shape_brms,2024,54,0.2377982153127752,0.20325628977207197,0.03454192554070325,0.2610760014769335,0.2442112635407725
mmp,shape_brt,2017,32,0.12532500342899636,0.1127154674138794,0.012609536015116937,0.1165772988670483,0.1586758382593846
mmp,shape_brt,2022,4,0,0.1519969808158793,-0.1519969808158793,0.16146398543242121,NA
mmp,shape_brt,2024,54,0.2377982153127752,0.0716987996104638,0.1660994157023114,0.3176410905235877,0.40896719786711366
mmp,shape_ensemble,2017,32,0.12532500342899636,0.14688931308917752,-0.02156430966018116,0.115061888392156,0.12133953764598095
mmp,shape_ensemble,2022,4,0,0.14390841015963693,-0.14390841015963693,0.15303831904907608,NA
mmp,shape_ensemble,2024,54,0.2377982153127752,0.14060480139666753,0.09719341391610767,0.26731675830191926,0.2964544481865252
