programme_key,learner,composition,prop_acropora_pre,observed_pre_cover,ann_maxdhw,occurrence,positive,mortality,q05,q95,outside_tree_support,observed_dhw_max
ltmp,shape_brt,Low Acropora,0.1,0.2277634256800129,8.25,0.3839729439202513,0.06722790855834643,0.025813697962749734,NA,NA,NA,NA
ltmp,shape_brt,Low Acropora,0.1,0.2277634256800129,8.5,0.4597892258214838,0.06722790855834643,0.03091066802963961,NA,NA,NA,NA
ltmp,shape_brt,Low Acropora,0.1,0.2277634256800129,8.75,0.4729895230417816,0.06722790855834643,0.031798096404108786,NA,NA,NA,NA
ltmp,shape_brt,Low Acropora,0.1,0.2277634256800129,9,0.4729895230417816,0.06907577742109315,0.032672119016143114,NA,NA,NA,NA
ltmp,shape_brt,Low Acropora,0.1,0.2277634256800129,9.25,0.4964632565762098,0.07311726765121412,0.036300036810076125,NA,NA,NA,NA
ltmp,shape_brt,Low Acropora,0.1,0.2277634256800129,9.5,0.4964632565762098,0.09962698613575643,0.049461137979830545,NA,NA,NA,NA
ltmp,shape_brt,Low Acropora,0.1,0.2277634256800129,9.75,0.4964632565762098,0.09962698613575643,0.049461137979830545,NA,NA,NA,NA
ltmp,shape_brt,Low Acropora,0.1,0.2277634256800129,10,0.4964632565762098,0.12800837509219573,0.06355145476730048,NA,NA,NA,NA
ltmp,shape_brt,Low Acropora,0.1,0.2277634256800129,10.25,0.5212489413536604,0.12800837509219573,0.06672423000120929,NA,NA,NA,NA
ltmp,shape_brt,Low Acropora,0.1,0.2277634256800129,10.5,0.5583219147140286,0.12800837509219573,0.07146988108090628,NA,NA,NA,NA
ltmp,shape_brt,Low Acropora,0.1,0.2277634256800129,10.75,0.5583219147140286,0.12800837509219573,0.07146988108090628,NA,NA,NA,NA
ltmp,shape_brt,Low Acropora,0.1,0.2277634256800129,11,0.5583219147140286,0.12800837509219573,0.07146988108090628,NA,NA,NA,NA
ltmp,shape_brt,Low Acropora,0.1,0.2277634256800129,11.25,0.5583219147140286,0.12800837509219573,0.07146988108090628,NA,NA,NA,NA
ltmp,shape_brt,Low Acropora,0.1,0.2277634256800129,11.5,0.5583219147140286,0.12800837509219573,0.07146988108090628,NA,NA,NA,NA
ltmp,shape_brt,Low Acropora,0.1,0.2277634256800129,11.75,0.5583219147140286,0.12800837509219573,0.07146988108090628,NA,NA,NA,NA
ltmp,shape_brt,Low Acropora,0.1,0.2277634256800129,12,0.5583219147140286,0.12800837509219573,0.07146988108090628,NA,NA,NA,NA
ltmp,shape_brt,Low Acropora,0.1,0.2277634256800129,12.25,0.5583219147140286,0.12800837509219573,0.07146988108090628,NA,NA,NA,NA
ltmp,shape_brt,Low Acropora,0.1,0.2277634256800129,12.5,0.5583219147140286,0.12800837509219573,0.07146988108090628,NA,NA,NA,NA
ltmp,shape_brt,Low Acropora,0.1,0.2277634256800129,12.75,0.5583219147140286,0.12800837509219573,0.07146988108090628,NA,NA,NA,NA
ltmp,shape_brt,Low Acropora,0.1,0.2277634256800129,13,0.5583219147140286,0.12800837509219573,0.07146988108090628,NA,NA,NA,NA
ltmp,shape_brt,Low Acropora,0.1,0.2277634256800129,13.25,0.5583219147140286,0.12800837509219573,0.07146988108090628,NA,NA,NA,NA
ltmp,shape_brt,Low Acropora,0.1,0.2277634256800129,13.5,0.5583219147140286,0.12800837509219573,0.07146988108090628,NA,NA,NA,NA
ltmp,shape_brt,Low Acropora,0.1,0.2277634256800129,13.75,0.5583219147140286,0.12800837509219573,0.07146988108090628,NA,NA,NA,NA
ltmp,shape_brt,Low Acropora,0.1,0.2277634256800129,14,0.5583219147140286,0.12800837509219573,0.07146988108090628,NA,NA,NA,NA
ltmp,shape_brt,Typical,0.26586271071453776,0.2277634256800129,0,0.311854568355448,0.04823425287046662,0.015042072108866896,NA,NA,NA,NA
ltmp,shape_brt,Typical,0.26586271071453776,0.2277634256800129,0.25,0.311854568355448,0.04823425287046662,0.015042072108866896,NA,NA,NA,NA
ltmp,shape_brt,Typical,0.26586271071453776,0.2277634256800129,0.5,0.311854568355448,0.04823425287046662,0.015042072108866896,NA,NA,NA,NA
