programme_key,source_observation_id,ReefID,ReefName,event_year,region_block,observed_mortality,scheme,fold,ann_maxdhw,prop_acropora_pre,observed_pre_cover,learner,predicted_occurrence,predicted_positive_loss,predicted_mortality,prediction_q05,prediction_q50,prediction_q95,residual,absolute_error,severe,high_dhw,high_dhw_high_acropora,low_mortality_event
ltmp,4231593,19-138,U/N Reef (19-138),2020,Central GBR,0,leave_one_event_out,2020,3.52,0.07745145210877742,0.3413425659846269,benchmark_brt,0.05643015899411492,0.01528717578458175,8.62657760094932e-4,NA,NA,NA,-8.62657760094932e-4,8.62657760094932e-4,FALSE,FALSE,FALSE,TRUE
ltmp,4227306,19-159,Slate Reef (19-159),2020,Central GBR,0,leave_one_event_out,2020,5.73,0.4267011199361873,0.31176205255252765,benchmark_brt,0.9767161000200082,0.03079516609991341,0.03007813453257579,NA,NA,NA,-0.03007813453257579,0.03007813453257579,FALSE,FALSE,FALSE,TRUE
ltmp,4228741,19-207,Hyde Reef (19-207),2020,Central GBR,0,leave_one_event_out,2020,5.84,0.5149469119724659,0.21268437953974742,benchmark_brt,0.8665517598909851,0.05517794045124486,0.04781454140518621,NA,NA,NA,-0.04781454140518621,0.04781454140518621,FALSE,FALSE,FALSE,TRUE
ltmp,4228048,19-209,Rebe Reef (19-209),2020,Central GBR,0,leave_one_event_out,2020,7.1000000000000005,0.5378055745744468,0.19738310010550875,benchmark_brt,0.8396978774740518,0.03611251324326737,0.03032360072062519,NA,NA,NA,-0.03032360072062519,0.03032360072062519,FALSE,FALSE,FALSE,TRUE
ltmp,4238625,21-305,East Cay Reef (21-305),2020,Southern GBR,0,leave_one_event_out,2020,4.61,0.2609107525018889,0.20427112916375162,benchmark_brt,0.9677446080609692,0.24498678206439267,0.2370846373890238,NA,NA,NA,-0.2370846373890238,0.2370846373890238,FALSE,FALSE,FALSE,TRUE
ltmp,4183355,21-529,U/N Reef (21-529),2020,Southern GBR,0.03949257900673553,leave_one_event_out,2020,3.98,0.5822428167247238,0.29469552267284255,benchmark_brt,0.7466241281666939,0.02325425534511653,0.01736218812321331,NA,NA,NA,0.022130390883522217,0.022130390883522217,FALSE,FALSE,FALSE,TRUE
ltmp,4184040,21-556,Gannett Cay Reef (21-556),2020,Southern GBR,0.5658792943952381,leave_one_event_out,2020,6.8,0.34729302570042375,0.23330519507553893,benchmark_brt,0.992442316722154,0.29340898722403563,0.2911914950277228,NA,NA,NA,0.2746877993675153,0.2746877993675153,TRUE,FALSE,FALSE,TRUE
ltmp,4232338,21-562,Turner Reef (21-562),2020,Southern GBR,0,leave_one_event_out,2020,6,0.17748734789558618,0.054479115033619116,benchmark_brt,0.4681450686500472,0.20284793999013737,0.0949622627922035,NA,NA,NA,-0.0949622627922035,0.0949622627922035,FALSE,FALSE,FALSE,TRUE
ltmp,4186343,22-102,Chinaman Reef (22-102),2020,Southern GBR,0,leave_one_event_out,2020,6.6000000000000005,0.09148329523475685,0.1544590375987282,benchmark_brt,0.9975643582424428,0.2599502273656417,0.2593170817369835,NA,NA,NA,-0.2593170817369835,0.2593170817369835,FALSE,FALSE,FALSE,TRUE
ltmp,4182005,22-104a,Horseshoe Reef (No 1) (22-104a),2020,Southern GBR,0.04340310167121431,leave_one_event_out,2020,6.61,0.020447710875091594,0.05868770430175735,benchmark_brt,0.01143253693119213,0.19481078004076943,0.00222718143741044,NA,NA,NA,0.04117592023380387,0.04117592023380387,FALSE,FALSE,FALSE,TRUE
ltmp,4188172,23-048,Broomfield Reef (23-048),2020,Southern GBR,0,leave_one_event_out,2020,6.9,0.8188876738951109,0.5949326890939102,benchmark_brt,0.36917350250821634,0.3004833906148931,0.11093050575884458,NA,NA,NA,-0.11093050575884458,0.11093050575884458,FALSE,FALSE,FALSE,TRUE
ltmp,4185537,23-055a,One Tree Island Reef (23-055a),2020,Southern GBR,0,leave_one_event_out,2020,5.34,0.8889220066516131,0.5764833385699617,benchmark_brt,0.5999093128222164,0.1546928686643306,0.09280169253891594,NA,NA,NA,-0.09280169253891594,0.09280169253891594,FALSE,FALSE,FALSE,TRUE
ltmp,4187212,23-082a,Lady Musgrave Reef (23-082a),2020,Southern GBR,0,leave_one_event_out,2020,4.91,0.9383600886206768,0.6261353612748524,benchmark_brt,0.5225272851031137,0.12473029225507554,0.06517498098216255,NA,NA,NA,-0.06517498098216255,0.06517498098216255,FALSE,FALSE,FALSE,TRUE
ltmp,4241128,11-016,McSweeney Reef (11-016),2022,Northern GBR,0,leave_one_event_out,2022,6.72,0,0.10206708835116286,benchmark_brt,0.25674387169907104,0.02563562382839459,0.00658178931512298,NA,NA,NA,-0.00658178931512298,0.00658178931512298,FALSE,FALSE,FALSE,TRUE
ltmp,4240948,11-029,Monsoon Reef (11-029),2022,Northern GBR,0,leave_one_event_out,2022,6.55,0.020203981877468212,0.12125299881007712,benchmark_brt,0.11554336066151684,0.06492752725786498,0.00750194469881596,NA,NA,NA,-0.00750194469881596,0.00750194469881596,FALSE,FALSE,FALSE,TRUE
ltmp,4241525,11-049,U/N Reef (11-049),2022,Northern GBR,0,leave_one_event_out,2022,5.8100000000000005,0.048981308349736,0.19528219082275924,benchmark_brt,0.09731817339511815,0.02939399281783045,0.00286056968982048,NA,NA,NA,-0.00286056968982048,0.00286056968982048,FALSE,FALSE,FALSE,TRUE
ltmp,4241315,12-056,Mantis Reef (12-056),2022,Northern GBR,0.0142612944602823,leave_one_event_out,2022,10.45,0.21517474702332873,0.1723114487572831,benchmark_brt,0.2375979111562074,0.1872768533038971,0.04449658915291343,NA,NA,NA,-0.03023529469263113,0.03023529469263113,FALSE,TRUE,FALSE,TRUE
ltmp,4241952,12-061,Lagoon Reef (12-061),2022,Northern GBR,0,leave_one_event_out,2022,7.71,0.277758232567382,0.3012948558892937,benchmark_brt,0.7460680031934968,0.11863279264953212,0.08850813072530456,NA,NA,NA,-0.08850813072530456,0.08850813072530456,FALSE,FALSE,FALSE,TRUE
ltmp,4242162,13-124,U/N Reef (13-124),2022,Northern GBR,0.0083632291558402,leave_one_event_out,2022,5.55,0.14891155162157527,0.29979917638459785,benchmark_brt,0.5463600232096515,0.04698228843247302,0.0256692441984085,NA,NA,NA,-0.017306015042568297,0.017306015042568297,FALSE,FALSE,FALSE,TRUE
ltmp,4184760,14-087,Snake Reef (14-087),2022,Northern GBR,0.0158806264351468,leave_one_event_out,2022,3.63,0.1668584373564845,0.21698047006081578,benchmark_brt,0.3038391333625132,0.06565076926826424,0.01994727283905172,NA,NA,NA,-0.00406664640390492,0.00406664640390492,FALSE,FALSE,FALSE,TRUE
ltmp,4171458,14-114,MacGillivray Reef (14-114),2022,Northern GBR,0.04302678635595218,leave_one_event_out,2022,3.88,0.09358090098874752,0.18257971587487679,benchmark_brt,0.12966963370585563,0.03075473117464335,0.00398795472613806,NA,NA,NA,0.03903883162981412,0.03903883162981412,FALSE,FALSE,FALSE,TRUE
ltmp,4169249,14-116a,Lizard Island Reef (North West) (14-116a),2022,Northern GBR,0,leave_one_event_out,2022,4.05,0.12788508563532167,0.16282802410731043,benchmark_brt,0.19315286145782537,0.07707046598932084,0.01488638103972533,NA,NA,NA,-0.01488638103972533,0.01488638103972533,FALSE,FALSE,FALSE,TRUE
ltmp,4175201,14-126,Linnet Reef (14-126),2022,Northern GBR,0,leave_one_event_out,2022,5.14,0.7120799290486606,0.34855397477533034,benchmark_brt,0.810985323477814,0.11062399314522922,0.08971443486529121,NA,NA,NA,-0.08971443486529121,0.08971443486529121,FALSE,FALSE,FALSE,TRUE
ltmp,4173744,14-137,Carter Reef (14-137),2022,Northern GBR,0,leave_one_event_out,2022,4.64,0.11162755510045248,0.28830740488365447,benchmark_brt,0.388085905756968,0.03741880572824669,0.01452171111339064,NA,NA,NA,-0.01452171111339064,0.01452171111339064,FALSE,FALSE,FALSE,TRUE
ltmp,4175970,14-138,Yonge Reef (14-138),2022,Northern GBR,0,leave_one_event_out,2022,4.65,0.1480934608370982,0.3026710530032551,benchmark_brt,0.41664692771187456,0.03530095118561009,0.0147080328567913,NA,NA,NA,-0.0147080328567913,0.0147080328567913,FALSE,FALSE,FALSE,TRUE
ltmp,4169993,14-139,No Name Reef (14-139),2022,Northern GBR,0,leave_one_event_out,2022,4.32,0.1782672759319418,0.29850797723535266,benchmark_brt,0.24642940543448277,0.03704800732659229,0.0091297184180245,NA,NA,NA,-0.0091297184180245,0.0091297184180245,FALSE,FALSE,FALSE,TRUE
ltmp,4172232,14-143,North Direction Reef (14-143),2022,Northern GBR,0.02573752403126933,leave_one_event_out,2022,4.36,0.40341642236557596,0.12012836820424704,benchmark_brt,0.5156772611252164,0.04729866360255527,0.02439084530144866,NA,NA,NA,0.0013466787298206696,0.0013466787298206696,FALSE,FALSE,FALSE,TRUE
ltmp,4176751,15-099c,Agincourt Reefs (No 1) (15-099c),2022,Central GBR,0,leave_one_event_out,2022,4.33,0.25797491087869023,0.23587484012350973,benchmark_brt,0.2105672535110875,0.04877253368225742,0.01026989846424995,NA,NA,NA,-0.01026989846424995,0.01026989846424995,FALSE,FALSE,FALSE,TRUE
ltmp,4170713,16-028,Low Islands Reef (16-028),2022,Central GBR,0.00670906586611519,leave_one_event_out,2022,4.33,0.07313090878400381,0.351152015296988,benchmark_brt,0.24557783011945816,0.07855215574911063,0.01929066796007231,NA,NA,NA,-0.01258160209395712,0.01258160209395712,FALSE,FALSE,FALSE,TRUE
ltmp,4179543,16-057,Hastings Reef (16-057),2022,Central GBR,0,leave_one_event_out,2022,4.74,0.13685594143549068,0.13348873682117463,benchmark_brt,0.14432592358106586,0.06058378109182782,0.00874381016011116,NA,NA,NA,-0.00874381016011116,0.00874381016011116,FALSE,FALSE,FALSE,TRUE
