ereefs_lat_index,ereefs_lon_index,year,lon,lat,n_reef_features,salinity_min,freshwater_exposure_30,freshwater_exposure_28,days_below_30,days_below_28,salinity_complete_q1,salinity_forcing_warning,k490_q90,coastal_distance_km,coastal_rain_december,coastal_rain_q1,coastal_rain_max_7day,coastal_rain_max_30day,reef_rain_q1,reef_wind_mean,reef_wind_calm3,flood30,flood28,log_kd,log_coastal_rain30,log_coastal_rain7,log_reef_rain
317,217,2022,148.678788,-19.186022,1,34.32431411743164,0,0,0,0,TRUE,TRUE,0.0750600002706051,98.47481422515315,124.10401916503906,382.9941711425781,252.63022994995117,326.1804542541504,409.9347839355469,7.067965984344482,0.02222222222222222,FALSE,FALSE,-2.5894674816700785,5.790511866557232,5.535877418731603,6.018434525349931
317,217,2024,148.678788,-19.186022,1,34.564720153808594,0,0,0,0,FALSE,FALSE,0.0731199979782104,98.47481422515315,104.3212432861328,545.1466064453125,199.3907642364502,324.754114151001,458.286376953125,7.344569683074951,0.04395604395604396,FALSE,FALSE,-2.615653379486538,5.786142845705709,5.300269281504227,6.129673930437099
317,224,2016,148.888788,-19.186022,1,34.68425369262695,0,0,0,0,TRUE,FALSE,0.0847999975085258,111.1950802335328,54.728271484375,534.46337890625,228.36541938781735,369.13072872161865,378.22747802734375,6.2028632164001465,0.06593406593406594,FALSE,FALSE,-2.467459765564872,5.91385626410439,5.435316449600022,5.938136230907817
317,224,2017,148.888788,-19.186022,1,34.74357604980469,0,0,0,0,TRUE,FALSE,0.0841400027275085,111.1950802335328,59.77153778076172,966.7965087890624,505.39039611816406,662.126054763794,1081.05712890625,6.662651062011719,0.1111111111111111,FALSE,FALSE,-2.475273168403451,6.496965099962713,6.227307905638604,6.986619257371416
317,224,2020,148.888788,-19.186022,1,34.24940872192383,0,0,0,0,TRUE,FALSE,0.0956000015139579,111.1950802335328,89.21956634521484,770.2225341796875,274.9757766723633,480.8721523284912,693.133544921875,6.4721527099609375,0.07692307692307693,FALSE,FALSE,-2.347582443088402,6.177678834735393,5.620313096185674,6.5426643698362605
317,224,2022,148.888788,-19.186022,1,34.25224685668945,0,0,0,0,TRUE,TRUE,0.0984600014984607,111.1950802335328,183.2544860839844,342.7500915527344,102.87356376647948,245.67949771881104,405.8265380859375,7.03459358215332,0.03333333333333333,FALSE,FALSE,-2.3181048894331036,5.508089913956192,4.643174426523871,6.008386898246069
317,224,2024,148.888788,-19.186022,1,34.46290969848633,0,0,0,0,FALSE,FALSE,0.0926000013947487,111.1950802335328,114.8700714111328,621.4276123046875,170.32301139831543,338.9319152832031,398.6901245117187,7.274788379669189,0.04395604395604396,FALSE,FALSE,-2.3794661222679228,5.8287453483906155,5.143550730215353,5.990689558160907
317,226,2016,148.948788,-19.186022,1,34.67435073852539,0,0,0,0,TRUE,FALSE,0.0562000013887882,111.1950802335328,54.728271484375,534.46337890625,228.36541938781735,369.13072872161865,378.22747802734375,6.2028632164001465,0.06593406593406594,FALSE,FALSE,-2.878838497370958,5.91385626410439,5.435316449600022,5.938136230907817
317,226,2017,148.948788,-19.186022,1,34.6861686706543,0,0,0,0,TRUE,FALSE,0.054959999769926,111.1950802335328,59.77153778076172,966.7965087890624,505.39039611816406,662.126054763794,1081.05712890625,6.662651062011719,0.1111111111111111,FALSE,FALSE,-2.901149635254251,6.496965099962713,6.227307905638604,6.986619257371416
317,226,2020,148.948788,-19.186022,1,34.21293640136719,0,0,0,0,TRUE,FALSE,0.0684600032866001,111.1950802335328,89.21956634521484,770.2225341796875,274.9757766723633,480.8721523284912,693.133544921875,6.4721527099609375,0.07692307692307693,FALSE,FALSE,-2.6815055978725018,6.177678834735393,5.620313096185674,6.5426643698362605
317,226,2022,148.948788,-19.186022,1,34.271305084228516,0,0,0,0,TRUE,TRUE,0.0720399975776672,111.1950802335328,183.2544860839844,342.7500915527344,102.87356376647948,245.67949771881104,405.8265380859375,7.03459358215332,0.03333333333333333,FALSE,FALSE,-2.630533792299213,5.508089913956192,4.643174426523871,6.008386898246069
317,226,2024,148.948788,-19.186022,1,34.450172424316406,0,0,0,0,FALSE,FALSE,0.0578400008380413,111.1950802335328,114.8700714111328,621.4276123046875,170.32301139831543,338.9319152832031,398.6901245117187,7.274788379669189,0.04395604395604396,FALSE,FALSE,-2.8500746866426705,5.8287453483906155,5.143550730215353,5.990689558160907
318,155,2016,146.818788,-19.156022,1,33.343482971191406,0,0,0,0,TRUE,FALSE,0.2781326965680198,0,76.36273193359375,528.925537109375,143.69726371765137,292.02771759033203,528.925537109375,2.659651279449463,0.6153846153846154,FALSE,FALSE,-1.2796569533909699,5.680267203827247,4.974643723421678,6.27273650065563
318,155,2017,146.818788,-19.156022,1,34.14112854003906,0,0,0,0,TRUE,FALSE,0.3193234787039135,0,45.50647735595703,401.8680114746094,97.5291748046875,184.08012580871585,401.8680114746094,2.835153102874756,0.5666666666666667,FALSE,FALSE,-1.1415506501641877,5.220788843791733,4.590352695232708,5.998608993350606
