Method,ReefName,Reef_Name,ReefID,SECTOR,Region,reef_zone,depth,report_year,DHWYear,Date,Prev.HC,mean,Change,Abs.Change,Rel.Change,Mort.prop,MaxDHW.mean,DISTURBANCE_TYPE,storm_name,description,Pre_Cover_Pct,Post_Cover_Pct,Net_Change_Pct,Growth_Adj_Loss_Pct,Mortality_Pct,MaxDHW
Manta Tow (LTMP),Forrester Reef (15-009),FORRESTER REEF,15-009,CL,Northern,_,9,2025,2024,2024-12-22,0.4022669377156626,0.12895462233059005,-0.2733123153850725,-0.23736424149814678,-0.6462076001869,0.6462076001869,4.16,m,Jasper,Jasper,40.2,12.9,-27.3,-23.7,64.6,4.16
Benthic Photo (MMP),North Keppel (Ko-no-mie) Island Reef (No 2) (23-004b),NORTH KEPPEL ISLAND,23-004b,CB,Southern,_,2,2024,2024,2024-05-12,0.4840089198869416,0.17797019321167112,-0.3060387266752705,-0.3201026268522291,-0.6413946301688876,0.6413946301688876,12.135,b,NA,bleaching still evident at time of surveys,48.4,17.8,-30.6,-32,64.1,12.13
Benthic Photo (LTMP),No Name Reef (14-139),NO NAME REEF,14-139,CL,Northern,_,9,2017,2016,2016-12-10,0.20592415980783954,0.10049984548469722,-0.10542431432314232,-0.1799202178910892,-0.6393297469016549,0.6393297469016549,11.455,m,NA,"Bleaching, storm damage.  Cyclone Nathan March 2015, 2015/16 summer bleaching",20.6,10,-10.5,-18,63.9,11.46
Benthic Photo (LTMP),Martin Reef (14-123),MARTIN REEF,14-123,CL,Northern,_,9,2017,2016,2016-09-02,0.09327377675792871,0.04797598176600217,-0.045297794991926536,-0.08638611616810196,-0.638185411474309,0.638185411474309,7.89,m,Nathan,Nathan and bleaching 2016 COTS removal-317,9.3,4.8,-4.5,-8.6,63.8,7.89
Benthic Photo (LTMP),Horseshoe Reef (No 1) (22-104a),HORSESHOE REEF,22-104a,SW,Southern,_,9,2021,2020,2020-08-31,0.05868770430175735,0.05614047590509801,-0.002547228396659336,-0.09785729208563146,-0.6313464597211772,0.6313464597211772,6.608,NA,NA,NA,5.9,5.6,-0.3,-9.8,63.1,6.61
Manta Tow (LTMP),Fitzroy Island Reef (No 1) (16-054a),FITZROY ISLAND,16-054a,CA,Central,_,9,1999,1998,1999-02-08,0.2390150718037775,0.09838463239892227,-0.14063043940485526,-0.1584999160648436,-0.6146157922567962,0.6146157922567962,1.015,b,NA,1-5% bleaching on 9 transects,23.9,9.8,-14.1,-15.8,61.5,1.01
Benthic Photo (LTMP),Moore Reef (16-071),MOORE REEF,16-071,IN,Central,_,9,2018,2017,2017-12-19,0.28758565433655,0.11858300978471017,-0.1690026445518398,-0.17309142417538817,-0.5914128604720784,0.5914128604720784,10.63,b,NA,"2016/17 summer bleaching, COTS removal.  0+ bleaching, low numbers disease and Drupella Decline in coral cover in the absence of COTS, COTS removal-7173",28.8,11.9,-16.9,-17.3,59.1,10.63
Benthic Photo (MMP),Pelican Island Reef (23-017),PELICAN ISLAND,23-017,CB,Southern,_,2,2024,2024,2024-05-14,0.06792091059527568,0.04020428702893302,-0.027716623566342656,-0.05925933309303383,-0.589858627641435,0.589858627641435,13.26,b,NA,bleaching still evident at time of surveys,6.8,4,-2.8,-5.9,59,13.26
Benthic Photo (LTMP),Turner Reef (21-562),TURNER CAY,21-562,SW,Southern,_,9,2021,2020,2020-09-06,0.054479115033619116,0.05697281508785689,0.0024937000542377755,-0.08258451258423924,-0.5875503892397504,0.5875503892397504,5.98,NA,NA,NA,5.4,5.7,0.2,-8.3,58.8,5.98
Benthic Photo (MMP),Humpy (Bur-ye-Bur-ye) Reef (23-016),HUMPY ISLAND AND HALFWAY ISLAND,23-016,CB,Southern,_,5,2025,2024,2025-04-21,0.13594107109759657,0.061526046434921836,-0.07441502466267473,-0.08875640436178034,-0.5866933269150553,0.5866933269150553,12.47,b,NA,further decline as a result of bleaching in 2024,13.6,6.2,-7.4,-8.9,58.7,12.47
