"ReefName","ReefID","Dataset","report_year","DHWYear","Era","Sector","depth","DISTURBANCE_TYPE","storm_name","description","tooltip","Pre_Cover_Pct","Post_Cover_Pct","Net_Change_Pct","Rel_Change_Pct","Growth_Adj_Mortality_Pct","Absolute_Loss_Pct","MaxDHW","prop_acropora","secc3m","winyear_mean","histmDHW6","mcur_90","winyear_sd","cloudp_90","yrsince6","In_Stage1_Zarr_Val_N262","In_MultiDecadal_Expansion_N465","In_Temporal_Era_Models","In_2024_Train_Pre2024","In_2024_Test_2024","In_Confirmed_Bleaching_Strict_N305"
"Gannett Cay Reef (21-556)","21-556","LTMP Benthic",2025,2024,"2024","SW",9,"b",NA,"DHW 8.47",NA,0.0700268280368491,0.0686970311732913,-0.00132979686355786,-0.381472036424236,0.381472036424236,0.00132979686355786,8.47,0.0269546728048394,13.682417,25.4614794520548,6.8,0.3817676,1.85324461942853,0.564549811376353,4,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"MacGillivray Reef (14-114)","14-114","Manta Tow",2025,2024,"2024","CL",9,"b",NA,"DHW 6.03",NA,0.465260584642081,0.284300497778135,-0.180960086863946,-0.381128151279681,0.381128151279681,0.180960086863946,5.93,0.161122558760782,16.519659,27.1220273972603,8.66,0.21679096,1.66271646008772,0.777092590460502,7,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"John Brewer Reef (18-075)","18-075","Manta Tow",2024,2024,"2024","TO",9,"m","Kirrily","Cyclone Kirrily",NA,0.234358978742879,0.173017127034182,-0.0613418517086972,-0.377555964033209,0.377555964033209,0.0613418517086972,5.79,0.181028383300128,15.207667,26.6867671232877,0,0.19989412,1.84601116457649,0.580891893852314,35,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"Rebe Reef (19-209)","19-209","LTMP Benthic",2025,2024,"2024","WH",9,"b",NA,"Aerial bl 4",NA,0.343701215894954,0.216914281380803,-0.126786934514151,-0.374628615940713,0.374628615940713,0.126786934514151,11.14,0.624849806929629,11.929825,26.4616164383562,6.85,0.54778975,1.56172099160516,0.621794086272715,2,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"Thetford Reef (16-068)","16-068","Manta Tow",2018,2017,"2016/2017","CA",9,"b",NA,"declines in HC and SC",NA,0.190400581591353,0.134542788655313,-0.0558577929360397,-0.372445753224956,0.372445753224956,0.0558577929360397,10.88,0.098205843707331,23.005213,27.4668852459016,0,0.24835588,1.54690723454769,0.717407069483961,35,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"East Cay Reef (21-305)","21-305","LTMP Benthic",2025,2024,"2024","SW",9,"b",NA,"Aerial bl 5 2024 DHW 7.67",NA,0.177402528414038,0.14647038718212,-0.0309321412319176,-0.369972099000977,0.369972099000977,0.0309321412319176,7.67,0.202335950048017,16.680683,25.8848219178082,0,0.2851248,1.71186489146863,0.579424426615435,35,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"Lady Musgrave Reef (23-082a)","23-082a","Manta Tow",2025,2024,"2024","CB",9,"m",NA,"Aerial bl 4 2024 DHW 11.42",NA,0.631808943736531,0.392673873479927,-0.239135070256604,-0.367200574956131,0.367200574956131,0.239135070256604,11.12,0.916236619954688,30.281443,24.9052054794521,6.29,0.33957973,1.99035393671443,0.565634816168477,22,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"North Keppel (Ko-no-mie) Island Reef (No 2) (23-004b)","23-004b","MMP Inshore",2025,2024,"2024","CB",5,"b",NA,"further decline as a result of bleaching in 2024",NA,0.199533140217297,0.152000850589095,-0.0475322896282017,-0.367151171953574,0.367151171953574,0.0475322896282017,12.41,0.756393795382898,9.361234,24.3857808219178,9.4,0.17823905,2.6844766855476,0.523071389372804,4,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"U/N Reef (13-124)","13-124","Manta Tow",2025,2024,"2024","PB",9,"b",NA,"DHW 7.65",NA,0.394094669328235,0.242922437162431,-0.151172232165805,-0.365663086441831,0.365663086441831,0.151172232165805,7.65,0.191045886759474,14.736478,27.1239726027397,6.23,0.22882998,1.82408103320213,0.804469299613886,4,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"Wreck Island Reef (23-051)","23-051","Manta Tow",2025,2024,"2024","CB",9,"m",NA,"Aerial bl 5 2024  DHW 11.64",NA,0.578966642791107,0.364485408656797,-0.214481234134311,-0.364408763152796,0.364408763152796,0.214481234134311,11.64,0.930156919943449,9.457288,24.8984931506849,6.48,0.38688174,1.98185804008485,0.554544566512576,4,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"Magnetic Island Reef (No 2) (19-009c)","19-009c","MMP Inshore",2024,2024,"2024","TO",2,"b",NA,"partial bleaching at time of surveys",NA,0.270130245109848,0.175477590485469,-0.094652654624378,-0.362489106156623,0.362489106156623,0.094652654624378,9.07,0.169873581064201,14.271323,26.279095890411,10.27,0.12007594,2.64383449300849,0.678335462149917,2,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"North Direction Reef (14-143)","14-143","LTMP Benthic",2025,2024,"2024","CL",9,"b",NA,"decline in hc and sc",NA,0.175646236675622,0.127005273405163,-0.0486409632704587,-0.360887909035081,0.360887909035081,0.0486409632704587,6.23,0.332769937310913,14.271323,27.1556164383562,6.57,0.24924465,1.63900302665175,0.771752572502311,4,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"Fairfax Islands Reef (23-081)","23-081","Manta Tow",2025,2024,"2024","CB",9,"b",NA,"Aerial bl 4 2024 DHW 11.46 2024",NA,0.650070462981362,0.407224785530539,-0.242845677450824,-0.35932929528596,0.35932929528596,0.242845677450824,11.26,0.815360832320406,15.965087,24.9725205479452,6.03,0.33571076,1.96159571686602,0.571394178957729,22,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"Middle (Ba-la-ba) Island Reef (23-010)","23-010","MMP Inshore",2025,2024,"2024","CB",5,"b",NA,"further decline as a result of bleaching in 2024",NA,0.123308522519693,0.087725896875833,-0.0355826256438602,-0.358799037322396,0.358799037322396,0.0355826256438602,12.23,0.12104776233851,8.068344,24.3384109589041,9.54,0.13480109,2.72393263165551,0.588640168198124,4,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
