"ReefName","ReefID","Dataset","report_year","DHWYear","Era","Sector","depth","DISTURBANCE_TYPE","storm_name","description","tooltip","Pre_Cover_Pct","Post_Cover_Pct","Net_Change_Pct","Rel_Change_Pct","Growth_Adj_Mortality_Pct","Absolute_Loss_Pct","MaxDHW","prop_acropora","secc3m","winyear_mean","histmDHW6","mcur_90","winyear_sd","cloudp_90","yrsince6","In_Stage1_Zarr_Val_N262","In_MultiDecadal_Expansion_N465","In_Temporal_Era_Models","In_2024_Train_Pre2024","In_2024_Test_2024","In_Confirmed_Bleaching_Strict_N305"
"U/N Reef (19-131a)","19-131a","Manta Tow",2003,2002,"1998/2002","WH",9,"b",NA,"Bleaching summer of 2001/2002 Feb? surveyed dec 02",NA,18.1,10.6,-7.5,-52.3,52.3,7.5,2.62,12.5,14.27,26.41,6.9,0.29,1.88,0.63,7,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
"Wreck Island Reef (23-051)","23-051","LTMP Benthic",2025,2024,"2024","CB",9,"b",NA,"big hc decline",NA,67,30.5,-36.5,-52.2,52.2,36.5,11.64,98,9.46,24.9,6.48,0.39,1.98,0.55,4,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"Lizard Island Reef (North West) (14-116a)","14-116a","Manta Tow",2017,2016,"2016/2017","CL",9,"m",NA,"bleaching in sector, COTS, storm damage",NA,7.9,6.7,-1.2,-51.3,51.3,1.2,8.63,0.9,26.71,26.61,0,0.25,1.74,0.85,35,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"Hastings Reef (16-057)","16-057","Manta Tow",2018,2017,"2016/2017","CA",9,"b",NA,"bleaching mortality- HC, COTS removal",NA,17.7,9.9,-7.8,-51.2,51.2,7.8,10.25,47.1,14.46,27.53,0,0.23,1.53,0.74,35,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"One Tree Island Reef (23-055a)","23-055a","Manta Tow",2025,2024,"2024","CB",9,"m",NA,"Aerial bl 4 2024  DHW 11.81",NA,60.6,29.7,-31,-50.7,50.7,31,11.53,91.7,10.01,24.93,0,0.37,1.96,0.54,35,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"Ribbon No 6 Reef (15-032)","15-032","Manta Tow",2017,2016,"2016/2017","CL",9,"m",NA,"Storm damage, bleaching",NA,23.9,14,-9.9,-50.6,50.6,9.9,8.46,34.1,20.03,26.79,0,0.3,1.64,0.58,35,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"Carter Reef (14-137)","14-137","Manta Tow",2017,2016,"2016/2017","CL",9,"m",NA,"0+ survey severe bleaching in sector 2016 summer, also severe storm damage",NA,14,10.7,-3.4,-50.6,50.6,3.4,11.32,25.7,15.72,26.81,0,0.37,1.59,0.6,35,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"Lizard Island Reef (North West) (14-116a)","14-116a","Manta Tow",2025,2024,"2024","CL",9,"b",NA,"DHW 6.27  aerial bl 4",NA,21.3,11.5,-9.8,-50.2,50.2,9.8,6.27,14.9,14.71,27.05,8.99,0.18,1.73,0.85,7,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"Moore Reef (16-071)","16-071","Manta Tow",2018,2017,"2016/2017","IN",9,"b",NA,"2016/17 summer bleaching, COTS removal",NA,17.5,11.2,-6.3,-48.9,48.9,6.3,10.7,32.8,22.1,27.46,0,0.26,1.54,0.72,35,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"Fitzroy Island Reef (No 1) (16-054a)","16-054a","MMP Inshore",2024,2024,"2024","CA",2,"b",NA,"partial bleaching during bleaching surveys Feb24",NA,46.1,21.9,-24.2,-48.4,48.4,24.2,7.82,59,11.23,26.73,10.69,0.18,2.07,0.74,7,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"U/N Reef (13-121)","13-121","Manta Tow",2017,2016,"2016/2017","PB",9,"b",NA,"Bleaching",NA,22.1,13.4,-8.7,-47.7,47.7,8.7,9.98,53.6,10.59,26.72,0,0.28,1.54,0.7,35,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"U/N Reef (20-104)","20-104","Manta Tow",2023,2022,"2020/2022","WH",9,"b",NA,"DHW 4 in 2022",NA,26.8,16.2,-10.6,-47.5,47.5,10.6,4.07,39.3,12.02,25.99,7.43,0.47,2,0.59,35,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
"Roxburgh Reef (18-042)","18-042","LTMP Benthic",2018,2017,"2016/2017","TO",9,"b",NA,"mortality on sites, but not manta tow for 2016/17 bleaching event.  low disease and Drupella on transects, 8% decline HCC",NA,18.6,10.4,-8.2,-47.3,47.3,8.2,7.54,30.9,22.8,27.2,0,0.29,1.63,0.63,35,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"Arlington Reef (16-064)","16-064","LTMP Benthic",2018,2017,"2016/2017","CA",9,"b",NA,"2016/17 summer bleaching.  Decline in HC and SC coral cover, COTS removal-1411",NA,20.5,10.9,-9.6,-46.9,46.9,9.6,10.9,32.8,19.93,27.49,0,0.22,1.57,0.73,35,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"MacGillivray Reef (14-114)","14-114","Manta Tow",2017,2016,"2016/2017","CL",9,"m",NA,"bleaching in sector. COTS and cyclone",NA,8.5,7.3,-1.2,-46.8,46.8,1.2,8.61,1.2,20.62,26.64,0,0.32,1.7,0.65,35,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"Pelorus (North Palm or Yanooa) Reef (18-048)","18-048","MMP Inshore",2017,2017,"2016/2017","TO",2,"b",NA,NA,NA,9.7,7.3,-2.4,-45.4,45.4,2.4,9.28,33.9,14.27,26.88,0,0.22,2.16,0.66,35,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"Middle (Ba-la-ba) Island Reef (23-010)","23-010","MMP Inshore",2024,2024,"2024","CB",5,"b",NA,"bleaching still evident at time of surveys",NA,21,12.3,-8.6,-45,45,8.6,12.23,48.1,8.07,24.34,9.54,0.13,2.72,0.59,4,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
