Method,ReefName,Reef_Name,ReefID,SECTOR,Region,reef_zone,depth,report_year,DHWYear,Date,Prev.HC,mean,Change,Abs.Change,Rel.Change,Mort.prop,MaxDHW.mean,DISTURBANCE_TYPE,Pre_Cover_Pct,Post_Cover_Pct,Net_Change_Pct,Growth_Adj_Loss_Pct,Mortality_Pct,MaxDHW
Benthic Photo (LTMP),North Direction Reef (14-143),NORTH DIRECTION ISLAND,14-143,CL,Northern,_,9,2017,2016,2016-12-16,0.08850900291861305,0.047185697838981064,-0.041323305079631986,-0.09317147497713603,-0.6591209566587548,0.6591209566587548,8.83,n,8.9,4.7,-4.1,-9.3,65.9,8.83
Benthic Photo (MMP),Pelican Island Reef (23-017),PELICAN ISLAND,23-017,CB,Southern,_,2,2021,2021,2021-05-08,0.048286517218236284,0.024962736861138462,-0.023323780357097822,-0.05021823505223273,-0.6591965656376522,0.6591965656376522,0,NA,4.8,2.5,-2.3,-5,65.9,0
Manta Tow (LTMP),North Direction Reef (14-143),NORTH DIRECTION ISLAND,14-143,CL,Northern,_,9,2025,2024,2024-09-27,0.5837507562816058,0.18210999156528573,-0.40164076471632004,-0.34724644031625385,-0.6547416406063589,0.6547416406063589,6.505,NA,58.4,18.2,-40.2,-34.7,65.5,6.5
Benthic Photo (LTMP),Opal Reef (16-025),OPAL REEF,16-025,CA,Central,_,9,2017,2016,2016-09-14,0.20039619151906032,0.08375629332167503,-0.1166398981973853,-0.16021931591926947,-0.6540215020413994,0.6540215020413994,5.82,b,20,8.4,-11.7,-16,65.4,5.82
Benthic Photo (LTMP),Hastings Reef (16-057),HASTINGS REEF,16-057,CA,Central,_,9,2018,2017,2017-12-14,0.2580853512318209,0.0935136518817516,-0.16457169935006932,-0.17680603673401668,-0.6516520700582186,0.6516520700582186,10.37333333,b,25.8,9.4,-16.5,-17.7,65.2,10.37
Manta Tow (LTMP),Forrester Reef (15-009),FORRESTER REEF,15-009,CL,Northern,_,9,2025,2024,2024-12-22,0.4022669377156626,0.12895462233059005,-0.2733123153850725,-0.23736424149814678,-0.6462076001869,0.6462076001869,4.16,NA,40.2,12.9,-27.3,-23.7,64.6,4.16
Benthic Photo (MMP),North Keppel (Ko-no-mie) Island Reef (No 2) (23-004b),NORTH KEPPEL ISLAND,23-004b,CB,Southern,_,2,2024,2024,2024-05-12,0.4840089198869416,0.17797019321167112,-0.3060387266752705,-0.3201026268522291,-0.6413946301688876,0.6413946301688876,12.135,NA,48.4,17.8,-30.6,-32,64.1,12.13
Benthic Photo (LTMP),No Name Reef (14-139),NO NAME REEF,14-139,CL,Northern,_,9,2017,2016,2016-12-10,0.20592415980783954,0.10049984548469722,-0.10542431432314232,-0.1799202178910892,-0.6393297469016549,0.6393297469016549,11.455,b,20.6,10,-10.5,-18,63.9,11.46
Benthic Photo (MMP),Stingaree Reefs (17-053),DUNK ISLAND,17-053,IN,Central,South,2,2025,2025,2025-05-23,0.36033387700433595,0.12946397035252072,-0.23086990665181523,-0.22986547056922027,-0.6379314162651066,0.6379314162651066,NA,NA,36,12.9,-23.1,-23,63.8,NA
Benthic Photo (LTMP),Horseshoe Reef (No 1) (22-104a),HORSESHOE REEF,22-104a,SW,Southern,_,9,2021,2020,2020-08-31,0.05868770430175735,0.05614047590509801,-0.002547228396659336,-0.09785729208563146,-0.6313464597211772,0.6313464597211772,6.608,NA,5.9,5.6,-0.3,-9.8,63.1,6.61
