programme_key,learner,event_year,n,severe_n,observed_mean,predicted_mean,rmse,mae,predictive_r2,bias,severe_observed,severe_predicted,severe_bias,severe_rmse,false_extreme_rate
ltmp,Soft-gated tail ensemble,2024,75,4,0.11262580066603782,0.14113992185880725,0.13691611831398304,0.09088319314166479,0.22999867594116052,0.028514121192769415,0.6202929079050374,0.5290676441229945,-0.09122526378204299,0.15430890075879136,0.08823529411764706
ltmp,Standard two-part BRT,2016,22,4,0.18330675000243254,0.1165511592127837,0.16156952408021924,0.10582294993733225,0.5193142525258732,-0.06675559078964885,0.5926050488485936,0.37645192098848984,-0.2161531278601037,0.2728851578569513,0
ltmp,Standard two-part BRT,2017,19,3,0.18617327096624434,0.1262288276627231,0.24753683866354492,0.18131264518762522,0.02623555143104639,-0.05994444330352124,0.6497353207100929,0.1921821890422593,-0.45755313166783357,0.482987626770063,0
ltmp,Standard two-part BRT,2020,47,1,0.02271156283741858,0.02600265807064372,0.10312602069010375,0.04317076381993709,-0.09897724182675383,0.003291095233225143,0.5658792943952381,0.05030122273135388,-0.5155780716638843,0.5155780716638843,0
ltmp,Standard two-part BRT,2022,36,0,0.01585845519859899,0.018707174300289182,0.039922011734412344,0.022817480093538536,-0.07604561403982824,0.0028487191016901945,,,,,0
ltmp,Standard two-part BRT,2024,75,4,0.11262580066603782,0.11354805825231894,0.136114351239166,0.08857781457782127,0.23899037264729095,9.222575862811105e-4,0.6202929079050374,0.3979568209097844,-0.22233608699525303,0.24553946898902476,0.058823529411764705
manta,Aggressive tail ensemble,2016,20,0,0.14544376847496326,0.17722507721767858,0.11621600654164545,0.10144932068325471,0.4459261469799014,0.031781308742715314,,,,,0.1875
manta,Aggressive tail ensemble,2017,23,1,0.13097818838058506,0.19261036116274077,0.13702851408332503,0.11980637634548623,0.25936404170933625,0.061632172782155735,0.5084959955779488,0.3151635651468218,-0.19333243043112697,0.19333243043112697,0.05263157894736842
manta,Aggressive tail ensemble,2020,63,0,0.01145997072577666,0.07739971266656927,0.10567210466258822,0.07326884216228877,-4.898184970611135,0.0659397419407926,,,,,0.031746031746031744
manta,Aggressive tail ensemble,2022,53,0,0.03579084242297705,0.06791740212061548,0.09859132303343576,0.07471299185331935,-0.48762131282131715,0.03212655969763843,,,,,0
manta,Aggressive tail ensemble,2024,89,6,0.1910089706758529,0.22037752002239475,0.1698994127603835,0.14221225825571898,0.09646457343170922,0.02936854934654184,0.58046576733465,0.3720527543249624,-0.20841301300968768,0.2479483705556406,0.21875
manta,Conservative tail ensemble,2016,20,0,0.14544376847496326,0.1169012378728757,0.11723243771680279,0.08790961277620728,0.4361918471016569,-0.028542530602087574,,,,,0.0625
manta,Conservative tail ensemble,2017,23,1,0.13097818838058506,0.1380918773732969,0.1148959444451587,0.09526178074321315,0.47929434339378796,0.007113688992711852,0.5084959955779488,0.29008337680456187,-0.2184126187733869,0.2184126187733869,0.05263157894736842
manta,Conservative tail ensemble,2020,63,0,0.01145997072577666,0.03793575456601102,0.0705708768710496,0.037098073326784546,-1.6305629621073061,0.02647578384023436,,,,,0
manta,Conservative tail ensemble,2022,53,0,0.03579084242297705,0.03201447900047167,0.08814667603334246,0.05342339420362931,-0.18912328222822095,-0.003776363422505378,,,,,0
manta,Conservative tail ensemble,2024,89,6,0.1910089706758529,0.16487325026732738,0.16856571414772564,0.1312110995678249,0.11059427723330639,-0.02613572040852553,0.58046576733465,0.33310194538393695,-0.2473638219507131,0.2975004325542268,0.0625
manta,Soft-gated tail ensemble,2016,20,0,0.14544376847496326,0.13263326270117345,0.11141966610114239,0.08525223090376131,0.4907166647298412,-0.012810505773789803,,,,,0.125
manta,Soft-gated tail ensemble,2017,23,1,0.13097818838058506,0.15280416455261595,0.11812328098259776,0.09877486548613668,0.4496310815174662,0.0218259761720309,0.5084959955779488,0.3041149860589249,-0.20438100951902388,0.20438100951902388,0.05263157894736842
manta,Soft-gated tail ensemble,2020,63,0,0.01145997072577666,0.04300010276617153,0.07979415406330742,0.04179508619783161,-2.363100327952879,0.03154013204039487,,,,,0.031746031746031744
manta,Soft-gated tail ensemble,2022,53,0,0.03579084242297705,0.03479805007779292,0.08914793128237726,0.055127458778536115,-0.216291136217035,-9.92792345184128e-4,,,,,0
manta,Soft-gated tail ensemble,2024,89,6,0.1910089706758529,0.17968736571008606,0.1685941666136904,0.13364045635317595,0.11029400357581809,-0.011321604965766851,0.58046576733465,0.3517546878737096,-0.22871107946094044,0.2774147167731188,0.109375
manta,Standard two-part BRT,2016,20,0,0.14544376847496326,0.10116921304457792,0.12724967429053508,0.09440086112915518,0.33572314791255975,-0.04427455543038535,,,,,0
manta,Standard two-part BRT,2017,23,1,0.13097818838058506,0.12337959019397786,0.11615814252113889,0.09219581089196033,0.4677910005000595,-0.007598598186607189,0.5084959955779488,0.27605176755019883,-0.23244422802774994,0.23244422802774994,0
manta,Standard two-part BRT,2020,63,0,0.01145997072577666,0.03287140636585051,0.0625817249135625,0.03240106045573748,-1.0686772197512662,0.02141143564007385,,,,,0
manta,Standard two-part BRT,2022,53,0,0.03579084242297705,0.029230907923150425,0.08740285442891461,0.0517193296287225,-0.16913923427647837,-0.006559934499826628,,,,,0
manta,Standard two-part BRT,2024,89,6,0.1910089706758529,0.15005913482456867,0.1722609220294965,0.1329891728132755,0.07117271474581222,-0.040949835851284214,0.58046576733465,0.3144492028941643,-0.26601656444048577,0.31847151229053344,0.046875
mmp,Aggressive tail ensemble,2017,32,0,0.12532500342899636,0.2754629074408624,0.209908566581287,0.17068775317028828,-2.2001204188919146,0.15013790401186605,,,,,0.32142857142857145
mmp,Aggressive tail ensemble,2022,4,0,0,0.046515035893525035,0.046950650478299195,0.046515035893525035,-Inf,0.046515035893525035,,,,,0
mmp,Aggressive tail ensemble,2024,54,13,0.2377982153127752,0.28149543567420154,0.2734937433923421,0.20341424011409762,-0.010524971372039449,0.04369722036142635,0.6438488594127777,0.39183560933506917,-0.25201325007770853,0.35945547949309353,0.3611111111111111
mmp,Conservative tail ensemble,2017,32,0,0.12532500342899636,0.21648019361573617,0.17591358930361226,0.13871862323413095,-1.2475262610824958,0.09115519018673982,,,,,0.25
mmp,Conservative tail ensemble,2022,4,0,0,0.019124954752408132,0.02049790624713426,0.019124954752408132,-Inf,0.019124954752408132,,,,,0
mmp,Conservative tail ensemble,2024,54,13,0.2377982153127752,0.21895818225872593,0.2825996381597966,0.1944048740017874,-0.0789354473465087,-0.018840033054049275,0.6438488594127777,0.294640990448189,-0.3492078689645887,0.43571126241178926,0.25
mmp,Soft-gated tail ensemble,2017,32,0,0.12532500342899636,0.2358064769410243,0.18951404906212632,0.1499216138260042,-1.608487838645054,0.11048147351202797,,,,,0.25
mmp,Soft-gated tail ensemble,2022,4,0,0,0.020178515149733723,0.021457729625974323,0.020178515149733723,-Inf,0.020178515149733723,,,,,0
mmp,Soft-gated tail ensemble,2024,54,13,0.2377982153127752,0.2457016233776685,0.277741127553061,0.19360067090200478,-0.04215579386746082,0.007903408064893275,0.6438488594127777,0.3503661077938577,-0.29348275161892,0.4032637905815061,0.3611111111111111
mmp,Standard two-part BRT,2017,32,0,0.12532500342899636,0.19715391029044801,0.1675009798957384,0.1338942789152425,-1.0377021285317025,0.07182890686145167,,,,,0.17857142857142858
mmp,Standard two-part BRT,2022,4,0,0,0.018071394355082544,0.01955051940324547,0.018071394355082544,-Inf,0.018071394355082544,,,,,0
mmp,Standard two-part BRT,2024,54,13,0.2377982153127752,0.19221474113978337,0.2946659482032225,0.20317236333984637,-0.1730382172253344,-0.04558347417299183,0.6438488594127777,0.23891587310252022,-0.4049329863102575,0.4760236885323135,0.19444444444444445
