ann_maxdhw,scenario,programme_key,prop_acropora_pre,dhw_novelty10,log_coastal_rain30,wqc_prior10_percentile,cloudp_90,predicted_occurrence,predicted_positive_mortality,predicted_mortality,tail_probability,tail_magnitude,conservative_prediction,soft_gate_prediction,aggressive_prediction,observed_dhw_min,observed_dhw_max,outside_observed_dhw
5,Low compound risk,manta,0.08205185222328912,-5.005,5.04829112437769,0.2,0.8638448679999999,0.33485320329270885,0.0467736694873157,0.015662313057582096,0.011873657681893633,0.34757778582889354,0.017632838409087314,0.019603363760592536,0.051829918829949986,0,11.64,FALSE
5,Low compound risk,mmp,0.04961985378338604,-3.96,5.3548966285573405,0,0.8873663,0.31206046411035293,0.019528800244632508,0.006094166467858394,0.006104902323794119,0.39435412802278574,0.0072793110386248396,0.008464455609391285,0.036430421526214264,4.12,13.26,FALSE
5,Median conditions,ltmp,0.2688625059919296,-0.31,5.985742071087043,0.45,0.7154463,0.11382924613593587,0.054925785414359864,0.006252160747140766,0.013651912031057626,0.42132413200699625,0.00908542376623938,0.011918686785337992,0.05474974968586866,0,11.64,FALSE
5,Median conditions,manta,0.27908342553874005,-0.44499999999999995,5.909006224011357,0.45,0.6959865000000001,0.11736962270384242,0.07852730321285321,0.009216719950042815,0.01911022677290071,0.380261654805064,0.012762096374050628,0.016307472798058442,0.06050987669209774,0,11.64,FALSE
5,Median conditions,mmp,0.26474033381659684,2.69,5.972340602952214,0.3,0.6970374,0.34313093724901383,0.06886915031098713,0.023631136093752225,0.0678548869375537,0.48541553637579415,0.039298300229084225,0.054965464364416225,0.14392121876356007,4.12,13.26,FALSE
5,High compound risk,ltmp,0.6708836309552813,4.178000000000001,6.662192357426267,1,0.5630638,0.42744956446774696,0.21357782030526118,0.0912937462694546,0.8213128582034064,0.5025714010388536,0.26018755934637905,0.42908137242330346,0.46401952039123096,0,11.64,FALSE
5,High compound risk,manta,0.668629531002006,4.182,6.543540226424666,1,0.54024335,0.383405092493751,0.33553753187505325,0.1286467984436797,0.6808675380450897,0.4645962442951737,0.24301533449593915,0.35738387054819865,0.40585446900711547,0,11.64,FALSE
5,High compound risk,mmp,0.8817916436590687,8.18,6.812168274251864,0.8,0.6265433,0.4958741510606609,0.38093907515850123,0.1888978405000551,0.20971784000721191,0.5268793299578057,0.22433821446580496,0.2597785884315548,0.34367632983164037,4.12,13.26,FALSE
5.25,Low compound risk,ltmp,0.04416278783401122,-4.960000000000001,5.293126064302306,0.2,0.87140842,0.3836488821533364,0.018610181695717824,0.007139775404232626,0.009351562575988607,0.395321087834382,0.008954826321242589,0.010769877238252552,0.0446782582476421,0,11.64,FALSE
5.25,Low compound risk,manta,0.08205185222328912,-5.005,5.04829112437769,0.2,0.8638448679999999,0.3809982745831487,0.04697702800443479,0.017898166614733913,0.008720865989348516,0.3484899245035791,0.019339689823599796,0.020781213032465683,0.04877066867260223,0,11.64,FALSE
