programme_key,source_observation_id,ReefID,ReefName,event_year,ann_maxdhw,observed_mortality,Standard two-part BRT,Conservative tail ensemble,standard_absolute_error,conservative_absolute_error,error_reduction
ltmp,4176756,15-099c,Agincourt Reefs (No 1) (15-099c),2016,6.890000000000001,0.5324526227764816,0.169655825363968,0.19723746997585664,0.36279679741251364,0.33521515280062497,0.027581644611888667
manta,4067444,16-064,Arlington Reef (16-064),2017,10.9,0.3929226571165776,0.30135500271086607,0.3280931153940038,0.09156765440571152,0.06482954172257377,0.02673811268313775
manta,4206433,15-099c,Agincourt Reefs (No 1) (15-099c),2016,6.890000000000001,0.2721051385461741,0.18185551323224977,0.2070107013174388,0.0902496253139243,0.06509443722873529,0.025155188085189017
ltmp,4175199,14-126,Linnet Reef (14-126),2024,6.73,0.4141783096477083,0.15413929222647343,0.17903555335042948,0.26003901742123486,0.23514275629727882,0.024896261123956043
mmp,4138915,23-010,Middle (Ba-la-ba) Island Reef (23-010),2024,12.23,0.48766349684223503,0.4615930010314878,0.48915284170183915,0.02607049581074722,0.0014893448596041137,0.024581150951143105
mmp,4140772,22-009,Barren Island Reef (22-009),2024,11.06,0.2354543608301246,0.5703007174305164,0.5459794784145401,0.33484635660039175,0.3105251175844155,0.02432123901597627
manta,4068506,16-025,Opal Reef (16-025),2016,5.82,0.2340318988169492,0.1956932340119301,0.24863527660365448,0.0383386648050191,0.014603377786705285,0.023735287018313816
manta,4284498,23-081,Fairfax Islands Reef (23-081),2024,11.26,0.37356823802927674,0.5562063345085787,0.5327982899776478,0.18263809647930196,0.15923005194837103,0.023408044530930927
mmp,4152984,18-048,Pelorus (North Palm or Yanooa) Reef (18-048),2017,9.28,0.2460548840663221,0.1293372434572248,0.1520232040149705,0.11671764060909728,0.0940316800513516,0.022685960557745688
manta,4284550,23-080,Hoskyn Islands Reef (23-080),2024,11.2,0.5478185490121976,0.36138844032479944,0.3836259726329898,0.18643010868739818,0.1641925763792078,0.022237532308190366
manta,4206495,16-019,St Crispin Reef (16-019),2016,5.82,0.47023809222379687,0.1591636935251091,0.1813536913750797,0.3110743986986878,0.28888440084871714,0.022189997849970666
manta,4206459,14-138,Yonge Reef (14-138),2024,8.08,0.11897693253026977,0.04061670226329313,0.06124014352296732,0.07836023026697664,0.05773678900730245,0.02062344125967419
