programme_key,candidate,component,term,mean,sd,q025,q50,q975
ltmp,paper_history,occurrence,dhw8_x_acropora,0.41837062024786925,0.3568397716133608,-0.28200053599965624,0.4185868507310935,1.1175115872528734
ltmp,paper_history,occurrence,dhw_x_history_count,-0.05360924758955884,0.2641215332242185,-0.5717369143024188,-0.05354647258627309,0.46415677613649375
ltmp,paper_history,occurrence,dhw_x_recovery,0.28044406476303535,0.23619424719166324,-0.18275451744370047,0.28045271582870246,0.7435949769640073
ltmp,paper_history,positive magnitude,(Intercept),-1.3431335959795854,0.44402192105188665,-2.192195126772675,-1.3514967715983845,-0.4460297816636052
ltmp,paper_history,positive magnitude,ann_maxdhw_z,0.3958425767742248,0.29695746980360255,-0.18768267593107613,0.39626218944735214,0.9770011180189784
ltmp,paper_history,positive magnitude,dhw_excess4_z,-0.29200063953264344,0.2990787884004671,-0.8782240697934092,-0.29210413965467896,0.2948168239387622
ltmp,paper_history,positive magnitude,dhw_excess8_z,0.06050778956677238,0.1526204293259681,-0.2392316530841595,0.06062308275998658,0.35960739761746147
ltmp,paper_history,positive magnitude,prop_acropora_pre_z,-0.12369235865180048,0.19081404232939744,-0.49619041658045077,-0.12435215625057353,0.2525967165386048
ltmp,paper_history,positive magnitude,observed_pre_cover_z,0.15990593931262484,0.13960545263255292,-0.11562270823610302,0.16043754568455346,0.4324006066577608
ltmp,paper_history,positive magnitude,dhw10_load4_z,-0.09299072165920111,0.288085032969411,-0.6576991178609012,-0.09312168876978,0.4724705189458356
ltmp,paper_history,positive magnitude,dhw_novelty10_z,0.291203799589896,0.2521199596039289,-0.20298657257245667,0.29110768394067627,0.7859351999698329
ltmp,paper_history,positive magnitude,secc3m_p10_z,-0.05378465873795063,0.11062701843073984,-0.27180791357744166,-0.05351435149707103,0.1626663440361656
ltmp,paper_history,positive magnitude,cloudp_90_z,-0.0472546460694607,0.18459760784852636,-0.4098715285257309,-0.04708432939513079,0.3143887663048438
ltmp,paper_history,positive magnitude,dhw_events_since2016_n6_z,0.3928563990473606,0.28014204580662827,-0.15785251468892203,0.3933046897817362,0.9409996081563796
ltmp,paper_history,positive magnitude,dhw_years_since_last_n6_capped8_z,0.1766641992682709,0.22509957962311863,-0.26500579791711276,0.17676212655285875,0.617776896441087
ltmp,paper_history,positive magnitude,dhw_no_prior_n6,0.3254098336728458,0.2726413878749978,-0.21212483200585758,0.3263247678766051,0.8576345648764547
ltmp,paper_history,positive magnitude,dhw4_x_acropora,0.12069333155745514,0.15668866972492693,-0.18753764708011653,0.12094394020656175,0.4274912754392045
ltmp,paper_history,positive magnitude,dhw8_x_acropora,-0.021878933568587694,0.1206116419741165,-0.2590128929134285,-0.02178044279667667,0.21471953858611204
ltmp,paper_history,positive magnitude,dhw_x_history_count,-0.25003782999216456,0.20269146581905717,-0.6464972886149913,-0.2504271742269372,0.14865481305377898
ltmp,paper_history,positive magnitude,dhw_x_recovery,-0.08186342515289317,0.185160605467086,-0.4446822419482577,-0.08196089581684461,0.28151337587479763
mmp,legacy_history,occurrence,(Intercept),0.1524596548705467,0.6546532671842876,-1.1361151481085665,0.15354549992043928,1.4346070654261913
mmp,legacy_history,occurrence,ann_maxdhw_z,0.1905900556969583,0.39063250114801706,-0.5753909228211596,0.1905778122135657,0.9566409523047044
mmp,legacy_history,occurrence,dhw_excess4_z,0.26160244172026814,0.3643071118858698,-0.4532193272311265,0.26173740728645134,0.9756459721578696
mmp,legacy_history,occurrence,dhw_excess8_z,0.5062933345445192,0.3935504541833219,-0.2660263683610474,0.5064923313729712,1.277472999217561
mmp,legacy_history,occurrence,prop_acropora_pre_z,0.15896189675191316,0.35558333631215167,-0.5384409118232657,0.1590008712407974,0.8561430410975763
mmp,legacy_history,occurrence,observed_pre_cover_z,0.33591880903269533,0.2901328084904121,-0.23274056949277744,0.33581894875859075,0.9051493724904865
mmp,legacy_history,occurrence,dhw10_load4_z,0.09059126973527662,0.34220831711996613,-0.580155326838531,0.09046566650059376,0.7620567823738296
mmp,legacy_history,occurrence,dhw_novelty10_z,0.13737673098096798,0.4113226882323799,-0.6696985337162689,0.13753905254659,0.9435183119509778
mmp,legacy_history,occurrence,secc3m_p10_z,-0.12460562041156768,0.25861602613556645,-0.6320855617149488,-0.12457153653652454,0.3826301443978265
mmp,legacy_history,occurrence,cloudp_90_z,0.4057790819441992,0.3229640710614228,-0.2273903896079298,0.4057065842861132,1.0393647537114914
mmp,legacy_history,occurrence,histmDHW6_z,0.03301534265458617,0.385377175023228,-0.7232122889693587,0.033187977998963426,0.7882575001805173
mmp,legacy_history,occurrence,yrsince6_z,0.36013655679759365,0.39860650482340676,-0.4238864138877999,0.3608551813941067,1.1399660791089392
mmp,legacy_history,occurrence,dhw4_x_acropora,0.33436887698771806,0.3100546353334024,-0.27359456284093503,0.33435909441740697,0.9423883128962041
mmp,legacy_history,occurrence,dhw8_x_acropora,0.14702185830532516,0.37806044165330743,-0.5943100381541757,0.14701485340943413,0.888393669761539
mmp,legacy_history,occurrence,dhw_x_history_count,0.10877176752694188,0.3805189993569013,-0.6373418576052791,0.10873805953963972,0.8550779651257411
mmp,legacy_history,occurrence,dhw_x_recovery,-0.2835778367835332,0.3896538412943677,-1.04753774738563,-0.2836184835665169,0.480613585790328
mmp,legacy_history,positive magnitude,(Intercept),-0.9100784403045626,0.6338497143680596,-2.1442641884319653,-0.9135368356379727,0.3444257116692172
mmp,legacy_history,positive magnitude,ann_maxdhw_z,0.37485643400655216,0.3762864956652142,-0.36475037193253407,0.3754525656181511,1.111074522588195
mmp,legacy_history,positive magnitude,dhw_excess4_z,-0.0490109066389803,0.3520834437924634,-0.7393905456649931,-0.04904357259425179,0.6415716269485495
mmp,legacy_history,positive magnitude,dhw_excess8_z,-0.07746899131888493,0.34689162711571303,-0.7585899224518177,-0.07721374332266505,0.6022126507664134
mmp,legacy_history,positive magnitude,prop_acropora_pre_z,0.12143414815261902,0.2832123945943001,-0.43769522006291905,0.12269113129084178,0.6734553532996097
mmp,legacy_history,positive magnitude,observed_pre_cover_z,0.1516254580233443,0.13684898190722772,-0.11659920032509904,0.15144371327811815,0.42086869947161376
mmp,legacy_history,positive magnitude,dhw10_load4_z,0.04703262220358899,0.2518222603445058,-0.4462760395167027,0.0466788893284893,0.5423411366114018
mmp,legacy_history,positive magnitude,dhw_novelty10_z,-0.3285662440451594,0.37924728765966353,-1.0721989401142644,-0.32864830295482056,0.4154769737191537
mmp,legacy_history,positive magnitude,secc3m_p10_z,-0.1119679677819469,0.21173083073602816,-0.5139286640640063,-0.11725976719788053,0.32006145408191694
mmp,legacy_history,positive magnitude,cloudp_90_z,0.30218917896505587,0.27202843893203393,-0.23640043100417446,0.3036440137843342,0.83246521253836
mmp,legacy_history,positive magnitude,histmDHW6_z,0.2319448245584013,0.35109109447076775,-0.45962929804057756,0.23295747306659112,0.9177477165748351
mmp,legacy_history,positive magnitude,yrsince6_z,0.4799625218056685,0.385769861862706,-0.2810377081842077,0.4814518625172505,1.2324636632817483
mmp,legacy_history,positive magnitude,dhw4_x_acropora,0.20881168892805196,0.252299908233346,-0.2863540490609868,0.20896360909085626,0.7031128001497046
mmp,legacy_history,positive magnitude,dhw8_x_acropora,-0.05383405330857292,0.28216829706685675,-0.6073979148720036,-0.05378504621089697,0.4994586356167934
mmp,legacy_history,positive magnitude,dhw_x_history_count,-0.2408959598035932,0.3574649820647022,-0.9328841896017859,-0.2441610406253657,0.46953500496218653
mmp,legacy_history,positive magnitude,dhw_x_recovery,-0.4755103832948597,0.348608351795481,-1.1579680416966536,-0.475917478386608,0.2092598218927415
mmp,paper_history,occurrence,(Intercept),0.03351142569769282,0.6514398562890539,-1.2464150830854024,0.0339129393605253,1.3110788290462232
mmp,paper_history,occurrence,ann_maxdhw_z,0.2778967323025734,0.384803661194879,-0.4766717657002729,0.2778889360886489,1.0325094089990614
mmp,paper_history,occurrence,dhw_excess4_z,0.29350623300568174,0.36312462473053714,-0.41880233396672467,0.2935799998623605,1.0053895585009196
mmp,paper_history,occurrence,dhw_excess8_z,0.4490371092817865,0.39428366150144806,-0.3244485421137525,0.4491440339770255,1.221909867768403
mmp,paper_history,occurrence,prop_acropora_pre_z,0.13232691043395106,0.35291495395013606,-0.5598275544118027,0.13235917471889352,0.824297950151638
mmp,paper_history,occurrence,observed_pre_cover_z,0.34332439463688114,0.29391609463351964,-0.23290065413793348,0.3432785784204134,0.9198118192434602
mmp,paper_history,occurrence,dhw10_load4_z,0.32031005514237104,0.38844450931280133,-0.4414916491646428,0.32033936129895896,1.0819436242207987
mmp,paper_history,occurrence,dhw_novelty10_z,0.2275302298137313,0.3835815773127307,-0.5263368829974767,0.22804374507599476,0.9784062246545495
mmp,paper_history,occurrence,secc3m_p10_z,0.04838232523823088,0.2844810062835578,-0.5102057232430539,0.048582804725010954,0.6057977885094599
mmp,paper_history,occurrence,cloudp_90_z,0.344553911997569,0.3239302825768822,-0.29031554759334394,0.34441650860692247,0.9802104361762292
mmp,paper_history,occurrence,dhw_events_since2016_n6_z,-0.16939737373996913,0.38994350525448973,-0.9339960479359755,-0.1694187355356624,0.5953234794963924
mmp,paper_history,occurrence,dhw_years_since_last_n6_capped8_z,0.24938632028861454,0.3887805882947599,-0.5139047353562518,0.24968234158374716,1.010971950993131
mmp,paper_history,occurrence,dhw_no_prior_n6,0.1857257519867027,0.4544190028081638,-0.7055050916877718,0.18577482608038057,1.076674943860211
mmp,paper_history,occurrence,dhw4_x_acropora,0.329813610089724,0.31025694206928717,-0.27854380118758987,0.32980299900182125,0.9382317409421701
mmp,paper_history,occurrence,dhw8_x_acropora,0.16298268687909787,0.3782177557670271,-0.5786561895390611,0.16297611004391224,0.9046589213588755
mmp,paper_history,occurrence,dhw_x_history_count,0.06656312287665504,0.39154320771195755,-0.701232500905693,0.06656694160332732,0.8343372458429416
mmp,paper_history,occurrence,dhw_x_recovery,-0.3948516341240503,0.3773317853752087,-1.1342586502844756,-0.3950524446002869,0.34570452659146944
mmp,paper_history,positive magnitude,(Intercept),-1.0420851068007781,0.6421714853363237,-2.292649535352066,-1.0454950680825752,0.2285276549028823
mmp,paper_history,positive magnitude,ann_maxdhw_z,0.49428038958363696,0.362948297860001,-0.2184120646601161,0.49461173546096826,1.205085213065356
mmp,paper_history,positive magnitude,dhw_excess4_z,0.00893244615138759,0.3446582295060978,-0.6664162935723763,0.008739349336160928,0.6853972090984005
mmp,paper_history,positive magnitude,dhw_excess8_z,-0.11815738387613778,0.3448006411067612,-0.7953377960033222,-0.1178169744575586,0.5570988004678962
mmp,paper_history,positive magnitude,prop_acropora_pre_z,0.08710442077662446,0.2772218218052112,-0.4599748025399099,0.08825015165713858,0.6277013594150417
mmp,paper_history,positive magnitude,observed_pre_cover_z,0.11533123718789237,0.1362845562959287,-0.15147831577780785,0.11504277388298927,0.3837644582727258
mmp,paper_history,positive magnitude,dhw10_load4_z,0.4063889820377095,0.36740823922794064,-0.31570405782637345,0.40695183877056695,1.125288397279658
mmp,paper_history,positive magnitude,dhw_novelty10_z,-0.3211177489241341,0.34358134667573964,-0.9971372517906214,-0.3206064401721301,0.3517018772086023
mmp,paper_history,positive magnitude,secc3m_p10_z,-0.08152874633751982,0.21998889847674397,-0.5002874525103099,-0.08649807113311501,0.36530635824231006
mmp,paper_history,positive magnitude,cloudp_90_z,0.2934060224024219,0.2817872090722748,-0.26152435119123535,0.2939008696119507,0.845458542325036
mmp,paper_history,positive magnitude,dhw_events_since2016_n6_z,-0.31567172961782636,0.38779761193186113,-1.0749632102424163,-0.3160850861187864,0.44596734674619043
