programme_key,modifier,modifier_label,modifier_level,modifier_value,modifier_units,ann_maxdhw,occurrence,positive_mortality,mortality,q05,q95,learner,observed_dhw_min,observed_dhw_max,outside_observed_dhw
manta,acropora_composition,Pre-event Acropora composition,Median (50th percentile),0.27908342553874005,proportion of pre-event hard coral,5.25,0.20535706063228307,0.19964378281402723,0.04099826041219854,,,BRT,0,11.64,FALSE
manta,acropora_composition,Pre-event Acropora composition,High (90th percentile),0.668629531002006,proportion of pre-event hard coral,5.25,0.2470648152158768,0.20059524365857828,0.04956002680769043,,,BRT,0,11.64,FALSE
manta,acropora_composition,Pre-event Acropora composition,Low (10th percentile),0.08205185222328912,proportion of pre-event hard coral,5.5,0.1069239833899936,0.19159899526707583,0.020486527787476276,,,BRT,0,11.64,FALSE
manta,acropora_composition,Pre-event Acropora composition,Median (50th percentile),0.27908342553874005,proportion of pre-event hard coral,5.5,0.20671833355375482,0.19964378281402723,0.041270030087683464,,,BRT,0,11.64,FALSE
manta,acropora_composition,Pre-event Acropora composition,High (90th percentile),0.668629531002006,proportion of pre-event hard coral,5.5,0.24861606222486468,0.20059524365857828,0.04987119957943299,,,BRT,0,11.64,FALSE
manta,acropora_composition,Pre-event Acropora composition,Low (10th percentile),0.08205185222328912,proportion of pre-event hard coral,5.75,0.11900920862994055,0.19424036100812775,0.023116391647571243,,,BRT,0,11.64,FALSE
manta,acropora_composition,Pre-event Acropora composition,Median (50th percentile),0.27908342553874005,proportion of pre-event hard coral,5.75,0.23647835319977115,0.20228514855507915,0.047836058807076184,,,BRT,0,11.64,FALSE
manta,acropora_composition,Pre-event Acropora composition,High (90th percentile),0.668629531002006,proportion of pre-event hard coral,5.75,0.28226165589759017,0.2032366093996302,0.05736590190815136,,,BRT,0,11.64,FALSE
manta,acropora_composition,Pre-event Acropora composition,Low (10th percentile),0.08205185222328912,proportion of pre-event hard coral,6,0.12382926659455944,0.2119818730578738,0.02624955987209751,,,BRT,0,11.64,FALSE
manta,acropora_composition,Pre-event Acropora composition,Median (50th percentile),0.27908342553874005,proportion of pre-event hard coral,6,0.24473443576426407,0.2200266606048252,0.053848100636217124,,,BRT,0,11.64,FALSE
manta,acropora_composition,Pre-event Acropora composition,High (90th percentile),0.668629531002006,proportion of pre-event hard coral,6,0.291505893053256,0.22097812144937626,0.06441642463833129,,,BRT,0,11.64,FALSE
manta,acropora_composition,Pre-event Acropora composition,Low (10th percentile),0.08205185222328912,proportion of pre-event hard coral,6.25,0.12382926659455944,0.2141115343102326,0.026513274263071953,,,BRT,0,11.64,FALSE
manta,acropora_composition,Pre-event Acropora composition,Median (50th percentile),0.27908342553874005,proportion of pre-event hard coral,6.25,0.24473443576426407,0.222156321857184,0.05436930208118217,,,BRT,0,11.64,FALSE
manta,acropora_composition,Pre-event Acropora composition,High (90th percentile),0.668629531002006,proportion of pre-event hard coral,6.25,0.291505893053256,0.22310778270173506,0.06503723344360107,,,BRT,0,11.64,FALSE
manta,acropora_composition,Pre-event Acropora composition,Low (10th percentile),0.08205185222328912,proportion of pre-event hard coral,6.5,0.12382926659455944,0.2141115343102326,0.026513274263071953,,,BRT,0,11.64,FALSE
manta,acropora_composition,Pre-event Acropora composition,Median (50th percentile),0.27908342553874005,proportion of pre-event hard coral,6.5,0.24473443576426407,0.222156321857184,0.05436930208118217,,,BRT,0,11.64,FALSE
manta,acropora_composition,Pre-event Acropora composition,High (90th percentile),0.668629531002006,proportion of pre-event hard coral,6.5,0.291505893053256,0.22310778270173506,0.06503723344360107,,,BRT,0,11.64,FALSE
manta,acropora_composition,Pre-event Acropora composition,Low (10th percentile),0.08205185222328912,proportion of pre-event hard coral,6.75,0.1201455683067261,0.21084584497073156,0.02533219386912041,,,BRT,0,11.64,FALSE
manta,acropora_composition,Pre-event Acropora composition,Median (50th percentile),0.27908342553874005,proportion of pre-event hard coral,6.75,0.23843280085921562,0.21889063251768295,0.05219070659303644,,,BRT,0,11.64,FALSE
manta,acropora_composition,Pre-event Acropora composition,High (90th percentile),0.668629531002006,proportion of pre-event hard coral,6.75,0.28445352267717366,0.219842093362234,0.06253485788961156,,,BRT,0,11.64,FALSE
manta,acropora_composition,Pre-event Acropora composition,Low (10th percentile),0.08205185222328912,proportion of pre-event hard coral,7,0.13209682413967022,0.21432643241587573,0.028311841051322853,,,BRT,0,11.64,FALSE
