source_observation_id,ReefID,ReefName,event_year,survey_date,depth,reef_zone,reefpage_category,mortality_prop,legacy_survey_max_dhw,reconstructed_ann_maxdhw,dhw_difference,legacy_below4,reconstructed_below4,legacy_below4_reclassified,environmental_feature_count,environment_match_method,lon,lat
4152963,18-048,Pelorus (North Palm or Yanooa) Reef (18-048),2017,2017-05-10,5,West,null,0.08530908515297586,9.295,9.28,-0.015000000000000568,FALSE,FALSE,FALSE,1,exact_reef_name,146.48891283250936,-18.55645243517304
4152984,18-048,Pelorus (North Palm or Yanooa) Reef (18-048),2017,2017-05-10,2,West,null,0.2460548840663221,9.295,9.28,-0.015000000000000568,FALSE,FALSE,FALSE,1,exact_reef_name,146.48891283250936,-18.55645243517304
4146310,20-095,Seaforth Reef (20-095),2024,2024-07-17,2,_,null,0.015026046394532625,9.47,9.47,0,FALSE,FALSE,FALSE,1,exact_reef_name,149.0357914228941,-20.46988196483317
4146325,20-095,Seaforth Reef (20-095),2024,2024-07-17,5,_,null,0,9.47,9.47,0,FALSE,FALSE,FALSE,1,exact_reef_name,149.0357914228941,-20.46988196483317
4157871,17-012,Normanby-Mabel Reef (17-012),2017,2017-08-06,5,East,null,0.2364956261642967,10.66,10.66,0,FALSE,FALSE,FALSE,1,exact_reef_name,146.07714949709091,-17.209503323577866
4157907,17-012,Normanby-Mabel Reef (17-012),2017,2017-08-06,2,East,null,0.060872208072299996,10.66,10.66,0,FALSE,FALSE,FALSE,1,exact_reef_name,146.07714949709091,-17.209503323577866
4157887,17-013,Round-Russell Reef (17-013),2017,2017-08-06,5,West,null,0.18580387067146528,10.66,10.66,0,FALSE,FALSE,FALSE,1,exact_reef_name,146.09152909527376,-17.22398606246051
4157923,17-013,Round-Russell Reef (17-013),2017,2017-08-06,2,West,null,0.14352290229950315,10.66,10.66,0,FALSE,FALSE,FALSE,1,exact_reef_name,146.09152909527376,-17.22398606246051
4162781,16-054a,Fitzroy Island Reef (No 1) (16-054a),2017,2017-06-26,2,West,null,0.17401839167775307,10.63,10.69,0.05999999999999872,FALSE,FALSE,FALSE,1,exact_reef_name,145.99355800612125,-16.924983974038792
4162802,16-054a,Fitzroy Island Reef (No 1) (16-054a),2017,2017-06-26,5,West,null,0.20422237466329746,10.63,10.69,0.05999999999999872,FALSE,FALSE,FALSE,1,exact_reef_name,145.99355800612125,-16.924983974038792
4164853,17-009a,Tobias Spit (17-009a),2017,2017-06-25,2,East,null,0.2342679928412739,11.03,11.03,0,FALSE,FALSE,FALSE,1,exact_reef_name,146.01023419855662,-17.157879486729655
