programme_key,learner,modifier,modifier_label,modifier_level,modifier_value,ann_maxdhw,occurrence,positive_mortality,mortality,outside_observed_dhw
ltmp,BRT,cloudp_90,Peak-season cloud fraction,Low (10th percentile),0.5630638,4,0.18040988715675002,0.026202462373931826,0.004727183280110029,FALSE
ltmp,BRT,cloudp_90,Peak-season cloud fraction,Median (50th percentile),0.7154463,4,0.2850534723989258,0.017542371099723245,0.005000513796086674,FALSE
ltmp,BRT,cloudp_90,Peak-season cloud fraction,High (90th percentile),0.87140842,4,0.7597120249335255,0.011814346519457114,0.008975501117563114,FALSE
ltmp,BRT,cloudp_90,Peak-season cloud fraction,Low (10th percentile),0.5630638,8,0.07583983254357354,0.053468758121206196,0.0040550616622251155,FALSE
ltmp,BRT,cloudp_90,Peak-season cloud fraction,Median (50th percentile),0.7154463,8,0.1288751632409322,0.03774521997306549,0.0048644213855937105,FALSE
ltmp,BRT,cloudp_90,Peak-season cloud fraction,High (90th percentile),0.87140842,8,0.43244257985367474,0.0248773063416558,0.010758006534195817,FALSE
ltmp,BRT,cloudp_90,Peak-season cloud fraction,Low (10th percentile),0.5630638,12,0.20442510011003345,0.061796507038198216,0.012632757137734056,TRUE
ltmp,BRT,cloudp_90,Peak-season cloud fraction,Median (50th percentile),0.7154463,12,0.3165780413439455,0.04379317522504064,0.013863957636975567,TRUE
ltmp,BRT,cloudp_90,Peak-season cloud fraction,High (90th percentile),0.87140842,12,0.6889485289399259,0.02830998072274431,0.019504119573252352,TRUE
ltmp,Bayesian beta + Bernoulli boundary,cloudp_90,Peak-season cloud fraction,Low (10th percentile),0.5630638,4,0.29645076778152457,0.2976494919300865,0.08829074826004607,FALSE
ltmp,Bayesian beta + Bernoulli boundary,cloudp_90,Peak-season cloud fraction,Median (50th percentile),0.7154463,4,0.3629902351243643,0.1731645227787911,0.06281344591772384,FALSE
ltmp,Bayesian beta + Bernoulli boundary,cloudp_90,Peak-season cloud fraction,High (90th percentile),0.87140842,4,0.4425697575907264,0.09837594763146021,0.04358985442014191,FALSE
ltmp,Bayesian beta + Bernoulli boundary,cloudp_90,Peak-season cloud fraction,Low (10th percentile),0.5630638,8,0.3677876856894561,0.22902038020757767,0.08472289141300783,FALSE
ltmp,Bayesian beta + Bernoulli boundary,cloudp_90,Peak-season cloud fraction,Median (50th percentile),0.7154463,8,0.43936496290661886,0.15103699114849495,0.06632256535729412,FALSE
ltmp,Bayesian beta + Bernoulli boundary,cloudp_90,Peak-season cloud fraction,High (90th percentile),0.87140842,8,0.5195227138135048,0.10016680229952654,0.05181152972615732,FALSE
ltmp,Bayesian beta + Bernoulli boundary,cloudp_90,Peak-season cloud fraction,Low (10th percentile),0.5630638,12,0.4481772146285169,0.1922919226807611,0.08674470131841013,TRUE
ltmp,Bayesian beta + Bernoulli boundary,cloudp_90,Peak-season cloud fraction,Median (50th percentile),0.7154463,12,0.5184460186579831,0.1399999029068771,0.07237607551599286,TRUE
ltmp,Bayesian beta + Bernoulli boundary,cloudp_90,Peak-season cloud fraction,High (90th percentile),0.87140842,12,0.5913755490656649,0.1223635984280307,0.07174674158435354,TRUE
mmp,BRT,acropora_composition,Pre-event Acropora composition,Low (10th percentile),0.04961985378338604,4,0.448032593759709,0.0882149098772503,0.039523154880583423,TRUE
mmp,BRT,acropora_composition,Pre-event Acropora composition,Median (50th percentile),0.26474033381659684,4,0.4800504122229525,0.12864311757271593,0.06175518162042803,TRUE
