programme_key,zero_retention,prediction_type,dhw_band,n,observed_mean,predicted_mean,occurrence_mean,positive_mean,bias,mae,rmse,predictive_r2
manta,1,raw_downsampled,8-<12,58,0.18060479922700998,0.184937217990166,0.6941500590608092,0.24617216746761847,0.00433241876315602,0.0992948960173877,0.12551423436860273,0.4716814488847242
mmp,0.25,conditional_positive,4-<8,38,0.15408653348924553,0.28572434117346973,1,0.28572434117346973,0.13163780768422423,0.26119649197584777,0.3191563707733506,-0.48391275712442505
mmp,0.25,conditional_positive,8-<12,36,0.13394755431457356,0.23795718192097756,1,0.23795718192097756,0.104009627606404,0.13730578983357916,0.1606485531196536,-0.33275843409813066
mmp,0.25,conditional_positive,>=12,16,0.38588146929386036,0.3838043779208544,1,0.3838043779208544,-0.0020770913730059504,0.18712940006602544,0.21684172214330333,0.007086679294217357
mmp,0.25,prevalence_corrected,4-<8,38,0.15408653348924553,0.15614462044012403,0.4909791807191127,0.28572434117346973,0.002058086950878504,0.18291021509161187,0.2665625594416854,-0.03514128949572681
mmp,0.25,prevalence_corrected,8-<12,36,0.13394755431457356,0.1663118363173775,0.6580337802910728,0.23795718192097756,0.03236428200280393,0.10946122435690248,0.13583413232215893,0.04716954801369111
mmp,0.25,prevalence_corrected,>=12,16,0.38588146929386036,0.32264099231976806,0.8285536970913093,0.3838043779208544,-0.06324047697409234,0.18437200142257698,0.1975663440477503,0.1757640207363227
mmp,0.25,raw_downsampled,4-<8,38,0.15408653348924553,0.2310895696783507,0.7579591173981942,0.28572434117346973,0.07700303618910517,0.22425257552104452,0.2919544707623073,-0.2417426348983498
mmp,0.25,raw_downsampled,8-<12,36,0.13394755431457356,0.20919223630979178,0.8615386636770096,0.23795718192097756,0.07524468199521821,0.12334667064389279,0.14685215108127714,-0.11367488945693194
mmp,0.25,raw_downsampled,>=12,16,0.38588146929386036,0.36437159858313517,0.9452433455869446,0.3838043779208544,-0.02150987071072522,0.1843499066754648,0.20591486110106533,0.104633123056186
mmp,0.5,conditional_positive,4-<8,38,0.15408653348924553,0.28572434117346973,1,0.28572434117346973,0.13163780768422423,0.26119649197584777,0.3191563707733506,-0.48391275712442505
mmp,0.5,conditional_positive,8-<12,36,0.13394755431457356,0.23795718192097756,1,0.23795718192097756,0.104009627606404,0.13730578983357916,0.1606485531196536,-0.33275843409813066
mmp,0.5,conditional_positive,>=12,16,0.38588146929386036,0.3838043779208544,1,0.3838043779208544,-0.0020770913730059504,0.18712940006602544,0.21684172214330333,0.007086679294217357
mmp,0.5,prevalence_corrected,4-<8,38,0.15408653348924553,0.16759615726946092,0.5320883759954034,0.28572434117346973,0.013509623780215387,0.19037962349997498,0.2674272763524576,-0.04186808577738477
mmp,0.5,prevalence_corrected,8-<12,36,0.13394755431457356,0.1769415142432011,0.6872740176221962,0.23795718192097756,0.04299395992862753,0.10900550047206277,0.13876583334779738,0.005595916704859039
