programme_key,candidate,learner,scheme,rows,rmse,mae,predictive_r2,bias,occurrence_brier,severe_rows,severe_bias
manta,modifier_pca,inla,leave_one_event_out,248,0.1460174289719371,0.1098812486339214,0.10230816376636244,-0.00395628746576301,0.2538367664063791,7,-0.40456044997489093
manta,modifier_pca,inla,reef_blocked_5fold,248,0.12127703471139402,0.08862547823368236,0.3807371594922151,0.00106260507804456,0.17516549147034385,7,-0.32929623259621627
manta,sst_chla_raw,brt,leave_one_event_out,248,0.1619064856991539,0.10659807117541924,-0.10368813443034774,-0.03661238828684741,0.35851214475874077,7,-0.3622998242761742
manta,sst_chla_raw,brt,reef_blocked_5fold,248,0.12384138199383184,0.0834288813702863,0.3542722347100158,-0.01354504199030614,0.19867456420028107,7,-0.2676344121679126
manta,sst_chla_raw,inla,leave_one_event_out,248,0.14598257941492848,0.10879890491619502,0.10273661165498692,-0.00969645641734449,0.2446808279095765,7,-0.42215593072063107
manta,sst_chla_raw,inla,reef_blocked_5fold,248,0.11973295575804696,0.08713106847633795,0.3964054793947186,3.8506656622091514e-4,0.17444472997240174,7,-0.3301961918674248
mmp,core,brt,leave_one_event_out,90,0.28673518402028236,0.18315770087959635,-0.5292706478767852,-0.14980154474283677,0.5092446700051955,13,-0.631514440953471
mmp,core,brt,reef_blocked_5fold,90,0.26608689906348026,0.17617135008885856,-0.3169502360419878,-0.01134452550360776,0.23987394231696463,13,-0.38865920485714894
mmp,core,inla,leave_one_event_out,90,0.25443717989556663,0.1713051145551664,-0.20415814180436387,-0.07223031714745339,0.38624724304289687,13,-0.549213195387117
mmp,core,inla,reef_blocked_5fold,90,0.20982512617423987,0.15538010674995262,0.18108775389063855,0.00338188536387462,0.1968180229046042,13,-0.3450514933005117
mmp,modifier_pca,brt,leave_one_event_out,90,0.3241895295320254,0.2369410093074633,-0.9548811012975726,-0.01538785818370553,0.450140552930886,13,-0.560864102934121
mmp,modifier_pca,brt,reef_blocked_5fold,90,0.24975450656251225,0.16586720633751623,-0.1602432393645472,-0.01777090808640707,0.23359852715724808,13,-0.33534007884245737
mmp,modifier_pca,inla,leave_one_event_out,90,0.25962243830907067,0.1777740871693265,-0.25373811343777963,-0.05690587261590604,0.36252425270128025,13,-0.5425353859470848
mmp,modifier_pca,inla,reef_blocked_5fold,90,0.21267280991340265,0.1551388888176364,0.15870885434303983,0.00535864057965646,0.1971558774713496,13,-0.34669677306615587
mmp,sst_chla_raw,brt,leave_one_event_out,90,0.28167110982970156,0.18595199816060717,-0.4757302841128901,-0.1444199366425668,0.5462799781102698,13,-0.6041343018506364
mmp,sst_chla_raw,brt,reef_blocked_5fold,90,0.2686928916195729,0.1803438885450221,-0.34287235728248744,-0.01057356844843199,0.23242615854502963,13,-0.4020251328206426
mmp,sst_chla_raw,inla,leave_one_event_out,90,0.24496941032255817,0.16378785514590055,-0.11621047379790928,-0.080602379407406,0.3553167037127743,13,-0.5327858414423909
mmp,sst_chla_raw,inla,reef_blocked_5fold,90,0.21248526000650023,0.15705232417127735,0.160192019995837,0.00656072166743611,0.1809452571952966,13,-0.3340581617083524
