learner,scheme,event_year,transitions,severe_n,observed_change_pp,severe_observed_pp,severe_predicted_pp,predicted_change_pp,rmse_pp
Mortality-augmented base,reef_blocked_5fold,2011,54,14,-6.464348921368537,-19.851339006797673,-3.584820002582777,-0.9934816972053695,10.30410863401452
Mortality-augmented base,reef_blocked_5fold,2012,53,1,0.6640126323120159,-11.767382212643446,-2.9880506033574505,0.4365817672915034,4.5679407043662295
Mortality-augmented base,reef_blocked_5fold,2013,51,4,-0.16839799927860727,-21.50484457810506,-7.303958705669672,-0.11360086519207042,6.1541790301876205
Mortality-augmented base,reef_blocked_5fold,2014,50,2,1.3457621044484123,-14.390654779382427,-1.0247614878626994,-0.2599335609832743,5.480091727100214
Mortality-augmented base,reef_blocked_5fold,2015,40,0,3.1536777570138095,NA,NA,-0.1301689601894154,6.660591713755854
Mortality-augmented base,reef_blocked_5fold,2016,55,4,0.5032428775061415,-14.735643888216181,-3.6185137352120735,-0.2177348999532876,5.758861630206105
Mortality-augmented base,reef_blocked_5fold,2017,63,18,-7.776669411236795,-23.07702892591975,-13.616730051822245,-7.031959056972612,9.082033275445875
Mortality-augmented base,reef_blocked_5fold,2018,56,1,0.7796736658218489,-11.507170615456582,-4.233061138345684,0.049340513182822045,4.115790524296425
Mortality-augmented base,reef_blocked_5fold,2019,87,3,1.751558821478579,-16.876997099648346,0.01570998596017925,0.37696840178315655,6.5285210138839656
Mortality-augmented base,reef_blocked_5fold,2020,98,1,4.265822596673907,-29.293304741487443,1.2624975876581843,0.9197314684030408,8.884406628939084
Mortality-augmented base,reef_blocked_5fold,2021,172,8,2.639571012729044,-15.957781994397392,-0.3783661130244267,0.26665384713069523,7.370513961081765
Mortality-augmented base,reef_blocked_5fold,2022,184,10,0.630152478005479,-15.224099792975354,-0.9895052406756409,1.031166592253241,5.59266566145953
Mortality-augmented base,reef_blocked_5fold,2023,161,6,1.9008294648574016,-13.057308115996177,-2.2142347078696187,0.49085687824564833,6.231578487308252
Mortality-augmented base,reef_blocked_5fold,2024,234,53,-5.892317748720672,-21.578786471466284,-11.142495179406913,-4.515903413055671,8.594594543276122
Mortality-augmented base,reef_blocked_5fold,2025,105,10,-0.046068076599038714,-17.90738312333458,0.0926432279960446,0.08450935579841584,7.746385379771483
Soft-gated extreme ensemble,forward_2024_2025,2024,234,53,-5.892317748720672,-21.578786471466284,-5.643065258761821,-2.806147168172565,11.351905190856927
Soft-gated extreme ensemble,forward_2024_2025,2025,105,10,-0.046068076599038714,-17.90738312333458,-0.17548663378615129,-0.9206482213501731,8.651006086624433
Soft-gated extreme ensemble,recent_year_holdout,2016,55,4,0.5032428775061415,-14.735643888216181,-2.6093753024425044,-0.18792832335082313,6.1830690743703105
Soft-gated extreme ensemble,recent_year_holdout,2017,63,18,-7.776669411236795,-23.07702892591975,-14.803607217772392,-9.650691547025342,11.914564399445526
Soft-gated extreme ensemble,recent_year_holdout,2018,56,1,0.7796736658218489,-11.507170615456582,-6.994917601291601,-0.5201535990936869,4.355590821728783
Soft-gated extreme ensemble,recent_year_holdout,2019,87,3,1.751558821478579,-16.876997099648346,-2.4059478379487578,-0.5406511070198573,6.765929938817251
Soft-gated extreme ensemble,recent_year_holdout,2020,98,1,4.265822596673907,-29.293304741487443,-16.298416572901107,-1.1573367032645456,9.331296951723484
Soft-gated extreme ensemble,recent_year_holdout,2021,172,8,2.639571012729044,-15.957781994397392,-1.5074774645229574,-1.4268737572283903,8.727328438183363
Soft-gated extreme ensemble,recent_year_holdout,2022,184,10,0.630152478005479,-15.224099792975354,-3.9042571177436147,0.11248405219101092,5.822531436470402
Soft-gated extreme ensemble,recent_year_holdout,2023,161,6,1.9008294648574016,-13.057308115996177,-2.9492831218747457,-0.5054108249097515,6.705369878998287
Soft-gated extreme ensemble,recent_year_holdout,2024,234,53,-5.892317748720672,-21.578786471466284,-5.166725448039189,-2.3665879500567826,11.354738898563093
Soft-gated extreme ensemble,recent_year_holdout,2025,105,10,-0.046068076599038714,-17.90738312333458,-1.6875408702027894,-1.5760328509823203,8.932647225876586
Soft-gated extreme ensemble,reef_blocked_5fold,1985,1,0,-1.5568301207428303,NA,NA,0.5952164826877854,2.1520466034306156
Soft-gated extreme ensemble,reef_blocked_5fold,1986,32,8,-3.6809601956006563,-18.594835191491956,-5.666233187223237,-1.6692043766843156,10.813686301145244
Soft-gated extreme ensemble,reef_blocked_5fold,1987,38,4,2.1294790112465662,-15.414148566404593,-1.4227349781344745,-1.2964661273988614,9.671934655803582
Soft-gated extreme ensemble,reef_blocked_5fold,1988,38,5,-0.8442199475016511,-13.025851901558573,-8.024391680693329,-1.9194420360610849,8.7630994534206
Soft-gated extreme ensemble,reef_blocked_5fold,1989,35,1,1.4918536691191653,-12.950174441194523,0.3465541074130746,-0.45940791344810616,6.672015036384986
Soft-gated extreme ensemble,reef_blocked_5fold,1990,27,4,-4.120867080133415,-17.938779356703225,-3.0492031255129213,-0.33452235161604754,7.596683335493524
Soft-gated extreme ensemble,reef_blocked_5fold,1991,20,1,2.4189934679376273,-25.79940523323482,-7.7363100475970175,-1.4746760426691068,9.226657179695682
Soft-gated extreme ensemble,reef_blocked_5fold,1992,8,3,-3.9953107796107177,-13.915335729463292,-8.013005844052582,-3.0630737045852228,5.12820132243938
Soft-gated extreme ensemble,reef_blocked_5fold,1993,24,0,-1.4080244717878514,NA,NA,0.09234817692213601,4.081034383687155
Soft-gated extreme ensemble,reef_blocked_5fold,1994,58,1,1.8991926914838082,-13.267636342843792,-2.215854414797913,0.521233756669111,5.692084127857737
Soft-gated extreme ensemble,reef_blocked_5fold,1995,95,0,2.1249234628110885,NA,NA,0.19329575537465649,5.186732960705822
Soft-gated extreme ensemble,reef_blocked_5fold,1996,84,5,-0.6610467864031385,-19.806488323565976,-6.363053679842451,-0.26325510592060186,5.979417418560083
Soft-gated extreme ensemble,reef_blocked_5fold,1997,95,8,0.013599714152596266,-15.430514423065443,-3.5469421206678677,-0.4883175288080046,6.411820934911832
Soft-gated extreme ensemble,reef_blocked_5fold,1998,105,5,1.496506811886049,-13.01786535504403,-3.887628163207129,-0.5796949717646822,6.561883781903747
Soft-gated extreme ensemble,reef_blocked_5fold,1999,92,6,-0.6456330411314184,-15.19168879826945,-2.9959205367524477,-1.0512369545480247,5.626428231084748
Soft-gated extreme ensemble,reef_blocked_5fold,2000,85,5,-1.2502058796141375,-10.603614745751322,-2.050256812246294,-1.2850670474580022,4.665907800799344
Soft-gated extreme ensemble,reef_blocked_5fold,2001,87,6,-0.6910350017625203,-15.135487448472205,-4.659937278043534,-1.101682856132604,5.7143187337369685
Soft-gated extreme ensemble,reef_blocked_5fold,2002,103,4,-1.706589478787448,-11.548235910062782,-0.5035334510085359,-0.6792372913300884,5.425143966469688
Soft-gated extreme ensemble,reef_blocked_5fold,2003,95,2,-0.5517664067297324,-12.953384379844707,-3.471194409904429,-0.15768898153747063,4.191198161721936
Soft-gated extreme ensemble,reef_blocked_5fold,2004,87,4,0.6235092126425372,-13.821501239484842,-2.161440350717718,0.5656038197576843,4.739081665412395
Soft-gated extreme ensemble,reef_blocked_5fold,2005,51,1,-0.1687523799193932,-12.898016959730937,-0.9178763031673254,0.4372321160195207,4.211194779795597
Soft-gated extreme ensemble,reef_blocked_5fold,2006,99,10,-1.1996662094802113,-24.009306006270776,-5.995642926568835,-0.8004990916532514,8.519852925105196
Soft-gated extreme ensemble,reef_blocked_5fold,2007,70,5,-0.36380069733114134,-13.06248437261103,-8.552266795210116,-0.853260862232774,5.166416059658125
Soft-gated extreme ensemble,reef_blocked_5fold,2008,61,3,0.29764461198947656,-39.373474571205975,-3.951931887601388,0.1689697879281359,10.103429806492734
Soft-gated extreme ensemble,reef_blocked_5fold,2009,73,3,-0.13608703275011916,-18.794851531296047,-4.58521719591856,-0.955765472933245,6.534772058772183
Soft-gated extreme ensemble,reef_blocked_5fold,2010,63,5,-1.9178114402032216,-14.220780189626593,-2.19029096485071,-1.2798489416978627,6.4454871275709005
Soft-gated extreme ensemble,reef_blocked_5fold,2011,54,14,-6.464348921368537,-19.851339006797673,-5.292826890005917,-2.1236620733151486,9.693260711392204
Soft-gated extreme ensemble,reef_blocked_5fold,2012,53,1,0.6640126323120159,-11.767382212643446,-6.905488286641781,-0.2882061550015795,5.487814554250596
Soft-gated extreme ensemble,reef_blocked_5fold,2013,51,4,-0.16839799927860727,-21.50484457810506,-10.295974923203671,-0.6652203226945207,5.713096460236682
Soft-gated extreme ensemble,reef_blocked_5fold,2014,50,2,1.3457621044484123,-14.390654779382427,-1.3300081476624177,-0.8251190076649554,5.86774415222663
Soft-gated extreme ensemble,reef_blocked_5fold,2015,40,0,3.1536777570138095,NA,NA,-1.0497563653260402,8.058461004511837
Soft-gated extreme ensemble,reef_blocked_5fold,2016,55,4,0.5032428775061415,-14.735643888216181,-4.683867036645841,-0.8896127296745875,6.162657315518589
Soft-gated extreme ensemble,reef_blocked_5fold,2017,63,18,-7.776669411236795,-23.07702892591975,-15.218779665363062,-7.868500931745199,9.142231285952159
Soft-gated extreme ensemble,reef_blocked_5fold,2018,56,1,0.7796736658218489,-11.507170615456582,-7.769142083471428,-0.4810957160329778,4.306482100818029
Soft-gated extreme ensemble,reef_blocked_5fold,2019,87,3,1.751558821478579,-16.876997099648346,-1.2434501957636253,-0.23836998628932907,6.871810311956477
Soft-gated extreme ensemble,reef_blocked_5fold,2020,98,1,4.265822596673907,-29.293304741487443,-9.951978150676576,0.5344359220623813,8.374336508445706
Soft-gated extreme ensemble,reef_blocked_5fold,2021,172,8,2.639571012729044,-15.957781994397392,-1.4627790372030973,-0.5244110227873724,7.908607631231327
Soft-gated extreme ensemble,reef_blocked_5fold,2022,184,10,0.630152478005479,-15.224099792975354,-2.151516157133598,0.546733510823898,5.724756159552004
Soft-gated extreme ensemble,reef_blocked_5fold,2023,161,6,1.9008294648574016,-13.057308115996177,-2.9673892662224985,-0.11541083437582564,6.577843474480213
Soft-gated extreme ensemble,reef_blocked_5fold,2024,234,53,-5.892317748720672,-21.578786471466284,-13.982716048755947,-5.986819195530162,8.134674427412735
Soft-gated extreme ensemble,reef_blocked_5fold,2025,105,10,-0.046068076599038714,-17.90738312333458,-1.6472864757212269,-0.9328658419320414,8.09739280552231
