learner,predicted_change_pp,transition_id,programme_key,ReefID,ReefName,event_year,pre_cover,post_cover,cover_change_pp,sst_maxdhw,prop_acropora_pre,wqc_freqcc12,wqc_prior10_percentile,log_coastal_rain30,era5_wind_calm_fraction,cyc_maxHrs4mw,cot_idwmeanpertow,disturbance_text,severe_probability,tail_expert_change_pp,predicted_post_cover,error_pp,scheme,fold,absolute_error_pp
Aggressive extreme ensemble,-20.71924236293774,1984,manta,20-297,Creal Reef (20-297),2024,0.6903771670175208,0.5912869380093373,-9.909022900818353,8.37,NA,0,0.35,5.8287453483906155,0,30,0.0078,  ,0.9895419290545499,-20.726189243945587,0.48318474338814343,10.810219462119388,reef_blocked_5fold,3,10.810219462119388
Aggressive extreme ensemble,-10.00909418721385,2611,mmp,17-053,Stingaree Reefs (17-053),2024,0.34299737519484685,0.3489282706870231,0.5930895492176236,3.96714285714286,0.12818230888325138,0.939069623828006,0.5,6.679407263235824,0.3076923076923077,0,1e-4,partial bleaching at time of surveys  coral bleaching,0.26937328847440284,-15.768047517368384,0.24290643332270834,10.602183736431474,reef_blocked_5fold,1,10.602183736431474
Aggressive extreme ensemble,-9.603044610162353,2340,mmp,16-006,Snapper Reef (16-006),2024,0.3378998441589269,0.3477803556880326,0.988051152910574,6.872,0.13825214405281794,0.897197855579998,0.9,6.812168274251864,0.5164835164835165,0,0.001," Jasper Cyclone Jasper, flood waters at 2.0 m only, coral bleaching at 5.0 m only | flood waters, Cyclone Jasper",0.32324775964092706,-15.128530322059653,0.24186939805730334,10.591095763072927,reef_blocked_5fold,2,10.591095763072927
Aggressive extreme ensemble,-3.4399311373385326,732,ltmp,21-588,Wade Reef (21-588),2024,0.13297648655713687,0.2013422375432512,6.8365750986114335,9.45,0.31761851319151824,0.0454545468091965,1,5.293126064302306,0.05494505494505494,0,0.0124,hc increase but sc decline  coral bleaching,0.010277062086486488,-11.412266086206992,0.09857717518375154,10.276506235949967,reef_blocked_5fold,3,10.276506235949967
Aggressive extreme ensemble,-1.5917479205737357,2301,mmp,16-006,Snapper Reef (16-006),2024,0.16863589480805166,0.05155365819270063,-11.708223661535103,6.872,0.2276483309360394,0.897197855579998,0.9,6.812168274251864,0.5164835164835165,0,0.001," Jasper Cyclone Jasper, flood waters at 2.0 m only, coral bleaching at 5.0 m only | flood waters, Cyclone Jasper",0.01375448487719195,-13.293445417675661,0.1527184156023143,-10.116475740961366,reef_blocked_5fold,2,10.116475740961366
Aggressive extreme ensemble,-12.659050173453073,1890,manta,19-207,Hyde Reef (19-207),2024,0.44223878365323005,0.4164272899503213,-2.581149370290875,9.50714285714286,0.7162796368719883,0,0.45,5.8287453483906155,0.01098901098901099,33,8e-4,  ,0.18274282835467157,-13.541642092358048,0.3156482819186993,10.077900803162198,reef_blocked_5fold,5,10.077900803162198
Aggressive extreme ensemble,-19.043455629605234,1875,manta,19-159,Slate Reef (19-159),2024,0.6189962599768563,0.5283413420729094,-9.065491790394686,8.61,0.6586105214947701,0,0.45,5.8287453483906155,0.01098901098901099,33,0.0198,DHW 8.61  coral bleaching,0.8966999073431101,-19.375652325928883,0.42856170368080393,9.977963839210547,reef_blocked_5fold,3,9.977963839210547
Aggressive extreme ensemble,-7.808161144252285,2089,manta,21-558,U/N Reef (21-558),2024,0.36925742040330933,0.39090706771087363,2.16496473075643,7.87033333333333,0.1629579657459985,0.0448146287353424,1,5.04829112437769,0.03296703296703297,2.2,0.0275,DHW 7.24 to 8.27  coral bleaching,0.08682000579984905,-16.473669566228043,0.2911758089607865,9.973125875008716,reef_blocked_5fold,1,9.973125875008716
Aggressive extreme ensemble,-8.347845397069143,554,ltmp,19-138,U/N Reef (19-138),2024,0.5036509690708734,0.5198127495291418,1.6161780458268438,5.812,0.2237363080890812,0,0.45,5.8287453483906155,0.01098901098901099,21,0.0064,  ,0.15613829809721608,-15.555445546490159,0.42017251510018194,9.964023442895988,reef_blocked_5fold,5,9.964023442895988
Aggressive extreme ensemble,-10.539294797053605,2555,mmp,17-043a,Jessie-Kent Reef (17-043a),2024,0.4922237254394101,0.4860580983046574,-0.6165627134752716,4.97,0.3509228385423722,0.748203678403256,0.2,6.793622788043911,0.26373626373626374,0,1e-4,"physical damage S2D2, something dragged?  unknown at 2.0 m only",0.1726826298805924,-18.47585067568297,0.38683077746887407,9.922732083578333,reef_blocked_5fold,2,9.922732083578333
