event_year,site,lat,lon,discrepancy,logger_series,median_depth_m,position_rule
2017,Chinaman Reef,-21.9973,152.664,0.076558152790821,1,,shallow_preferred
2017,Davies Reef,-18.8065,147.6688,-0.460888870782222,1,,shallow_preferred
2017,Dent Island,-20.345,148.9382,2.042098752777987,1,,shallow_preferred
2017,Dip Reef,-18.3999,147.4519,-4.333377514241236,1,,all_available
2017,Double Cone,-20.1046,148.7218,0.2690576907372026,1,,shallow_preferred
2017,Dugong Island,-10.518,143.0997,-0.3522696767022557,1,,shallow_preferred
2017,Dunk Island,-17.9263,146.1461,0.2751631929575673,1,,shallow_preferred
2017,East Cay,-21.4727,152.5662,0.160089970195385,1,,shallow_preferred
2017,Erskine Island,-23.498800000000003,151.7748,-0.038515396352895456,2,6.25,shallow_preferred
2017,Farquharson Reef,-17.79,146.5315,1.465914024900595,1,,shallow_preferred
2017,Feather Reef,-17.519,146.3887,0.6378752502221996,1,,shallow_preferred
2017,Fitzroy Island,-16.9233,145.9963,2.110728215512085,1,7.6,shallow_preferred
2017,Frankland Islands,-17.227,146.0904,1.5541734846759017,1,,shallow_preferred
2017,Gannet Cay Reef,-21.9784,152.4742,-0.1627587981511653,1,,shallow_preferred
2017,Geoffrey Bay,-19.1548,146.8685,5.926048371480657,1,,shallow_preferred
2017,"Green Island, Qld",-16.7583,145.97,2.340191435615312,1,,shallow_preferred
2017,Hastings Reef,-16.5013,146.017,0.4853243896715344,1,,shallow_preferred
2017,Havannah Island,-18.8472,146.5428,0.0869171131405899,1,,shallow_preferred
2017,Hayman Island,-20.0413,148.8819,0.1848600545097944,1,,shallow_preferred
2017,Hedley Reef,-17.2235,146.4754,1.5130401055442544,1,,shallow_preferred
2017,Helix Reef,-18.6203,147.2958,-1.0224455431706163,1,,shallow_preferred
2017,Heron Island,-23.4384,151.9182,1.4967732072370152,1,,shallow_preferred
2017,High Island,-17.1622,146.007,0.670128926553808,1,,shallow_preferred
2017,Holbourne Island East,-19.7333,148.3644,-3.374739542342464,1,,all_available
2017,Horseshoe Reef,-22.0227,152.6166,-0.2975069033353643,1,,shallow_preferred
2017,Humpy Island,-23.2162,150.9638,1.8548445110707927,1,,shallow_preferred
2017,Hyde Reef,-19.7457,150.0822,-0.8,1,,shallow_preferred
2017,John Brewer,-18.6189,147.0813,-0.19977371658930343,2,4.0,shallow_preferred
2017,Knife Reef,-18.5711,147.5772,-4.635100374605694,1,,all_available
2017,Kubin Island,-10.2388,142.2176,-0.1928151333613488,1,,all_available
2017,Lady Elliot Reef,-18.6798,146.3325,5.367763141106728,1,,shallow_preferred
2017,Lady Musgrave,-23.8884,152.422,-1.75598395577755,1,,shallow_preferred
2017,Langford Island,-20.0877,148.8848,-1.0806375377260815,1,,shallow_preferred
2017,Linnet Reef,-14.7852,145.3554,3.206928576833631,1,,all_available
2017,Lizard Island,-14.6884,145.4422,3.4645279972952707,1,,shallow_preferred
2017,Low Isles,-16.3831,145.5619,2.0405781380827364,1,,shallow_preferred
2017,Macgillivray,-14.6485,145.4915,-0.9683515096486346,1,,all_available
2017,Mackay Reef,-16.0399,145.6506,2.2522848881274307,1,,shallow_preferred
2017,Manning Island,-23.854,151.3533,3.6855037764959153,1,2.0,shallow_preferred
2017,Martin,-14.7553,145.3722,2.925004485266232,1,,all_available
2017,Mast Head Reef,-23.5341,151.7497,0.2643198653873018,1,,all_available
2017,McCulloch Reef,-17.2834,146.4777,1.6562348400435951,1,,shallow_preferred
2017,Michaelmas Reef,-16.5528,146.0454,2.5909335644133407,1,,shallow_preferred
2017,Moore Reef,-16.8519,146.2336,-0.1839636080845217,1,,shallow_preferred
2017,No Name,-14.6279,145.6453,-6.923401607784927,1,,all_available
2017,North Direction Island,-14.7435,145.5136,1.654546928877684,1,,shallow_preferred
2017,North Keppel Island,-23.0864,150.9052,1.558054564812532,1,,shallow_preferred
2017,North Reef,-23.1775,151.9041,-1.6125873014673375,1,5.5,shallow_preferred
2017,Northeast Reef,-18.5718,146.4947,1.081957224109642,1,2.0,shallow_preferred
2017,One Tree Island,-23.4833,152.0739,-2.369160070150796,3,,all_available
2017,Opal Reef,-16.2042,145.9005,4.085801976706115,1,,shallow_preferred
2017,Orpheus Island,-18.601750000000003,146.48829999999998,0.5985243157258839,2,,all_available
2017,Pandora Reef,-18.8164,146.4341,0.4563194908363481,1,,shallow_preferred
2017,Peak Island,-23.3413,150.9369,2.5338963002932164,1,,shallow_preferred
2017,Peart Reef,-17.4676,146.402,0.2564586963575834,1,,shallow_preferred
2017,Pelican Island,-23.2397,150.8742,5.076861281952688,1,,shallow_preferred
2017,Pelorus Island,-18.5406,146.4888,0.2443588332417867,1,,shallow_preferred
2017,Penrith Reef,-21.0032,149.8875,-3.2164805609812284,1,,all_available
2017,Pine Island,-20.378,148.8884,2.267680691159056,1,,shallow_preferred
2017,Pompey Reef (No 1),-20.9201,150.5582,-1.4256318177575098,1,,shallow_preferred
2017,Rat Island,-23.767,151.3185,5.937374202789373,1,,shallow_preferred
2017,Rebe Reef,-19.795,150.1499,-3.61,1,,shallow_preferred
2017,Repulse,-20.5779,148.8625,-1.5644129148914745,1,,all_available
2017,Rib Reef,-18.473,146.8774,-0.4027165745273926,1,9.4,shallow_preferred
2017,Seaforth Island,-20.4685,149.0389,1.416027765909833,1,,shallow_preferred
2017,Seal Rocks North,-23.9583,151.4849,3.70408024696868,1,,shallow_preferred
2017,Shute and Tancred Islands,-20.3009,148.7983,1.4164816374178564,2,3.6,shallow_preferred
2017,Small Lagoon Reef,-21.8678,152.5239,0.6451005694404068,1,,shallow_preferred
2017,Snake Reef,-22.0232,152.1928,-1.8438006949277133,1,,shallow_preferred
2017,Snapper Island North,-16.2924,145.4969,4.04035081925011,1,,shallow_preferred
2017,St Crispin Reef,-16.0733,145.8438,0.1684520194030891,1,,shallow_preferred
2017,Taylor Reef,-17.8121,146.5703,0.914864962408548,1,,shallow_preferred
2017,Tern Reef,-20.9023,150.0264,-1.4831185058775374,1,,shallow_preferred
2017,Thetford Reef,-16.7995,146.1951,0.2855790394732214,1,,shallow_preferred
2017,Tryon Island,-23.2457,151.7739,0.2693227123175901,1,,shallow_preferred
2017,Turner Cay,-21.7031,152.5605,-0.9409643198063032,1,,all_available
2017,Twin Island,-10.4629,142.4358,0.144507896456286,1,,shallow_preferred
2017,Warraber Island,-10.200800000000001,142.81900000000002,-0.5776570387070736,2,1.2,shallow_preferred
2017,Willis Island,-16.288,149.96345,-0.004634673557972757,2,,shallow_preferred
2017,Woiz Reef,-10.1744,143.2264,-0.0823360794803385,1,,shallow_preferred
2017,Yonge Reef,-14.5731,145.6147,-1.6965574448576124,1,,shallow_preferred
2020,19-131 Reef,-19.7641,149.3786,2.681231950161008,1,,shallow_preferred
2020,19-138 Reef,-19.8024,149.4199,-0.2586793278278807,1,,shallow_preferred
2020,20-104 Reef,-20.0286,149.6933,1.3679715009030966,1,,shallow_preferred
2020,21-062 Reef,-21.0266,150.8538,-0.2332874208135233,1,,all_available
2020,21-187 Reef,-21.4072,151.6414,0.8718928705099143,1,,shallow_preferred
2020,21-245 Reef,-21.2965,152.4465,-0.4331639766129953,1,,all_available
2020,21-296 Reef,-21.3297,152.5636,-0.338299175268177,1,,shallow_preferred
