predictor,median,scheme,fold
era5_wind_calm_fraction,0.12222222222222222,recent_year_holdout,2024
era5_coastal_distance_km,53.02430121520352,recent_year_holdout,2024
uq_coralsink1,0.473684221506119,recent_year_holdout,2024
previous_change_available,1,recent_year_holdout,2024
wqc_available,1,recent_year_holdout,2024
cots_available,1,recent_year_holdout,2024
mortality_environment_available,0,recent_year_holdout,2024
weather_available,0,recent_year_holdout,2024
pre_cover,0.2394212800860941,recent_year_holdout,2025
available_space,0.7605787199139059,recent_year_holdout,2025
interval_years,1.0130047912388775,recent_year_holdout,2025
prior_change_pp,0.7696297354207793,recent_year_holdout,2025
prop_acropora_pre,0.2597934812008608,recent_year_holdout,2025
acropora_cover_pre,0.05655874845297833,recent_year_holdout,2025
depth,9,recent_year_holdout,2025
sst_maxdhw,1,recent_year_holdout,2025
histmDHW6,7.46,recent_year_holdout,2025
yrsince6,4,recent_year_holdout,2025
dhw10_load4,5.715,recent_year_holdout,2025
dhw_novelty10,-1.74,recent_year_holdout,2025
secc3m_p10,10.760301179946076,recent_year_holdout,2025
cloudp_90,0.7158458,recent_year_holdout,2025
wqc_freqcc12,0.0910260983020631,recent_year_holdout,2025
wqc_prior10_percentile,0.5,recent_year_holdout,2025
log1p_cyc_maxHrs4mw,0,recent_year_holdout,2025
log1p_cot_idwmeanpertow,0.00159872136369702,recent_year_holdout,2025
log_coastal_rain30,5.974353856470223,recent_year_holdout,2025
era5_wind_mean,5.7756476402282715,recent_year_holdout,2025
era5_wind_calm_fraction,0.10989010989010987,recent_year_holdout,2025
era5_coastal_distance_km,53.443772818368494,recent_year_holdout,2025
uq_coralsink1,0.473684221506119,recent_year_holdout,2025
previous_change_available,1,recent_year_holdout,2025
wqc_available,1,recent_year_holdout,2025
cots_available,1,recent_year_holdout,2025
mortality_environment_available,0,recent_year_holdout,2025
weather_available,0,recent_year_holdout,2025
pre_cover,0.23646563215571736,reef_blocked_5fold,1
available_space,0.7635343678442826,reef_blocked_5fold,1
interval_years,1.0130047912388775,reef_blocked_5fold,1
prior_change_pp,0.6355599808673562,reef_blocked_5fold,1
prop_acropora_pre,0.2821229722233596,reef_blocked_5fold,1
acropora_cover_pre,0.06094747260077653,reef_blocked_5fold,1
depth,9,reef_blocked_5fold,1
sst_maxdhw,1,reef_blocked_5fold,1
histmDHW6,7.43,reef_blocked_5fold,1
yrsince6,4,reef_blocked_5fold,1
dhw10_load4,5.16,reef_blocked_5fold,1
dhw_novelty10,-1.07,reef_blocked_5fold,1
secc3m_p10,10.924304652731434,reef_blocked_5fold,1
cloudp_90,0.6975303,reef_blocked_5fold,1
wqc_freqcc12,0.0476276817925159,reef_blocked_5fold,1
wqc_prior10_percentile,0.5,reef_blocked_5fold,1
log1p_cyc_maxHrs4mw,0,reef_blocked_5fold,1
log1p_cot_idwmeanpertow,0.00189819728308025,reef_blocked_5fold,1
log_coastal_rain30,5.947264586791359,reef_blocked_5fold,1
era5_wind_mean,6.064676761627197,reef_blocked_5fold,1
era5_wind_calm_fraction,0.08791208791208792,reef_blocked_5fold,1
era5_coastal_distance_km,54.4813962051613,reef_blocked_5fold,1
uq_coralsink1,0.421052634716034,reef_blocked_5fold,1
