programme_key,learner,event_year,n,severe_n,observed_mean,predicted_mean,rmse,severe_mae,severe_bias
manta,joint_compound_brms,2022,53,3,0.03579084242297705,0.052397862409979575,0.09716170271769377,0.2746785428645533,0.2746785428645533
manta,joint_compound_brms,2024,89,39,0.1910089706758529,0.05193618829967968,0.2207352127435559,0.30343361139887215,0.30343361139887215
manta,joint_compound_brt,2016,20,7,0.14544376847496326,0.09764652549830577,0.12533631977368626,0.17887449047840895,0.17887449047840895
manta,joint_compound_brt,2017,23,6,0.13097818838058506,0.1315366435073063,0.11074856790848354,0.13402192003391866,0.10818039214075381
manta,joint_compound_brt,2020,63,1,0.01145997072577666,0.08139636989084467,0.10360603902967043,0.13922984113746134,0.13922984113746134
manta,joint_compound_brt,2022,53,3,0.03579084242297705,0.04343178510220202,0.08940602141650342,0.25379850236382984,0.25379850236382984
manta,joint_compound_brt,2024,89,39,0.1910089706758529,0.056311259933639196,0.21262173698090567,0.28423148995849107,0.28423148995849107
manta,joint_core_brt,2016,20,7,0.14544376847496326,0.09025764978001113,0.1307659689925509,0.16907102776507674,0.16907102776507674
manta,joint_core_brt,2017,23,6,0.13097818838058506,0.14066253756762737,0.11687498857555272,0.1126328509283862,0.09046097035080224
manta,joint_core_brt,2020,63,1,0.01145997072577666,0.10233802938093013,0.1222823060502281,0.08400817928026258,0.08400817928026258
manta,joint_core_brt,2022,53,3,0.03579084242297705,0.07332442894542572,0.10618646756481101,0.19080059033883687,0.19080059033883687
manta,joint_core_brt,2024,89,39,0.1910089706758529,0.06552725553884332,0.21246706191476405,0.27969125428270114,0.27969125428270114
manta,routed_benchmark,2016,20,7,0.14544376847496326,0.13387766277457183,0.12937391433084727,0.14780685282053146,0.14780685282053146
manta,routed_benchmark,2017,23,6,0.13097818838058506,0.11040179172106135,0.11997856326935831,0.18883608738864127,0.18883608738864127
manta,routed_benchmark,2020,63,1,0.01145997072577666,0.07434306949277258,0.07618551675374981,0.16726398543228635,0.16726398543228635
manta,routed_benchmark,2022,53,3,0.03579084242297705,0.06654131305643222,0.09667998037363569,0.24867626684445052,0.24867626684445052
manta,routed_benchmark,2024,89,39,0.1910089706758529,0.10656478659181992,0.1945804811762916,0.23836411233238236,0.2318133111127261
mmp,joint_compound_brms,2017,32,10,0.12532500342899636,0.3694422991734213,0.34941925996821516,0.22019547272782036,-0.16141863141808124
mmp,joint_compound_brms,2022,4,0,0,0.08632999735099371,0.08853756290382502,NA,NA
mmp,joint_compound_brms,2024,54,25,0.2377982153127752,0.08340550597284502,0.3191398972359149,0.3972919063740566,0.3972919063740566
mmp,joint_compound_brt,2017,32,10,0.12532500342899636,0.3633960883729785,0.28649530563390524,0.14906564554483032,-0.14906564554483032
mmp,joint_compound_brt,2022,4,0,0,0.0986246508069792,0.10534753255540805,NA,NA
mmp,joint_compound_brt,2024,54,25,0.2377982153127752,0.040271189549225594,0.3196466671484898,0.41908251197141405,0.41908251197141405
mmp,joint_core_brt,2017,32,10,0.12532500342899636,0.30400628944728875,0.23009617690362485,0.08159904431867468,-0.08159904431867468
mmp,joint_core_brt,2022,4,0,0,0.08078268926525181,0.08647567013444185,NA,NA
mmp,joint_core_brt,2024,54,25,0.2377982153127752,0.03166324007621993,0.3324634162665341,0.4362158774912348,0.4362158774912348
mmp,routed_benchmark,2017,32,10,0.12532500342899636,0.15370618773462022,0.11739252460690934,0.11389182797278748,0.11389182797278748
mmp,routed_benchmark,2022,4,0,0,0.14209632280117065,0.1519206305899113,NA,NA
mmp,routed_benchmark,2024,54,25,0.2377982153127752,0.20325628977207197,0.2610760014769335,0.2442112635407725,0.1764748978412555
