programme_key,source_observation_id,ReefID,ReefName,event_year,region_block,joint_reef_fold,ann_maxdhw,prop_acropora_pre,observed_pre_cover,log_coastal_rain30,era5_wind_mean,era5_wind_calm_fraction,era5_coastal_distance_km,DISTURBANCE_TYPE,description,observed_mortality,predicted_occurrence,predicted_positive_loss,predicted_mortality,learner,scheme,fold,residual,absolute_error,severe,nonsevere
manta,4284588,21-558,U/N Reef (21-558),2024,Southern GBR,2,7.54,0.07481468055436158,0.3909070677108736,5.04829112437769,7.61787748336792,0.03296703296703297,222.5876216694933,NA,NA,0.25960430422350816,0.11231583374700203,0.08513311331811446,0.00956179660180203,joint_compound_brt,leave_one_event_out,2024,0.25004250762170616,0.25004250762170616,TRUE,FALSE
manta,4284589,21-558,U/N Reef (21-558),2024,Southern GBR,2,7.54,0.1629579657459985,0.36925742040330933,5.04829112437769,7.61787748336792,0.03296703296703297,222.5876216694933,b,DHW 7.24 to 8.27,0,0.22071823047078984,0.11215038995798483,0.02475363561813545,joint_compound_brt,leave_one_event_out,2024,-0.02475363561813545,0.02475363561813545,FALSE,TRUE
ltmp,4232334,21-562,Turner Reef (21-562),2024,Southern GBR,5,9.27,0.12813436740046336,0.12528128336068736,5.293126064302306,7.622081279754639,0.03296703296703297,211.65905306044084,NA,NA,0.10489837425504042,0.13262840124713215,0.16618083939904127,0.02204029904740127,joint_compound_brt,leave_one_event_out,2024,0.08285807520763915,0.08285807520763915,FALSE,TRUE
ltmp,4232335,21-562,Turner Reef (21-562),2024,Southern GBR,5,9.27,0.08656072859991064,0.08887790813431366,5.293126064302306,7.622081279754639,0.03296703296703297,211.65905306044084,b,NA,0,0.0886415680839199,0.1401646936545278,0.0124244182355396,joint_compound_brt,leave_one_event_out,2024,-0.0124244182355396,0.0124244182355396,FALSE,TRUE
manta,4284698,21-562,Turner Reef (21-562),2024,Southern GBR,5,9.27,0.12813436740046336,0.21160583760646007,5.293126064302306,7.622081279754639,0.03296703296703297,211.65905306044084,NA,NA,0.3153081782272817,0.16903052990025225,0.10001784615458675,0.0169060695349917,joint_compound_brt,leave_one_event_out,2024,0.29840210869229,0.29840210869229,TRUE,FALSE
manta,4284699,21-562,Turner Reef (21-562),2024,Southern GBR,5,9.27,0.08656072859991064,0.1222713025202314,5.293126064302306,7.622081279754639,0.03296703296703297,211.65905306044084,b,DHW 8.65 to 9.27,0,0.07785530747931513,0.0770346539464557,0.00599755666956394,joint_compound_brt,leave_one_event_out,2024,-0.00599755666956394,0.00599755666956394,FALSE,TRUE
ltmp,4180542,21-588,Wade Reef (21-588),2024,Southern GBR,3,9.33,0.31761851319151824,0.13297648655713687,5.293126064302306,7.634066581726074,0.05494505494505494,221.91002299353315,b,hc increase but sc decline,0,0.15947576897759666,0.1902025883188646,0.03033270403368018,joint_compound_brt,leave_one_event_out,2024,-0.03033270403368018,0.03033270403368018,FALSE,TRUE
manta,3989106,21-588,Wade Reef (21-588),2024,Southern GBR,3,9.33,0.31761851319151824,0.14304588581004424,5.293126064302306,7.634066581726074,0.05494505494505494,221.91002299353315,b,Aerial bl 4 2024  DHW 9.57 2024,0.00629080401453635,0.14777088768065577,0.1079501583346322,0.01595189072237594,joint_compound_brt,leave_one_event_out,2024,-0.00966108670783958,0.00966108670783958,FALSE,TRUE
ltmp,4223356,21-591,U/N Reef (21-591),2024,Southern GBR,5,8.13,0.3441447761193373,0.19995291484269695,5.410388454901543,7.682434558868408,0,117.60569926842686,NA,NA,0,0.11324012185568884,0.1407531495176898,0.01593890380295518,joint_compound_brt,leave_one_event_out,2024,-0.01593890380295518,0.01593890380295518,FALSE,TRUE
manta,4067531,21-591,U/N Reef (21-591),2024,Southern GBR,5,8.13,0.3441447761193373,0.3794207532763258,5.410388454901543,7.682434558868408,0,117.60569926842686,NA,NA,0,0.0813959424609146,0.15479764353922615,0.01259990008660402,joint_compound_brt,leave_one_event_out,2024,-0.01259990008660402,0.01259990008660402,FALSE,TRUE
mmp,4140753,22-009,Barren Island Reef (22-009),2024,Southern GBR,4,11.06,0.53129173943683,0.2598804032895316,4.823371628795423,7.690150737762451,0.01098901098901099,27.798770058383468,b,further decline as a result of bleaching in 2024,0.17115624670633436,0.22696655043968095,0.19503536939855257,0.04426650500611839,joint_compound_brt,leave_one_event_out,2024,0.12688974170021597,0.12688974170021597,FALSE,TRUE
mmp,4140754,22-009,Barren Island Reef (22-009),2024,Southern GBR,4,11.06,0.8432966093606045,0.5916565683895456,4.823371628795423,7.690150737762451,0.01098901098901099,27.798770058383468,b,bleaching still evident at time of surveys,0.5607580187998068,0.289316135172352,0.21102629079710455,0.06105331087317516,joint_compound_brt,leave_one_event_out,2024,0.4997047079266316,0.4997047079266316,TRUE,FALSE
mmp,4140772,22-009,Barren Island Reef (22-009),2024,Southern GBR,4,11.06,0.9188685148426852,0.6208482450147622,4.823371628795423,7.690150737762451,0.01098901098901099,27.798770058383468,b,further decline as a result of bleaching in 2024,0.2354543608301246,0.27626040493371595,0.17688087554788295,0.04886518230388836,joint_compound_brt,leave_one_event_out,2024,0.18658917852623624,0.18658917852623624,TRUE,FALSE
mmp,4140773,22-009,Barren Island Reef (22-009),2024,Southern GBR,4,11.06,0.9329570973491906,0.7041189584586074,4.823371628795423,7.690150737762451,0.01098901098901099,27.798770058383468,b,bleaching still evident at time of surveys,0.1182622800359385,0.27626040493371595,0.17688087554788295,0.04886518230388836,joint_compound_brt,leave_one_event_out,2024,0.06939709773205013,0.06939709773205013,FALSE,TRUE
manta,4284476,22-084,U/N Reef (22-084),2024,Southern GBR,1,8.47,0.10148678379186,0.15022670123802098,5.293126064302306,7.664971828460693,0.05494505494505494,198.3246302201427,NA,NA,0.2971606639822993,0.09556310213121676,0.01121083894471682,0.00107134254705059,joint_compound_brt,leave_one_event_out,2024,0.2960893214352487,0.2960893214352487,TRUE,FALSE
