source_observation_id,ReefID,ReefName,region_block,ann_maxdhw,prop_acropora_pre,log_coastal_rain30,era5_wind_calm_fraction,DISTURBANCE_TYPE,description,observed_mortality,predicted_mortality_joint_compound_brms,predicted_mortality_joint_compound_brt,predicted_mortality_joint_core_brt,predicted_mortality_formal_spatial_benchmark,absolute_error_joint_compound_brms,absolute_error_joint_compound_brt,absolute_error_joint_core_brt,absolute_error_formal_spatial_benchmark,coastal_rain30_mm,weather_gain_vs_core,weather_gain_vs_formal
4066112,18-034,Myrmidon Reef (18-034),Central GBR,8.73,0.15606337630475434,6.416116296599418,0.04395604395604396,b,DHW 7.18,0.3643114357676447,0.17844134903535402,0.1358326929812176,0.09514807262323716,0.1190867756949261,0.18587008673229063,0.22847874278642707,0.26916336314440753,0.2452246600727186,610.6231327056887,0.040684620357980456,0.016745917286291517
4066466,20-348,U/N Reef (20-348),Southern GBR,8.39,0.2769734684349537,5.04829112437769,0.01098901098901099,b,Aerial bl 3 2024 DHW 8.39 2024,0.3195506149689588,0.05711858796716401,0.11558687571229428,0.08418397418067754,0.21154311455407013,0.2624320270017948,0.20396373925666453,0.2353666407882813,0.10800750041488869,154.75606918334967,0.03140290153161676,-0.09595623884177584
4285298,12-056,Mantis Reef (12-056),Northern GBR,8.73,0.216141422466712,6.420027608820439,0.15384615384615383,b,DHW 8.91,0.2638245588761013,0.11962863882235387,0.18371618897843736,0.15526956362150557,0.11629267951479262,0.14419592005374743,0.08010836989766393,0.10855499525459572,0.14753187936130868,613.0200662612915,0.028446625356931793,0.06742350946364475
4068550,16-068,Thetford Reef (16-068),Central GBR,7.34,0.1800947025045891,6.977581085825649,0.12087912087912088,b,Aerial bl 3 2024 DHW 7.63 2024,0.22109938427513848,0.13566635926152035,0.12083198641267257,0.09352710582394767,0.1304199473542783,0.08543302501361813,0.10026739786246593,0.1275722784511908,0.09067943692086017,1071.3213739395144,0.027304880588724864,-0.009587960941605758
4284425,23-055a,One Tree Island Reef (23-055a),Southern GBR,11.53,0.9167527148244318,5.509502913839823,0.02197802197802198,m,Aerial bl 4 2024  DHW 11.81,0.5107539897859481,0.5830511748297132,0.48352966807753733,0.4626921646183072,0.36197818995429937,0.07229718504376514,0.02722432170841077,0.0480618251676409,0.14877579983164874,246.02830219268807,0.020837503459230126,0.12155147812323797
4284550,23-080,Hoskyn Islands Reef (23-080),Southern GBR,11.2,0.8814544768695094,5.784058808178996,0.01098901098901099,b,DHW 11.48,0.5478185490121976,0.5520463547409521,0.38136142892286445,0.3619577657187825,0.5308592698716569,0.00422780572875447,0.16645712008933317,0.1858607832934151,0.01695927914054074,324.0759372711182,0.019403663204081933,-0.14949784094879243
4067168,21-025,Penrith Reef (21-025),Southern GBR,8.25,0.02455375498852522,5.410388454901543,0.01098901098901099,NA,NA,0.4209413337751398,0.11288811028478515,0.04993802758847686,0.03395113147815495,0.07972370638531373,0.3080532234903547,0.371003306186663,0.3869902022969849,0.3412176273898261,222.7184753417968,0.01598689611032189,-0.029785678796836912
4206426,15-099c,Agincourt Reefs (No 1) (15-099c),Central GBR,6.97,0.3820065936993378,6.6724338344427165,0.15384615384615383,m,Aerial bl 3 2024 DHW 6.97,0.23551593127835632,0.16490519154006025,0.2917831648140973,0.1654382304786551,0.2374826486651677,0.0706107397382961,0.05626723353574095,0.07007770079970121,0.0019667173868113674,789.3167657852172,0.013810467263960263,-0.054300516148929584
4066635,21-187,U/N Reef (21-187),Southern GBR,7.25,0.3136770924524844,5.04829112437769,0.03296703296703297,b,decline following bleaching,0.44183377601544943,0.13183239496259272,0.26055637384813535,0.24758890355985844,0.21492981037465003,0.3100013810528567,0.18127740216731408,0.194244872455591,0.2269039656407994,154.75606918334967,0.012967470288276911,0.045626563473485315
3989168,21-529,U/N Reef (21-529),Southern GBR,7.19,0.38615538690823586,5.04829112437769,0.04395604395604396,b,Aerial bl 5 2024 DHW 7.19 2024,0.3674510897264907,0.13882959314255475,0.224382947450713,0.21278715601222936,0.1843342975573043,0.22862149658393596,0.14306814227577772,0.15466393371426135,0.18311679216918642,154.75606918334967,0.011595791438483632,0.0400486498934087
